index	nameMatchValidation	taxonID	datasetName	taxonRank	scientificName	verbatimScientificName	synonym	kingdom	phylum	class	order	family	genus	specificEpithet	infraspecificEpithet	vernacularNameEN	vernacularNameNL	vernacularNameFR	verbatimInvasionStage	invasionStage	invasionStageCertainty	BFIS	ISEIA	spatialDistribution	invasiveness	verbatimIntroductionPathway	introductionPathway	introductionMode	verbatimHabitat	habitat	verbatimNativeRange	nativeRange	verbatimPresenceBE	verbatimPresenceFL	verbatimPresenceWA	verbatimPresenceBR	verbatimPresenceBECoast	verbatimPresenceBPNS	verbatimPresenceBEEZ	presenceBE	presenceFL	presenceWA	presenceBR	presenceBECoast	presenceBPNS	presenceBEEZ	firstObservationYearBE	firstObservationYearFL	latestObservationYearBE	source	sourceID	riskAnalysis	publicationStatus	notes	manual_acceptedKey	gbifapi_usageKey	gbifapi_scientificName	gbifapi_canonicalName	gbifapi_status	gbifapi_rank	gbifapi_matchType	gbifapi_acceptedKey	gbifapi_acceptedScientificName
2617	ok		plants	species	Laportea aestuans (L.) Chew	Laportea aestuans (L.) Chew		Plantae				Urticaceae							Cas.	introduced						Nurseries	contaminant > contaminant nursery material	A		to be determined by experts	Trop.	Africa | N. America | S. America | Asia | Oceania		X						present	present	absent	absent				1999		2002							2984466	Laportea aestuans (L.) Chew	Laportea aestuans	ACCEPTED	SPECIES	EXACT	2984466	Laportea aestuans (L.) Chew
2618	ok		plants	species	Pilea hyalina Fenzl	Pilea hyalina Fenzl		Plantae				Urticaceae							Cas.	introduced						Nurseries	contaminant > contaminant nursery material	A		to be determined by experts	SAM	S. America		X						present	present	absent	absent				1980		1980							7300922	Pilea hyalina Fenzl	Pilea hyalina	ACCEPTED	SPECIES	EXACT	7300922	Pilea hyalina Fenzl
2619	ok		plants	species	Pilea microphylla (L.) Liebm.	Pilea microphylla (L.) Liebm.		Plantae				Urticaceae							Cas.	introduced						Nurseries	contaminant > contaminant nursery material	D?		to be determined by experts	SAM	S. America		X						present	present	absent	absent				1995		2005							5361841	Pilea microphylla (L.) Liebm.	Pilea microphylla	ACCEPTED	SPECIES	EXACT	5361841	Pilea microphylla (L.) Liebm.
2620	ok		plants	species	Pilea peperomioides Diels	Pilea peperomioides Diels		Plantae				Urticaceae							Cas.	introduced						Hort.	escape > horticulture	D		to be determined by experts	AS-Te	Asia		X						present	present	absent	absent				1985?		1985?							5669632	Pilea peperomioides Diels	Pilea peperomioides	ACCEPTED	SPECIES	EXACT	5669632	Pilea peperomioides Diels
2621	ok		plants	species	Soleirolia soleirolii (Req.) Dandy	Soleirolia soleirolii (Req.) Dandy		Plantae				Urticaceae							Nat.	established						Hort.	escape > horticulture	D		to be determined by experts	E	Europe		X	X	X				present	present	present	present				1941		N							2984366	Soleirolia soleirolii (Req.) Dandy	Soleirolia soleirolii	ACCEPTED	SPECIES	EXACT	2984366	Soleirolia soleirolii (Req.) Dandy
2622	ok		plants	species	Urtica incisa Poiret	Urtica incisa Poiret		Plantae				Urticaceae							Cas.	introduced						Wool	contaminant > contaminant on animals (except parasites, species transported by host/vector)	A		to be determined by experts	AUS	Oceania			X					present	absent	present	absent				1911		1911							7602322	Urtica incisa Poir.	Urtica incisa	ACCEPTED	SPECIES	EXACT	7602322	Urtica incisa Poir.
2623	ok: DOUBTFUL		plants	species	Urtica membranacea Poiret ex Savigny	Urtica membranacea Poiret ex Savigny		Plantae				Urticaceae							Cas.	introduced						Urban weed	stowaway	A		to be determined by experts	E AF AS-Te	to be determined by experts		X						present	present	absent	absent				2011		2014							7437751	Urtica membranacea Poir. ex Savigny	Urtica membranacea	DOUBTFUL	SPECIES	EXACT	7437751	Urtica membranacea Poir. ex Savigny
2624	ok		plants	species	Urtica pilulifera L.	Urtica pilulifera L.		Plantae				Urticaceae							Cas.	introduced						Grain?	unknown	A		to be determined by experts	E AF AS-Te	to be determined by experts		X						present	present	absent	absent				1864		2004							5670646	Urtica pilulifera L.	Urtica pilulifera	ACCEPTED	SPECIES	EXACT	5670646	Urtica pilulifera L.
2625	ok		plants	species	Glandularia aristigera (S. Moore) Tronc.	Glandularia aristigera (S. Moore) Tronc.	Verbena aristigera S. Moore	Plantae				Verbenaceae							Cas.	introduced						Hort.	escape > horticulture	D		to be determined by experts	SAM	S. America		X						present	present	absent	absent				1950		1950							5667614	Glandularia aristigera (S.Moore) Tronc.	Glandularia aristigera	ACCEPTED	SPECIES	EXACT	5667614	Glandularia aristigera (S.Moore) Tronc.
2626	ok		plants	hybrid	Glandularia x hybrida (Grönland et Rümpler) Nesom et Pruski	Glandularia x hybrida (Grönland et Rümpler) Nesom et Pruski	Verbena x hybrida Voss (hybrid of complex origin)	Plantae				Verbenaceae							Cas.	introduced						Hort.	escape > horticulture	D		to be determined by experts	Cult.	unknown		X	 	X				present	present	absent	present				1888		2012							5341154	Glandularia ×hybrida (Groenl. & Rümpler) G. L. Nesom & Pruski	Glandularia hybrida	ACCEPTED	SPECIES	EXACT	5341154	Glandularia ×hybrida (Groenl. & Rümpler) G. L. Nesom & Pruski
