gbifapi_acceptedScientificName	gbifapi_acceptedKey	kingdom	invasionStage	datasetName	presenceBE	gbifapi_scientificName	index
Larix decidua Mill.	2686212	Plantae	introduced	plants	present	Larix decidua Mill.	1780
Larix kaempferi (Lamb.) Carrière	2686157	Plantae	introduced	plants	present	Larix kaempferi (Lamb.) Carrière	1781
Larix ×marschlinsii Coaz	4938682	Plantae	introduced	plants	present	Larix ×marschlinsii Coaz	1782
Lathyrus angulatus L.	5356429	Plantae	introduced	plants	present	Lathyrus angulatus L.	1280
Lathyrus annuus L.	5356361	Plantae	introduced	plants	present	Lathyrus annuus L.	1281
Lathyrus clymenum L.	5356407	Plantae	introduced	plants	present	Lathyrus clymenum L.	1283
Lathyrus heterophyllus L.	5356541	Plantae	established	plants	present	Lathyrus heterophyllus L.	1284
Lathyrus inconspicuus L.	5356614	Plantae	introduced	plants	present	Lathyrus inconspicuus L.	1285
Lathyrus latifolius L.	5356517	Plantae	established	plants	present	Lathyrus latifolius L.	1286
Lathyrus niger (L.) Bernh.	5356662	Plantae	established	plants	present	Lathyrus niger (L.) Bernh.	1287
Lathyrus ochrus (L.) DC.	5356441	Plantae	introduced	plants	present	Lathyrus ochrus (L.) DC.	1288
Lathyrus odoratus L.	5356514	Plantae	introduced	plants	present	Lathyrus odoratus L.	1289
Lathyrus sativus L.	5356488	Plantae	introduced	plants	present	Lathyrus sativus L.	1290
Lathyrus sphaericus Retz.	5356680	Plantae	introduced	plants	present	Lathyrus sphaericus Retz.	1291
Lathyrus vernus (L.) Bernh.	5356704	Plantae	unknown	plants	present	Lathyrus vernus (L.) Bernh.	1292
Laurus nobilis L.	3034015	Plantae	introduced	plants	present	Laurus nobilis L.	1590
Lavandula angustifolia Mill.	2927305	Plantae	established	plants	present	Lavandula angustifolia Mill.	1541
Lavandula dentata L.	7307829	Plantae	introduced	plants	present	Lavandula dentata L.	1542
Lemna minuta Kunth	2867614	Plantae, nan	established, invasive	harmonia, plants	present	Lemna minuta Kunth	95, 441
Lemna turionifera Landolt	2867631	Plantae, nan	established, invasive	harmonia, plants	present	Lemna turionifera Landolt	96, 442
Lens culinaris Medik.	5350010	Plantae	introduced	plants	present	Lens culinaris Medik.	1293
Lens nigricans (M.Bieb.) Godr.	5350015	Plantae	introduced	plants	present	Lens nigricans (M.Bieb.) Godr.	1294
Leonurus japonicus Houtt.	6410563	Plantae	introduced	plants	present	Leonurus japonicus Houtt.	1544
Leonurus quinquelobatus Gilib.	7307492	Plantae	established	plants	present	Leonurus quinquelobatus Gilib.	1543
Lepidium africanum (Burm. f.) DC.	5376530	Plantae	introduced	plants	present	Lepidium africanum (Burm. f.) DC.	924
Lepidium bonariense L.	5376925	Plantae	introduced	plants	present	Lepidium bonariense L.	925
Lepidium densiflorum Schrad.	5377064	Plantae	established	plants	present	Lepidium densiflorum Schrad.	926
Lepidium desertorum Eckl. & Zeyh.	5376494	Plantae	introduced	plants	present	Lepidium desertorum Eckl. & Zeyh.	927
Lepidium didymum L.	5377060	Plantae	established	plants	present	Lepidium didymum L.	928
Lepidium fasciculatum Thell.	5376785	Plantae	introduced	plants	present	Lepidium fasciculatum Thell.	931
Lepidium graminifolium L.	5376994	Plantae	introduced	plants	present	Lepidium graminifolium L.	932
Lepidium heterophyllum Benth.	5376846	Plantae	established	plants	present	Lepidium heterophyllum Benth.	933
Lepidium hirtum (L.) Sm.	5376874	Plantae	introduced	plants	present	Lepidium hirtum (L.) Sm.	934
Lepidium latifolium L.	5376692	Plantae	established	plants	present	Lepidium latifolium L.	935
Lepidium perfoliatum L.	5376816	Plantae	introduced	plants	present	Lepidium perfoliatum L.	937
Lepidium sativum L.	5376565	Plantae	introduced	plants	present	Lepidium sativum L.	938
Lepidium schinzii Thell.	5376481	Plantae	introduced	plants	present	Lepidium schinzii Thell.	939
Lepidium virginicum L.	5376648	Plantae	established	plants	present	Lepidium virginicum L.	940
Lepomis gibbosus (Linnaeus, 1758)	2394486	Animalia, nan	established	fishes, harmonia	present	Lepomis gibbosus (Linnaeus, 1758)	13, 97
Lepyrodiclis holosteoides (C. A. Mey.) Fenzl ex Fisch. & C. A. Mey.	3085346	Plantae	introduced	plants	present	Lepyrodiclis holosteoides (C. A. Mey.) Fenzl ex Fisch. & C. A. Mey.	1049
Leucanthemella serotina (L.) Tzvelev	3088405	Plantae	introduced	plants	present	Leucanthemella serotina (L.) Tzvelev	679
Leucanthemum ×superbum (Bergmans ex J.Ingram) Soreng & E.A.Cope	7378144	Plantae	unknown	plants	present	Leucanthemum superbum (Bergmans ex J.W.Ingram) D.H.Kent	680
Leucaspius delineatus (Heckel, 1843)	2362881	Animalia	unknown	wrims	present	Leucaspius delineatus (Heckel, 1843)	9448
Leuciscus aspius (Linnaeus, 1758)	5851603	Animalia, nan	established, invasive	fishes, harmonia	present	Aspius aspius (Linnaeus, 1758)	4, 35
Leucothoe fontanesiana (Steud.) Sleumer	5333354	Plantae	introduced	plants	present	Leucothoe fontanesiana (Steud.) Sleumer	1214
Levisticum officinale Koch	5371772	Plantae	introduced	plants	present	Levisticum officinale Koch	410
Leycesteria formosa Wall.	2888579	Plantae	introduced	plants	present	Leycesteria formosa Wall.	1007
Leysera tenella DC.	3092604	Plantae	introduced	plants	present	Leysera tenella DC.	681
Liatris spicata (L.) Willd.	3104314	Plantae	introduced	plants	present	Liatris spicata (L.) Willd.	682
Ligularia dentata (A.Gray) Hara	5395475	Plantae	introduced	plants	present	Ligularia dentata (A.Gray) Hara	683
Ligustrum ovalifolium Hassk.	3172291	Plantae	established	plants	present	Ligustrum ovalifolium Hassk.	1670
Ligustrum sinense Lour.	3172294	Plantae	unknown	plants	present	Ligustrum sinense Lour.	1671
Ligustrum ×vicaryi Rehder	3685073	Plantae	introduced	plants	present	Ligustrum ×vicaryi Rehder	1672
Lilium martagon L.	2753146	Plantae	established	plants	present	Lilium martagon L.	1593
Limnanthes douglasii R. Br.	5334527	Plantae	introduced	plants	present	Limnanthes douglasii R. Br.	1597
Limnobium laevigatum (Humb. & Bonpl. ex Willd.) Heine	5329643	Plantae	introduced	plants	present	Limnobium laevigatum (Humb. & Bonpl. ex Willd.) Heine	1482
Limnodrilus cervix Brinkhurst, 1963	2308541	Animalia	established	macroinvertebrates	present	Limnodrilus cervix Brinkhurst, 1963	171
Limnomysis benedeni Czerniavsky, 1882	2220347	Animalia	established	macroinvertebrates	present	Limnomysis benedeni Czerniavsky, 1882	207
Limonium sinuatum (L.) Mill.	3082297	Plantae	introduced	plants	present	Limonium sinuatum (L.) Mill.	1842
Linaria angustissima (Loisel.) Borbás	5415014	Plantae	introduced	plants	present	Linaria angustissima (Loisel.) Borbás	1808
Linaria chalepensis (L.) Mill.	7963687	Plantae	introduced	plants	present	Linaria chalepensis (L.) Mill.	1810
Linaria genistifolia (L.) Mill.	5415013	Plantae	introduced	plants	present	Linaria genistifolia (L.) Mill.	1811
Linaria hirta (L.) Moench	7683374	Plantae	introduced	plants	present	Linaria hirta (L.) Moench	1812
Linaria incarnata (Vent.) Sprengel	5415018	Plantae	introduced	plants	present	Linaria incarnata (Vent.) Sprengel	1813
Linaria maroccana Hook. fil.	5415016	Plantae	introduced	plants	present	Linaria maroccana Hook. fil.	1814
Linaria purpurea (L.) Mill.	5415012	Plantae	established	plants	present	Linaria purpurea (L.) Mill.	1815
Linaria simplex (Willd.) DC.	8287616	Plantae	introduced	plants	present	Linaria simplex (Willd.) DC.	1816
Linaria supina (L.) Chaz.	5415009	Plantae	established	plants	present	Linaria supina (L.) Chaz.	1817
Linaria triornithophora (L.) Willd.	7848321	Plantae	introduced	plants	present	Linaria triornithophora (L.) Willd.	1818
Lindernia dubia (L.) Pennell	3171888	Plantae, nan	established	harmonia, plants	present	Lindernia dubia (L.) Pennell	98, 1601
Lindernia procumbens (Krocker) Philcox	3171882	Plantae	introduced	plants	present	Lindernia procumbens (Krock.) Borbás	1602
Linum austriacum subsp. austriacum	7293222	Plantae	established	plants	present	Linum austriacum subsp. austriacum	1598
Linum grandiflorum Desf.	2873926	Plantae	introduced	plants	present	Linum grandiflorum Desf.	1599
Linum usitatissimum L.	2873861	Plantae	introduced	plants	present	Linum usitatissimum L.	1600
Liquidambar styraciflua L.	3152824	Plantae	introduced	plants	present	Liquidambar styraciflua L.	251
Liriodendron tulipifera L.	3152861	Plantae	introduced	plants	present	Liriodendron tulipifera L.	1609
Lithobates catesbeianus (Shaw, 1802)	2427091	nan	invasive	harmonia	present	Rana catesbeiana Shaw, 1802	137
Lithoglyphus naticoides C. Pfeiffer, 1828	5777912	Animalia	established	macroinvertebrates	present	Lithoglyphus naticoides C. Pfeiffer, 1828	219
Lobelia erinus L.	5408087	Plantae	introduced	plants	present	Lobelia erinus L.	988
Lobelia pedunculata R.Br.	5408682	Plantae	unknown	plants	present	Lobelia pedunculata R.Br.	989
Lobelia sessilifolia Lamb.	5408775	Plantae	introduced	plants	present	Lobelia sessilifolia Lamb.	990
Lobelia siphilitica L.	5409120	Plantae	introduced	plants	present	Lobelia siphilitica L.	991
Lobularia maritima (L.) Desv.	5373358	Plantae	introduced	plants	present	Lobularia maritima (L.) Desv.	941
Lolium multiflorum Lam.	4129708	Plantae	established	plants	present	Lolium multiflorum Lam.	2057
Lolium persicum Boiss. & Hohen.	2706225	Plantae	introduced	plants	present	Lolium persicum Boiss. & Hohen.	2058
Lolium rigidum Gaudin	2706218	Plantae	introduced	plants	present	Lolium rigidum Gaudin	2059
Lonicera acuminata Wall.	5598598	Plantae	established	plants	present	Lonicera acuminata Wall.	1008
Lonicera caprifolium L.	5334227	Plantae	unknown	plants	present	Lonicera caprifolium L.	1009
Lonicera chrysantha Turcz.	8242349	Plantae	introduced	plants	present	Lonicera chrysantha Turcz. ex Ledeb.	1010
Lonicera involucrata (Richards.) Banks ex Spreng.	5334253	Plantae	introduced	plants	present	Lonicera involucrata (Richards.) Banks ex Spreng.	1011
Lonicera japonica Thunb.	5334240	nan	nan	harmonia	absent	Lonicera japonica Thunb.	99
Lonicera japonica Thunb. ex Murray	7697298	Plantae	established	plants	present	Lonicera japonica Thunb. ex Murray	1012
Lonicera maackii (Rupr.) Maxim.	7902463	Plantae	introduced	plants	present	Lonicera maackii (Rupr.) Maxim.	1013
Lonicera morrowii Gray	5334275	Plantae	introduced	plants	present	Lonicera morrowii Gray	1014
Lonicera pileata Oliv.	5598915	Plantae	established	plants	present	Lonicera pileata Oliv.	1016
Lonicera sempervirens L.	5334239	Plantae	introduced	plants	present	Lonicera sempervirens L.	1017
Lonicera tatarica L.	5334242	Plantae	introduced	plants	present	Lonicera tatarica L.	1018
Lonicera ×italica Tausch	8325800	Plantae	unknown	plants	present	Lonicera ×italica Tausch	1019
Lonicera ×purpusii Rehder	5598839	Plantae	introduced	plants	present	Lonicera ×purpusii Rehder	1020
Lopezia racemosa Cav.	7161168	Plantae	introduced	plants	present	Lopezia racemosa Cav.	1686
Lophocolea semiteres (Lehm.) Mitt.	6096602	nan	nan	harmonia	present	Lophocolea semiteres (Lehm.) Mitt.	100
Lotus angustissimus L.	5356931	Plantae	introduced	plants	present	Lotus angustissimus L.	1295
Lotus conimbricensis Brot.	5356971	Plantae	introduced	plants	present	Lotus conimbricensis Brot.	1296
Lotus maritimus L.	5356973	Plantae	introduced	plants	present	Lotus maritimus L.	1298
Lotus tetragonolobus L.	5356862	Plantae	introduced	plants	present	Lotus tetragonolobus L.	1299
Ludwigia grandiflora (Michaux) Greuter & Burdet	5421039	nan	invasive	harmonia	present	Ludwigia grandiflora (Michaux) Greuter & Burdet	101
Ludwigia peploides (Kunth) P. H. Raven	5420991	nan	invasive	harmonia	present	Ludwigia peploides (Kunth) P. H. Raven	102
Ludwigia peploides subsp. montevidensis (Spreng.) Raven	5545159	Plantae	established	plants	present	Ludwigia peploides subsp. montevidensis (Spreng.) Raven	1688
Lunaria annua L.	5373324	Plantae	established	plants	present	Lunaria annua L.	942
Lupinus albus L.	2964167	Plantae	introduced	plants	present	Lupinus albus L.	1300
Lupinus angustifolius L.	2964025	Plantae	introduced	plants	present	Lupinus angustifolius L.	1301
Lupinus luteus L.	2963817	Plantae	introduced	plants	present	Lupinus luteus L.	1302
Lupinus polyphyllus Lindl.	2964355	Plantae, nan	established, invasive	harmonia, plants	present	Lupinus polyphyllus Lindl.	103, 1303
Luzula nivea (Nathh.) DC.	2700768	Plantae	introduced	plants	present	Luzula nivea (Nathh.) DC.	1520
Lycium barbarum L.	2928835	Plantae	established	plants	present	Lycium barbarum L.	2555
Lycium chinense Miller	2928809	Plantae	introduced	plants	present	Lycium chinense Miller	2556
Lycopus exaltatus L.f.	5605751	Plantae	introduced	plants	present	Lycopus exaltatus L.f.	1545
Lysichiton americanus Hultén & H.St.John	2869311	nan	established	harmonia	present	Lysichiton americanus Hultén & H.St.John	104
Lysimachia ciliata L.	3169391	Plantae	introduced	plants	present	Lysimachia ciliata L.	2275
Lysimachia punctata L.	3169340	Plantae	established	plants	present	Lysimachia punctata L.	2278
Lythrum acutangulum Lag.	3989886	Plantae	introduced	plants	present	Lythrum acutangulum Lag.	1605
Lythrum junceum Banks & Solander	3988701	Plantae	introduced	plants	present	Lythrum junceum Banks & Solander	1606
Lythrum virgatum L.	3188735	Plantae	introduced	plants	present	Lythrum virgatum L.	1607
Macleaya cordata (Willd.) R. Br.	5334194	Plantae	unknown	plants	present	Macleaya cordata (Willd.) R. Br.	1755
Madia sativa Molina	3140910	Plantae	introduced	plants	present	Madia sativa Molina	684
Maianthemum dilatatum (Alph.Wood) A.Nelson & J.F.Macbr.	2769435	Plantae	unknown	plants	present	Maianthemum dilatatum (Alph.Wood) A.Nelson & J.F.Macbr.	477
Malcolmia maritima (L.) R. Br.	7372514	Plantae	introduced	plants	present	Malcolmia maritima (L.) R. Br.	943
Malope malacoides L.	7278926	Plantae	introduced	plants	present	Malope malacoides L.	1619
Malope trifida Cav.	3935421	Plantae	introduced	plants	present	Malope trifida Cav.	1620
Malus baccata (L.) Borkh.	3001362	Plantae	introduced	plants	present	Malus baccata (L.) Borkh.	2379
Malus sieboldii (Regel) Rehder	3001650	Plantae	introduced	plants	present	Malus sieboldii (Regel) Rehder	2380
Malus ×purpurea (Barbey) Rehder	3001270	Plantae	introduced	plants	present	Malus ×purpurea (Barbey) Rehder	2382
Malva maroccana (Batt. & Trab.) Verloove & Lambinon	7823743	Plantae	introduced	plants	present	Malva maroccana (Batt. & Trab.) Verloove & Lambinon	1622
Malva nicaeensis All.	3152367	Plantae	introduced	plants	present	Malva nicaeensis All.	1623
Malva parviflora L.	3152378	Plantae	introduced	plants	present	Malva parviflora L.	1624
Malva punctata (All.) Alef.	3940960	Plantae	introduced	plants	present	Malva punctata (All.) Alef.	1627
Malva pusilla Sm.	3152372	Plantae	introduced	plants	present	Malva pusilla Sm.	1628
Malva thuringiaca (L.) Vis.	3940423	Plantae	introduced	plants	present	Malva thuringiaca (L.) Vis.	1630
Malva verticillata L.	3152377	Plantae	introduced	plants	present	Malva verticillata L.	1633
Malva ×clementii (Cheek) Stace	8402586	Plantae	introduced	plants	present	Malva ×clementii (Cheek) Stace	1634
Malvastrum americanum (L.) Torr.	3152264	Plantae	introduced	plants	present	Malvastrum americanum (L.) Torr.	1635
Malvastrum coromandelianum (L.) Garcke	3152268	Plantae	introduced	plants	present	Malvastrum coromandelianum (L.) Garcke	1636
Mantisalca salmantica (L.) Briq. & Cavill.	3141571	Plantae	introduced	plants	present	Microlonchus salmanticus (L.) DC.	690
Marenzelleria neglecta Sikorski & Bick, 2004	2321010	Animalia	established	macroinvertebrates, wrims	present	Marenzelleria neglecta Sikorski & Bick, 2004	166, 9449
Marenzelleria viridis (Verrill, 1873)	2321012	Animalia	established, introduced	macroinvertebrates, wrims	present	Marenzelleria viridis (Verrill, 1873)	165, 9450
Marrubium peregrinum L.	3905970	Plantae	introduced	plants	present	Marrubium peregrinum L.	1546
Matricaria discoidea DC.	3103791	Plantae	established	plants	present	Matricaria discoidea DC.	685
Matthiola incana (Linnaeus) R. Brown	8207952	Plantae	introduced	plants	present	Matthiola incana (Linnaeus) R. Brown	944
Mauranthemum paludosum (Poir.) Vogt & Oberpr.	3096529	Plantae	introduced	plants	present	Mauranthemum paludosum (Poir.) Vogt & Oberpr.	687
Mazus pumilus (Burm. fil.) Steenis	3171304	Plantae	unknown	plants	present	Mazus pumilus (Burm. fil.) Steenis	1646
Medicago carstiensis Wulfen	2965232	Plantae	introduced	plants	present	Medicago carstiensis Wulfen	1304
Medicago doliata Carmign.	2965459	Plantae	introduced	plants	present	Medicago doliata Carmign.	1305
Medicago fischeriana (Ser.) Trautv.	2965233	Plantae	introduced	plants	present	Medicago fischeriana (Ser.) Trautv.	1306
Medicago intertexta subsp. ciliaris (L.) Ponert	2965409	Plantae	introduced	plants	present	Medicago intertexta subsp. ciliaris (L.) Ponert	1307
Medicago intertexta subsp. intertexta	2965406	Plantae	introduced	plants	present	Medicago intertexta subsp. intertexta	1308
Medicago laciniata (L.) Mill.	2965221	Plantae	introduced	plants	present	Medicago laciniata (L.) Mill.	1309
Medicago littoralis Loisel.	2965485	Plantae	introduced	plants	present	Medicago littoralis Loisel.	1310
Medicago monspeliaca (L.) Trautv.	2965434	Plantae	introduced	plants	present	Medicago monspeliaca (L.) Trautv.	1313
Medicago murex Willd.	2965209	Plantae	introduced	plants	present	Medicago murex Willd.	1314
Medicago orbicularis (L.) Bartal.	2965299	Plantae	introduced	plants	present	Medicago orbicularis (L.) Bartal.	1315
Medicago polymorpha L.	2965531	Plantae	introduced	plants	present	Medicago polymorpha L.	1316
Medicago praecox DC.	2965419	Plantae	introduced	plants	present	Medicago praecox DC.	1317
Medicago rigidula (L.) All.	2965438	Plantae	introduced	plants	present	Medicago rigidula (L.) All.	1318
Medicago sativa L.	2965324	Plantae	established	plants	present	Medicago sativa L.	1319
Medicago scutellata (L.) Mill.	2965397	Plantae	introduced	plants	present	Medicago scutellata (L.) Mill.	1320
Medicago tornata subsp. helix (Willd.) Ooststr. & Reichg.	2965254	Plantae	introduced	plants	present	Medicago tornata subsp. helix (Willd.) Ooststr. & Reichg.	1321
Medicago truncatula Gaertn.	2965280	Plantae	introduced	plants	present	Medicago truncatula Gaertn.	1322
Medicago turbinata (L.) All.	2965461	Plantae	introduced	plants	present	Medicago turbinata (L.) All.	1323
Megabalanus coccopoma (Darwin, 1854)	5166489	Animalia	established, to be determined by experts	macroinvertebrates, wrims	present	Megabalanus coccopoma (Darwin, 1854)	212, 9451, 9452, 9453
Megabalanus tintinnabulum (Linnaeus, 1758)	5166487	Animalia	established, to be determined by experts	macroinvertebrates, wrims	present	Megabalanus tintinnabulum (Linnaeus, 1758)	211, 9454, 9455
Melampodium montanum Benth.	3139003	Plantae	introduced	plants	present	Melampodium montanum Benth.	688
Melampodium perfoliatum (Cav.) Kunth	3138953	Plantae	introduced	plants	present	Melampodium perfoliatum (Cav.) Kunth	689
Melampyrum nemorosum L.	7331666	Plantae	introduced	plants	present	Melampyrum nemorosum L.	1731
Melia azedarach L.	5914287	Plantae	introduced	plants	present	Melia azedarach L.	1649
Melica altissima L.	2703109	Plantae	introduced	plants	present	Melica altissima L.	2062
Melilotus albus Medik.	2971095	Plantae	established	plants	present	Melilotus albus Medik.	1325
Melilotus elegans Ser.	2971036	Plantae	introduced	plants	present	Melilotus elegans Ser.	1326
Melilotus indicus (L.) All.	2971016	Plantae	introduced	plants	present	Melilotus indicus (L.) All.	1328
Melilotus infestus Guss.	2971033	Plantae	introduced	plants	present	Melilotus infestus Guss.	1327
Melilotus messanensis (L.) All.	2971107	Plantae	introduced	plants	present	Melilotus messanensis (L.) All.	1329
Melilotus officinalis (L.) Pall.	2971024	Plantae	established	plants	present	Melilotus officinalis (L.) Lam.	1330
Melilotus sulcatus Desf.	2971112	Plantae	introduced	plants	present	Melilotus sulcatus Desf.	1331
Melilotus wolgicus Poir.	2971068	Plantae	introduced	plants	present	Melilotus wolgicus Poir.	1332
Melissa officinalis L.	5341501	Plantae	unknown	plants	present	Melissa officinalis L.	1547
Melita nitida S. I. Smith, 1873	2215949	Animalia	established	macroinvertebrates, wrims	present	Melita nitida S. I. Smith, 1873	187, 9456
Menetus dilatatus Gould, 1841	5189713	Animalia	established	macroinvertebrates	present	Menetus dilatatus Gould, 1841	222
Mentha cervina L.	3902360	Plantae	unknown	plants	present	Mentha cervina L.	1548
Mentha requienii Benth.	2927174	Plantae	unknown	plants	present	Mentha requienii Benth.	1549
Mentzelia albicaulis Dougl. ex Hook.	7397079	Plantae	introduced	plants	present	Mentzelia albicaulis Dougl. ex Hook.	1604
Mercenaria mercenaria (Linnaeus, 1758)	2287668	Animalia	established, to be determined by experts	macroinvertebrates, wrims	present	Mercenaria mercenaria (Linnaeus, 1758)	233, 9457, 9458
Mesembryanthemum crystallinum L.	3084839	Plantae	introduced	plants	present	Mesembryanthemum crystallinum L.	246
Mesembryanthemum nodiflorum L.	3084837	Plantae	introduced	plants	present	Mesembryanthemum nodiflorum L.	247
Mespilus germanica L.	3031774	Plantae	established	plants	present	Mespilus germanica L.	2383
Micropogonias undulatus (Linnaeus, 1766)	2399874	Animalia	established, introduced, to be determined by experts	wrims	present	Micropogonias undulatus (Linnaeus, 1766)	9459, 9460, 9461
Micropterus salmoides (Lacepède, 1802)	2394563	nan	nan	harmonia	absent	Micropterus salmoides (Lacepède, 1802)	106
Milium vernale M.Bieb.	2706195	Plantae	introduced	plants	present	Milium vernale M.Bieb.	2063
Mirabilis jalapa L.	3086240	Plantae	introduced	plants	present	Mirabilis jalapa L.	1660
Miscanthus sacchariflorus (Maxim.) Hack.	2706023	Plantae	established	plants	present	Miscanthus sacchariflorus (Maxim.) Benth. & Hook. f.	2064
Miscanthus sinensis Andersson	2706026	Plantae	introduced	plants	present	Miscanthus sinensis Andersson	2065
Misopates calycinum (Vent.) Rothm.	8601617	Plantae	introduced	plants	present	Misopates calycinum (Vent.) Rothm.	1819
Mnemiopsis leidyi A. Agassiz, 1865	2501248	Animalia	established, to be determined by experts	wrims	present	Mnemiopsis leidyi A. Agassiz, 1865	9462, 9463, 9464, 9465
Molgula manhattensis (De Kay, 1843)	2331498	Animalia	established, introduced, to be determined by experts	wrims	present	Molgula manhattensis (De Kay, 1843)	9466, 9467, 9468
Mollugo verticillata L.	3084611	Plantae	introduced	plants	present	Mollugo verticillata L.	1651
Moneses uniflora (L.) A. Gray	2888298	Plantae	introduced	plants	present	Moneses uniflora (L.) A. Gray	1215
Monocorophium sextonae (Crawford, 1937)	4314702	Animalia	established, to be determined by experts	macroinvertebrates, wrims	present	Monocorophium sextonae (Crawford, 1937)	179, 9469, 9470
Monopylephorus limosus (Hatai, 1898)	4410150	Animalia	established	macroinvertebrates	present	Monopylephorus limosus (Hatai, 1898)	172
Monsonia angustifolia E. Mey. ex A. Rich.	7926816	Plantae	introduced	plants	present	Monsonia angustifolia E. Mey. ex A. Rich.	1459
Monsonia brevirostrata Knuth	3827967	Plantae	introduced	plants	present	Monsonia brevirostrata Knuth	1460
Morus alba L.	5361889	Plantae	introduced	plants	present	Morus alba L.	1658
Muhlenbergia mexicana (L.) Trin.	2704038	Plantae	introduced	plants	present	Muhlenbergia mexicana (L.) Trin.	2068
Muntiacus reevesi (Ogilby, 1839)	2440946	nan	nan	harmonia	absent	Muntiacus reevesi (Ogilby, 1839)	108
Muscari armeniacum Leichtlin ex Baker	2772174	Plantae	established	plants	present	Muscari armeniacum Leichtlin ex Baker	478
Muscari latifolium J.Kirk	2772082	Plantae	introduced	plants	present	Muscari latifolium J.Kirk	479
Mya arenaria Linnaeus, 1758	7791733	Animalia	established, to be determined by experts	macroinvertebrates, wrims	present	Mya arenaria Linnaeus, 1758	216, 9471, 9472, 9473
Myagrum perfoliatum L.	3047811	Plantae	introduced	plants	present	Myagrum perfoliatum L.	946
Mycale micracanthoxea Buizer & van Soest, 1977	2242011	Animalia	to be determined by experts	wrims	present	Mycale micracanthoxea Buizer & van Soest, 1977	9474
Myocastor coypus (Molina, 1782)	4264680	nan	invasive	harmonia	present	Myocastor coypus (Molina, 1782)	110
Myricaria germanica (L.) Desv.	3612876	Plantae	introduced	plants	unknown	Myricaria germanica (L.) Desv.	2606
Myriophyllum aquaticum (Vellozo) Verdcourt	5361785	Plantae, nan	established, invasive	harmonia, plants	present	Myriophyllum aquaticum (Vellozo) Verdcourt	111, 1470
Myriophyllum heterophyllum Michx.	5361762	Plantae, nan	established, invasive	harmonia, plants	present	Myriophyllum heterophyllum Michx.	112, 1471
Myrrhis odorata (L.) Scop.	3034681	Plantae	established	plants	present	Myrrhis odorata (L.) Scop.	411
Mytilicola intestinalis Steuer, 1903	2110811	Animalia	established, to be determined by experts	wrims	present	Mytilicola intestinalis Steuer, 1903	9475, 9476
Mytilopsis leucophaeata (Conrad, 1831)	2287076	Animalia	established, introduced, to be determined by experts	wrims	present	Mytilopsis leucophaeata (Conrad, 1831)	9477, 9478, 9479, 9480
Mytilopsis leucophaeta (Conrad, 1831)	8283653	Animalia	established	macroinvertebrates	present	Mytilopsis leucophaeta (Conrad, 1831)	230
Narcissus incomparabilis Mill.	2859255	Plantae	introduced	plants	unknown	Narcissus incomparabilis Mill.	376
Narcissus poeticus L.	2858581	Plantae	established	plants	present	Narcissus poeticus L.	374
Nassella filiculmis (Delile) Barkworth	5674110	Plantae	introduced	plants	present	Nassella filiculmis (Delile) Barkworth	2069
Nassella formicarum (Delile) Barkworth	5289836	Plantae	introduced	plants	present	Nassella formicarum (Delile) Barkworth	2070
Nassella hyalina (Nees) Barkworth	5674047	Plantae	introduced	plants	present	Nassella hyalina (Nees) Barkworth	2071
Nassella neesiana (Trin. & Rupr.) Barkworth	5289831	Plantae	introduced	plants	present	Nassella neesiana (Trin. & Rupr.) Barkworth	2072
Nassella tenuissima (Trin.) Barkworth	5289833	Plantae	introduced	plants	present	Nassella tenuissima (Trin.) Barkworth	2073
Navarretia squarrosa (Eschsch.) Hook. & Arn.	2927684	Plantae	introduced	plants	present	Navarretia squarrosa (Eschsch.) Hook. & Arn.	2204
Neillia incisa (Thunb.) S.H.Oh	3853033	Plantae	introduced	plants	present	Neillia incisa (Thunb.) S.H.Oh	2384
Neillia tanakae Franch. & Sav.	2987948	Plantae	introduced	plants	present	Neillia tanakae Franch. & Sav.	2385
Nemophila menziesii var. integrifolia Brand	7536406	Plantae	introduced	plants	present	Nemophila menziesii var. integrifolia Parish	834
Nemophila menziesii var. menziesii	6420901	Plantae	introduced	plants	present	Nemophila menziesii var. menziesii	835
Nemopsis bachei L. Agassiz, 1849	2266561	Animalia	established, to be determined by experts	wrims	present	Nemopsis bachei L. Agassiz, 1849	9481, 9482
Neogobius melanostomus (Pallas, 1814)	2379089	Animalia, nan	established, nan	fishes, harmonia, wrims	present	Neogobius melanostomus (Pallas, 1814)	14, 113, 9483
Neosiphonia harveyi (Bailey) M.-S.Kim, H.-G.Choi, Guiry & G.W.Saunders, 2001	5277404	Plantae	established	wrims	present	Neosiphonia harveyi (Bailey) M.-S.Kim, H.-G.Choi, Guiry & G.W.Saunders, 2001	9484
Neovison vison (Schreber, 1777)	2433652	nan	nan	harmonia	absent	Mustela vison Schreber, 1777	109
Nepeta grandiflora M.Bieb.	5341498	Plantae	introduced	plants	present	Nepeta grandiflora M.Bieb.	1553
Nepeta racemosa Lam.	5341497	Plantae	introduced	plants	present	Nepeta racemosa Lam.	1554
Nepeta ×faassenii Bergmans ex Stearn	7350989	Plantae	introduced	plants	present	Nepeta ×faassenii Bergmans ex Stearn	1555
Neslia paniculata subsp. paniculata	7225621	Plantae	introduced	plants	present	Neslia paniculata subsp. paniculata	947
Neslia paniculata subsp. thracica (Velen.) Bornm.	3047147	Plantae	introduced	plants	present	Neslia paniculata subsp. thracica (Velen.) Bornm.	948
