gbifapi_acceptedScientificName	gbifapi_acceptedKey	kingdom	invasionStage	datasetName	presenceBE	gbifapi_scientificName	index
Anser indicus (Latham, 1790)	2498035	nan	established	harmonia	present	Anser indicus (Latham, 1790)	34
Anthemis ruthenica M.Bieb.	3102823	Plantae	introduced	plants	present	Anthemis ruthenica M.Bieb.	508
Anthoxanthum aristatum Boiss.	2705972	Plantae	established	plants	present	Anthoxanthum aristatum Boiss.	1861
Anthriscus cerefolium (L.) Hoffm.	5371746	Plantae	unknown	plants	present	Anthriscus cerefolium (L.) Hoffm.	385
Anthyllis vulneraria subsp. carpatica (Pant.) Nyman	5352425	Plantae	unknown	plants	present	Anthyllis vulneraria subsp. carpatica (Pant.) Nyman	1249
Anthyllis vulneraria subsp. polyphylla (DC.) Nyman	5352372	Plantae	unknown	plants	present	Anthyllis vulneraria subsp. polyphylla (DC.) Nyman	1250
Antirrhinum graniticum Rothm.	7333212	Plantae	introduced	plants	present	Antirrhinum graniticum Rothm.	1798
Antirrhinum majus L.	3172001	Plantae	established	plants	present	Antirrhinum majus L.	1799
Antithamnionella spirographidis (Schiffner) E.M.Wollaston, 1968	2657651	Plantae	to be determined by experts	wrims	present	Antithamnionella spirographidis (Schiffner) E.M.Wollaston, 1968	9363
Antithamnionella ternifolia (J.D.Hooker & Harvey) Lyle, 1922	2657641	Plantae	established, to be determined by experts	wrims	present	Antithamnionella ternifolia (J.D.Hooker & Harvey) Lyle, 1922	9364, 9365
Apera intermedia Hack.	5676903	Plantae	introduced	plants	present	Apera intermedia Hack.	1863
Apera interrupta (L.) P.Beauv.	5289643	Plantae	established	plants	present	Apera interrupta (L.) P.Beauv.	1864
Aplidium glabrum (Verrill, 1871)	2330928	Animalia	established, to be determined by experts	wrims	present	Aplidium glabrum (Verrill, 1871)	9366, 9367
Aponogeton distachyos L.f.	5328593	Plantae	unknown	plants	present	Aponogeton distachyos L.f.	436
Aptenia cordifolia (L. f.) Schwantes	5384309	Plantae	introduced	plants	present	Mesembryanthemum cordifolium L. f.	245
Arabidopsis arenosa subsp. arenosa	7068732	Plantae	established	plants	present	Arabidopsis arenosa subsp. arenosa	860
Arabidopsis halleri (L.) O'Kane & Al-Shehbaz	3052450	Plantae	established	plants	present	Arabidopsis halleri (L.) O'Kane & Al-Shehbaz	861
Arabis auriculata Lam.	5375105	Plantae	introduced	plants	present	Arabis auriculata Lam.	863
Arabis collina Ten.	5374998	Plantae	unknown	plants	present	Arabis collina Ten.	864
Arabis planisiliqua (Pers.) Rchb.	5374933	Plantae	introduced	plants	present	Arabis planisiliqua (Pers.) Rchb.	865
Arabis procurrens Waldst. & Kit.	5375012	Plantae	introduced	plants	present	Arabis procurrens Waldst. & Kit.	866
Arachis hypogaea L.	5353770	Plantae	introduced	plants	present	Arachis hypogaea L.	1251
Aralia cordata Thunb.	3037015	Plantae	introduced	plants	present	Aralia cordata Thunb.	447
Aralia elata (Miq.) Seem.	3036892	Plantae	established	plants	present	Aralia elata (Miq.) Seem.	448
Aralia racemosa L.	3036958	Plantae	introduced	plants	present	Aralia racemosa L.	449
Araucaria araucana (Molina) K. Koch	2684984	Plantae	introduced	plants	present	Araucaria araucana (Molina) K. Koch	457
Arbutus unedo L.	2882803	Plantae	introduced	plants	present	Arbutus unedo L.	1207
Arctotheca calendula (L.) Levyns	3114986	Plantae	introduced	plants	present	Arctotheca calendula (L.) Levyns	509
Argemone mexicana L.	2888485	Plantae	introduced	plants	present	Argemone mexicana L.	1749
Aristida adscensionis L.	2706277	Plantae	introduced	plants	present	Aristida adscensionis L.	1865
Aristida congesta Roem. & Schult.	4128792	Plantae	introduced	plants	present	Aristida congesta Roem. & Schult.	1866
Aristida hordeacea Kunth	4126800	Plantae	introduced	plants	present	Aristida hordeacea Kunth	1867
Aristida longespica Poir.	6431764	Plantae	introduced	plants	present	Aristida longespica Poir.	1868
Aristolochia clematitis L.	2873991	Plantae	established	plants	present	Aristolochia clematitis L.	460
Aristolochia macrophylla Lam.	2873994	Plantae	unknown	plants	present	Isotrema macrophyllum (Lam.) C. F. Reed	463
Aristolochia rotunda L.	2874019	Plantae	introduced	plants	present	Aristolochia rotunda L.	461
Armeria maritima subsp. elongata (Hoffm.) Bonnier	4090836	Plantae	established	plants	present	Armeria maritima subsp. elongata (Hoffm.) Bonnier	1841
Armoracia rusticana P. Gaertn., B. Mey. & Scherb.	3041022	Plantae	established	plants	present	Armoracia rusticana P. Gaertn., B. Mey. & Scherb.	867
Arnebia decumbens (Vent.) Coss. & Kralik	7806790	Plantae	introduced	plants	present	Arnebia decumbens (Vent.) Coss. & Kralik	819
Artemisia abrotanum L.	8042568	Plantae	introduced	plants	present	Artemisia abrotanum L.	510
Artemisia annua L.	8373355	Plantae	established	plants	present	Artemisia annua L.	512
Artemisia austriaca Jacq.	3121668	Plantae	introduced	plants	present	Artemisia austriaca Jacq.	513
Artemisia biennis Willd.	3121226	Plantae	introduced	plants	present	Artemisia biennis Willd.	514
Artemisia campestris subsp. maritima (DC.) Arcang.	6077549	Plantae	established	plants	present	Artemisia campestris subsp. maritima (DC.) Arcang.	515
Artemisia dracunculus L.	3121581	Plantae	unknown	plants	present	Artemisia dracunculus L.	516
Artemisia ludoviciana Nutt.	3120950	Plantae	introduced	plants	present	Artemisia ludoviciana Nutt.	517
Artemisia pontica L.	8195160	Plantae	introduced	plants	present	Artemisia pontica L.	518
Artemisia princeps Pamp.	3121258	Plantae	established	plants	present	Artemisia princeps Pamp.	519
Artemisia scoparia Waldst. & Kitam.	3120713	Plantae	introduced	plants	present	Artemisia scoparia Waldst. & Kitam.	520
Artemisia sieversiana Ehrh.	7807853	Plantae	introduced	plants	present	Artemisia sieversiana Ehrh.	521
