index	nameMatchValidation	taxonID	datasetName	scientificName	verbatimScientificName	synonym	kingdom	phylum	class	order	family	genus	specificEpithet	infraspecificEpithet	vernacularNameEN	vernacularNameNL	vernacularNameFR	verbatimInvasionStage	invasionStage	invasionStageCertainty	BFIS	ISEIA	spatialDistribution	invasiveness	verbatimIntroductionPathway	introductionPathway	introductionMode	verbatimHabitat	habitat	verbatimNativeRange	nativeRange	verbatimPresenceBE	verbatimPresenceFL	verbatimPresenceWA	verbatimPresenceBR	verbatimPresenceBECoast	verbatimPresenceBPNS	verbatimPresenceBEEZ	presenceBE	presenceFL	presenceWA	presenceBR	presenceBECoast	presenceBPNS	presenceBEEZ	firstObservationYearBE	firstObservationYearFL	latestObservationYearBE	source	sourceID	riskAnalysis	publicationStatus	notes	manual_acceptedKey	gbifapi_usageKey	gbifapi_scientificName	gbifapi_canonicalName	gbifapi_status	gbifapi_rank	gbifapi_matchType	gbifapi_confidence	gbifapi_acceptedKey	gbifapi_acceptedScientificName
35	ok, SYNONYM	36	harmonia	Aspius aspius	Aspius aspius						Cyprinidae				Asp	Roofblei	Aspe	spread	invasive		b1	1.0	isolated		accidental	to be determined by experts		freshwater	freshwater	Europe	Europe	yes	yes	yes					present	present	present	present				1990					no	pending			2360181	Aspius aspius (Linnaeus, 1758)	Aspius aspius	SYNONYM	SPECIES	EXACT	99	5851603	Leuciscus aspius (Linnaeus, 1758)
36	empty name	38	harmonia		Aster americ.	A. lanceolatus, A. novi-belgii & A. salignus					Asteraceae				North American asters	Amerikaanse asters	Asters nord-américains	spread	invasive		a3	12.0	widespread		agri- and horticulture	escape > to be determined by experts		terrestrial	terrestrial	North America	N. America	yes	yes	yes					present	present	present	present				1830					no	draft											
37	no match	105	harmonia	Aster divaricatus	Aster divaricatus	Eurybia divaricata									White wood aster						c	3.0	isolated		agri- and horticulture	escape > to be determined by experts		terrestrial	terrestrial	North America	N. America	yes		yes					present	to be determined by experts	present	to be determined by experts				1946					no	pending											
38	no match	104	harmonia	Aster laevis	Aster laevis						Asteraceae				Smooth aster	Gladde aster	Aster lisse				c	3.0	isolated		agri- and horticulture	escape > to be determined by experts		terrestrial	terrestrial	North America	N. America	yes	yes	yes					present	present	present	present				1939					no	pending											
39	ok	137	harmonia	Aster lanceolatus	Aster lanceolatus						Asteraceae				Narrow-leaved michaelmas daisy	Smalle aster	Aster lancéolé	spread	invasive		a2	11.0	restricted		agri- and horticulture	escape > to be determined by experts		terrestrial	terrestrial	North America	N. America	yes	yes	yes					present	present	present	present				1835					no	published			7593922	Aster lanceolatus	Aster lanceolatus	ACCEPTED	SPECIES	EXACT	97	7593922	Aster lanceolatus
40	no match	143	harmonia	Aster novi-belgii	Aster novi-belgii						Asteraceae				Confused michaelmas daisy	Nieuw-nederlandse asters	Aster de viriginie	spread	invasive		b2	9.0	restricted		agri- and horticulture	escape > to be determined by experts		terrestrial	terrestrial	North America	N. America	yes	yes	yes					present	present	present	present				1865					no	pending			5406382	Aster novi-belgii L.	Aster novi-belgii	SYNONYM	SPECIES	EXACT	99	3151558	Symphyotrichum novi-belgii (L.) G.L.Nesom
41	no match	135	harmonia	Aster novi-belgii	Aster novi-belgii						Asteraceae				Confused michaelmas daisy	Nieuw-nederlandse asters	Aster de viriginie	spread	invasive		b3	9.0	widespread		agri- and horticulture	escape > to be determined by experts		terrestrial	terrestrial	North America	N. America	yes	yes	yes					present	present	present	present				1865					no	published			5406382	Aster novi-belgii L.	Aster novi-belgii	SYNONYM	SPECIES	EXACT	99	3151558	Symphyotrichum novi-belgii (L.) G.L.Nesom
42	ok, updated to accepted	138	harmonia	Symphyotrichum salignum	Aster x salignus	A. lanceolatus x novi-belgii					Asteraceae				Common michaelmas daisy	Wilgaster	Aster à feuilles de saule	spread	invasive		a2	11.0	restricted		agri- and horticulture	escape > to be determined by experts		terrestrial	terrestrial	North America	N. America	yes	yes	yes					present	present	present	present				1861					no	published			3151811	Symphyotrichum salignum (Willd.) G.L.Nesom	Symphyotrichum salignum	DOUBTFUL	SPECIES	EXACT	97	3151811	Symphyotrichum salignum (Willd.) G.L.Nesom
43	ok	40	harmonia	Azolla filiculoides	Azolla filiculoides	Azolla caroliniana					Azollaceae				Water fern	Grote kroosvaren	Azolla	spread	invasive		b2	9.0	restricted		aquariums and ponds	escape > to be determined by experts		freshwater	freshwater	North America, South America	N. America | S. America	yes	yes	yes					present	present	present	present				1912					no	published			2650107	Azolla filiculoides Lam.	Azolla filiculoides	ACCEPTED	SPECIES	EXACT	99	2650107	Azolla filiculoides Lam.
44	manual match	41	harmonia	Baccharis halimifolia	Baccharis halimifolia						Asteraceae				Eastern baccharis	Struikaster	Séneçon en arbre	spread	invasive		a1	12.0	isolated		agri- and horticulture	escape > to be determined by experts		terrestrial	terrestrial	North America	N. America	yes	yes	no					present	present	absent	to be determined by experts				1924					no	published		3129663	3129663	Baccharis halimifolia L.	Baccharis halimifolia	DOUBTFUL	SPECIES	EXACT	95	3129663	Baccharis halimifolia L.
