id,scientificname,species_group,species_type,species_status,count_obs
17127,Araneus quadratus,Geleedpotigen (overig),S,Native,904
17128,Sciomyzidae indet.,Vliegen en Muggen,M,Native,82
17129,Cyperus longus,Planten,S,Incidental / Vagrant / Migrant,85
17130,Carex x elytroides (C. acuta x nigra),Planten,H,Native,45
17132,Carex reichenbachii,Planten,S,Native,78
17133,Dactylis polygama,Planten,S,Naturalized,16
17134,Glyceria x pedicellata (G. fluitans x notata),Planten,H,Native,6
17135,Polypogon viridis,Planten,S,Naturalized,145
17136,Elytrigia maritima,Planten,S,Native,61
17137,x Triticosecale,Planten,H,Incidental / Vagrant / Migrant,10
17138,Eragrostis tef,Planten,S,Incidental / Vagrant / Migrant,8
17140,Papaver orientale,Planten,S,Incidental / Vagrant / Migrant,20
17141,Persicaria pensylvanica,Planten,S,Incidental / Vagrant / Migrant,1
17142,Fallopia x bohemica (F. japonica x sachalinensis),Planten,H,Naturalized,299
17143,Rumex x pratensis (R. crispus x obtusifolius),Planten,H,Native,1855
17144,Spergularia media,Planten,S,Native,156
17145,Cerastium glutinosum,Planten,S,Native,30
17146,Petrorhagia saxifraga,Planten,S,Incidental / Vagrant / Migrant,27
17147,Amaranthus hybridus subsp. bouchonii,Planten,I,Naturalized,270
17148,Chenopodium chenopodioides,Planten,S,Native,9
17149,Chenopodium quinoa,Planten,S,Incidental / Vagrant / Migrant,3
17151,Tellima grandiflora,Planten,S,Naturalized,137
17152,Sedum spectabile,Planten,S,Incidental / Vagrant / Migrant,65
17153,Myriophyllum heterophyllum,Planten,S,Naturalized,49
17154,Parthenocissus tricuspidata,Planten,S,Naturalized,43
17155,Phaonia rufiventris,Vliegen en Muggen,S,Native,32
17157,Astata boops,Bijen wespen en mieren,S,Native,48
17158,Nabis flavomarginatus,Wantsen en Cicaden,S,Native,3
17159,Lygus pratensis,Wantsen en Cicaden,S,Native,475
17160,Colletes daviesanus,Bijen wespen en mieren,S,Native,975
17161,Geranium macrorrhizum,Planten,S,Naturalized,263
17162,Geranium endressii,Planten,S,Incidental / Vagrant / Migrant,124
17163,Geranium sylvaticum,Planten,S,Native,265
17164,Oenothera oakesiana,Planten,S,Incidental / Vagrant / Migrant,12
17165,Oenothera x fallax (O. biennis x glazioviana),Planten,H,Naturalized,186
17166,Ludwigia grandiflora,Planten,S,Naturalized,301
17167,Ludwigia peploides,Planten,S,Naturalized,31
