	gbifapi_acceptedScientificName	gbifapi_acceptedKey	kingdom	datasetName	firstObservationYearBE	firstObservationYearFL	invasionStage	habitat	nativeRange	introductionPathway	presenceBE	presenceFL	presenceWA	presenceBR	gbifapi_scientificName	index
1331	Lonicera ×purpusii Rehder	5598839	Plantae	plants	2006.0		introduced	to be determined by experts	unknown	escape > horticulture	present	present	absent	absent	Lonicera ×purpusii Rehder	1020
1332	Lopezia racemosa Cav.	7161168	Plantae	plants	1978.0		introduced	to be determined by experts	N. America | S. America	escape > horticulture	present	present	absent	absent	Lopezia racemosa Cav.	1686
1334	Lotus angustissimus L.	5356931	Plantae	plants	1872.0		introduced	to be determined by experts	to be determined by experts	unknown	present	absent	present	absent	Lotus angustissimus L.	1295
1335	Lotus conimbricensis Brot.	5356971	Plantae	plants	1809.0		introduced	to be determined by experts	to be determined by experts	contaminant > contaminant on animals (except parasites, species transported by host/vector)	present	absent	present	absent	Lotus conimbricensis Brot.	1296
1336	Lotus maritimus L.	5356973	Plantae	plants	1861.0		introduced	to be determined by experts	to be determined by experts	unknown	present	present	present	absent	Lotus maritimus L.	1298
1337	Lotus tetragonolobus L.	5356862	Plantae	plants	1854.0		introduced	to be determined by experts	to be determined by experts	unknown	present	present	present	absent	Lotus tetragonolobus L.	1299
1338	Ludwigia grandiflora (Michaux) Greuter & Burdet	5421039		harmonia	1983.0		invasive	freshwater	S. America	escape > to be determined by experts	present	present	present	present	Ludwigia grandiflora (Michaux) Greuter & Burdet	101
1339	Ludwigia peploides (Kunth) P. H. Raven	5420991		harmonia	1995.0		invasive	freshwater	S. America	escape > to be determined by experts	present	to be determined by experts	present	to be determined by experts	Ludwigia peploides (Kunth) P. H. Raven	102
1340	Ludwigia peploides subsp. montevidensis (Spreng.) Raven	5545159	Plantae	plants	1997.0		established	to be determined by experts	N. America | S. America	escape > horticulture	present	present	present	absent	Ludwigia peploides subsp. montevidensis (Spreng.) Raven	1688
1341	Lunaria annua L.	5373324	Plantae	plants	1862.0		established	to be determined by experts	Europe	escape > horticulture	present	present	present	present	Lunaria annua L.	942
1342	Lupinus albus L.	2964167	Plantae	plants	1983.0		introduced	to be determined by experts	Europe	escape > horticulture	present	absent	present	absent	Lupinus albus L.	1300
1343	Lupinus angustifolius L.	2964025	Plantae	plants	1861.0		introduced	to be determined by experts	to be determined by experts	escape > agriculture (including biofuel feedstocks)	present	present	present	present	Lupinus angustifolius L.	1301
1344	Lupinus luteus L.	2963817	Plantae	plants	1869.0		introduced	to be determined by experts	Europe | Africa	escape > agriculture (including biofuel feedstocks)	present	present	present	absent	Lupinus luteus L.	1302
1345	Lupinus polyphyllus Lindl.	2964355	Plantae	harmonia | plants	1882.0		established | invasive	terrestrial | to be determined by experts	N. America	escape > horticulture | escape > to be determined by experts	present	present	present	present	Lupinus polyphyllus Lindl.	103 | 1303
1346	Luzula nivea (Nathh.) DC.	2700768	Plantae	plants	2013.0		introduced	to be determined by experts	Europe	escape > horticulture	present	present	absent	absent	Luzula nivea (Nathh.) DC.	1520
1347	Lycium barbarum L.	2928835	Plantae	plants	1857.0		established	to be determined by experts	Asia	escape > horticulture	present	present	present	present	Lycium barbarum L.	2555
1348	Lycium chinense Miller	2928809	Plantae	plants	1946.0		introduced	to be determined by experts	Asia	escape > horticulture	present	present	absent	absent	Lycium chinense Miller	2556
1349	Lycopus exaltatus L.f.	5605751	Plantae	plants	1855.0		introduced	to be determined by experts	Europe | Asia	unknown	present	present	present	absent	Lycopus exaltatus L.f.	1545
1350	Lysichiton americanus Hultén & H.St.John	2869311		harmonia	2006.0		established	terrestrial	N. America	escape > to be determined by experts	present	absent	present	to be determined by experts	Lysichiton americanus Hultén & H.St.John	104
1351	Lysimachia ciliata L.	3169391	Plantae	plants	1811.0		introduced	to be determined by experts	N. America	escape > horticulture	present	present	present	absent	Lysimachia ciliata L.	2275
1352	Lysimachia punctata L.	3169340	Plantae	plants	1847.0		established	to be determined by experts	Europe | Asia	escape > horticulture	present	present	present	present	Lysimachia punctata L.	2278
1353	Lythrum acutangulum Lag.	3989886	Plantae	plants	1874.0		introduced	to be determined by experts	Europe | Africa	contaminant > seed contaminant	present	absent	present	absent	Lythrum acutangulum Lag.	1605
1354	Lythrum junceum Banks & Solander	3988701	Plantae	plants	1926.0		introduced	to be determined by experts	to be determined by experts	contaminant > seed contaminant	present	present	present	absent	Lythrum junceum Banks & Solander	1606
1355	Lythrum virgatum L.	3188735	Plantae	plants	1953.0		introduced	to be determined by experts	Europe	escape > horticulture	present	present	present	absent	Lythrum virgatum L.	1607
1356	Macleaya cordata (Willd.) R. Br.	5334194	Plantae	plants	2001.0		unknown	to be determined by experts	Asia	escape > horticulture	present	present	present	absent	Macleaya cordata (Willd.) R. Br.	1755
1357	Madia sativa Molina	3140910	Plantae	plants	1941.0		introduced	to be determined by experts	N. America | S. America	contaminant > seed contaminant	present	present	absent	absent	Madia sativa Molina	684
1358	Maianthemum dilatatum (Alph.Wood) A.Nelson & J.F.Macbr.	2769435	Plantae	plants	2013.0		unknown	to be determined by experts	Asia | N. America	escape > horticulture	present	present	absent	absent	Maianthemum dilatatum (Alph.Wood) A.Nelson & J.F.Macbr.	477
1359	Malcolmia maritima (L.) R. Br.	7372514	Plantae	plants	1887.0		introduced	to be determined by experts	Europe	escape > horticulture	present	present	present	present	Malcolmia maritima (L.) R. Br.	943
1360	Malope malacoides L.	7278926	Plantae	plants	1995.0		introduced	to be determined by experts	to be determined by experts	contaminant > seed contaminant	present	present	absent	absent	Malope malacoides L.	1619
1361	Malope trifida Cav.	3935421	Plantae	plants	1905.0		introduced	to be determined by experts	Europe | Africa	contaminant > seed contaminant | escape > horticulture	present	absent	present	absent	Malope trifida Cav.	1620
1362	Malus baccata (L.) Borkh.	3001362	Plantae	plants	2007.0		introduced	to be determined by experts	Asia	escape > horticulture	present	present	absent	absent	Malus baccata (L.) Borkh.	2379
1363	Malus sieboldii (Regel) Rehder	3001650	Plantae	plants	2006.0		introduced	to be determined by experts	Asia	escape > horticulture	present	present	absent	absent	Malus sieboldii (Regel) Rehder	2380
1364	Malus ×purpurea (Barbey) Rehder	3001270	Plantae	plants	2010.0		introduced	to be determined by experts	unknown	escape > horticulture	present	present	absent	absent	Malus ×purpurea (Barbey) Rehder	2382
1365	Malva australiana M.F. Ray	3935002	Plantae	plants	1948.0		introduced	to be determined by experts	Oceania	contaminant > contaminant on animals (except parasites, species transported by host/vector)	present	absent	present	absent	Malva preissiana Miq.	1625
1366	Malva maroccana (Batt. & Trab.) Verloove & Lambinon	7823743	Plantae	plants	2005.0		introduced	to be determined by experts	Europe | Africa	contaminant > seed contaminant	present	absent	present	absent	Malva maroccana (Batt. & Trab.) Verloove & Lambinon	1622
1367	Malva nicaeensis All.	3152367	Plantae	plants	1891.0		introduced	to be determined by experts	to be determined by experts	contaminant > contaminant on animals (except parasites, species transported by host/vector) | contaminant > seed contaminant	present	present	present	absent	Malva nicaeensis All.	1623
1368	Malva parviflora L.	3152378	Plantae	plants	1850.0		introduced	to be determined by experts	to be determined by experts	contaminant > contaminant on animals (except parasites, species transported by host/vector) | contaminant > seed contaminant	present	present	present	absent	Malva parviflora L.	1624
1369	Malva punctata (All.) Alef.	3940960	Plantae	plants	1918.0		introduced	to be determined by experts	to be determined by experts	unknown	present	absent	present	absent	Malva punctata (All.) Alef.	1627
1370	Malva pusilla Sm.	3152372	Plantae	plants	1872.0		introduced	to be determined by experts	to be determined by experts	contaminant > contaminant on animals (except parasites, species transported by host/vector) | contaminant > seed contaminant	present	present	present	present	Malva pusilla Sm.	1628
1371	Malva thuringiaca (L.) Vis.	3940423	Plantae	plants	1893.0		introduced	to be determined by experts	Europe | Asia	contaminant > seed contaminant | escape > horticulture	present	present	present	present	Malva thuringiaca (L.) Vis.	1630
1372	Malva verticillata L.	3152377	Plantae	plants	1858.0		introduced	to be determined by experts	Asia	contaminant > seed contaminant | escape > horticulture	present	present	present	present	Malva verticillata L.	1633
1373	Malva ×clementii (Cheek) Stace	8402586	Plantae	plants	2006.0		introduced	to be determined by experts	unknown	escape > horticulture	present	present	present	absent	Malva ×clementii (Cheek) Stace	1634
1374	Malvastrum americanum (L.) Torr.	3152264	Plantae	plants	1892.0		introduced	to be determined by experts	S. America	contaminant > contaminant on animals (except parasites, species transported by host/vector) | contaminant > seed contaminant	present	present	present	absent	Malvastrum americanum (L.) Torr.	1635
1375	Malvastrum coromandelianum (L.) Garcke	3152268	Plantae	plants	1996.0		introduced	to be determined by experts	S. America	contaminant > seed contaminant	present	present	absent	absent	Malvastrum coromandelianum (L.) Garcke	1636
1376	Mantisalca salmantica (L.) Briq. & Cavill.	3141571	Plantae	plants	1877.0		introduced	to be determined by experts	Europe | Africa	contaminant > seed contaminant	present	present	absent	absent	Microlonchus salmanticus (L.) DC.	690
1377	Marenzelleria neglecta Sikorski & Bick, 2004	2321010	Animalia	macroinvertebrates | wrims	1996.0	2008	established	estuarine | to be determined by experts, primarily marine probably	N. America | to be determined by experts	stowaway > to be determined by experts | to be determined by experts	present	present	to be determined by experts	to be determined by experts	Marenzelleria neglecta Sikorski & Bick, 2004	166 | 9449
1378	Marenzelleria viridis (Verrill, 1873)	2321012	Animalia	macroinvertebrates | wrims	1996.0	1995	established | introduced	estuarine | to be determined by experts, primarily marine probably	N. America | to be determined by experts	stowaway > to be determined by experts | to be determined by experts	present	present	to be determined by experts	to be determined by experts	Marenzelleria viridis (Verrill, 1873)	165 | 9450
1379	Marrubium peregrinum L.	3905970	Plantae	plants	1835.0		introduced	to be determined by experts	Europe | Asia	contaminant > seed contaminant	present	absent	present	absent	Marrubium peregrinum L.	1546
1380	Matricaria discoidea DC.	3103791	Plantae	plants	1893.0		established	to be determined by experts	Asia | N. America	unknown	present	present	present	present	Matricaria discoidea DC.	685
1381	Matthiola incana (Linnaeus) R. Brown	8207952	Plantae	plants	2012.0		introduced	to be determined by experts	Europe	escape > horticulture	present	present	absent	absent	Matthiola incana (Linnaeus) R. Brown	944
1382	Mauranthemum paludosum (Poir.) Vogt & Oberpr.	3096529	Plantae	plants	2000.0		introduced	to be determined by experts	Europe | Africa	escape > horticulture	present	present	present	absent	Mauranthemum paludosum (Poir.) Vogt & Oberpr.	687
1383	Mazus pumilus (Burm. fil.) Steenis	3171304	Plantae	plants	2014.0		unknown	to be determined by experts	Asia	unknown	present	present	absent	absent	Mazus pumilus (Burm. fil.) Steenis	1646
1384	Medicago carstiensis Wulfen	2965232	Plantae	plants	1896.0		introduced	to be determined by experts	Europe	contaminant > seed contaminant	present	present	absent	absent	Medicago carstiensis Wulfen	1304
1385	Medicago doliata Carmign.	2965459	Plantae	plants	1894.0		introduced	to be determined by experts	to be determined by experts	contaminant > contaminant on animals (except parasites, species transported by host/vector)	present	present	present	absent	Medicago doliata Carmign.	1305
1386	Medicago fischeriana (Ser.) Trautv.	2965233	Plantae	plants	1902.0		introduced	to be determined by experts	Europe | Asia	contaminant > contaminant on animals (except parasites, species transported by host/vector)	present	absent	present	absent	Medicago fischeriana (Ser.) Trautv.	1306
1387	Medicago intertexta subsp. ciliaris (L.) Ponert	2965409	Plantae	plants	1947.0		introduced	to be determined by experts	to be determined by experts	contaminant > contaminant on animals (except parasites, species transported by host/vector)	present	present	present	absent	Medicago intertexta subsp. ciliaris (L.) Ponert	1307
1388	Medicago intertexta subsp. intertexta	2965406	Plantae	plants	1858.0		introduced	to be determined by experts	to be determined by experts	unknown	present	present	absent	absent	Medicago intertexta subsp. intertexta	1308
1389	Medicago laciniata (L.) Mill.	2965221	Plantae	plants	1891.0		introduced	to be determined by experts	Africa | Asia	contaminant > contaminant on animals (except parasites, species transported by host/vector)	present	present	present	absent	Medicago laciniata (L.) Mill.	1309
1390	Medicago littoralis Loisel.	2965485	Plantae	plants	1918.0		introduced	to be determined by experts	to be determined by experts	stowaway > people and their luggage/equipment (in particular tourism)	present	present	absent	absent	Medicago littoralis Loisel.	1310
1391	Medicago monspeliaca (L.) Trautv.	2965434	Plantae	plants	2015.0		introduced	to be determined by experts	to be determined by experts	contaminant > seed contaminant	present	present	absent	absent	Medicago monspeliaca (L.) Trautv.	1313
1392	Medicago murex Willd.	2965209	Plantae	plants	1923.0		introduced	to be determined by experts	to be determined by experts	contaminant > seed contaminant	present	present	absent	absent	Medicago murex Willd.	1314
1393	Medicago orbicularis (L.) Bartal.	2965299	Plantae	plants	1854.0		introduced	to be determined by experts	to be determined by experts	unknown	present	present	absent	absent	Medicago orbicularis (L.) Bartal.	1315
1394	Medicago polymorpha L.	2965531	Plantae	plants	1813.0		introduced	to be determined by experts	to be determined by experts	contaminant > contaminant on animals (except parasites, species transported by host/vector) | contaminant > seed contaminant	present	present	present	present	Medicago polymorpha L.	1316
1395	Medicago praecox DC.	2965419	Plantae	plants	1887.0		introduced	to be determined by experts	to be determined by experts	contaminant > contaminant on animals (except parasites, species transported by host/vector)	present	present	present	absent	Medicago praecox DC.	1317
1396	Medicago rigidula (L.) All.	2965438	Plantae	plants	1822.0		introduced	to be determined by experts	to be determined by experts	contaminant > contaminant on animals (except parasites, species transported by host/vector)	present	absent	present	present	Medicago rigidula (L.) All.	1318
1397	Medicago sativa L.	2965324	Plantae	plants	1856.0		established	to be determined by experts	to be determined by experts	escape > agriculture (including biofuel feedstocks)	present	present	present	present	Medicago sativa L.	1319
1398	Medicago sativa subsp. varia (Martyn) Arcang.	8316569	Plantae	plants	1859.0		unknown	to be determined by experts	unknown	to be determined by experts	present	present	present	present	Medicago varia Martyn	1324
1399	Medicago scutellata (L.) Mill.	2965397	Plantae	plants	1911.0		introduced	to be determined by experts	to be determined by experts	contaminant > seed contaminant	present	present	present	absent	Medicago scutellata (L.) Mill.	1320
1400	Medicago tornata subsp. helix (Willd.) Ooststr. & Reichg.	2965254	Plantae	plants	1949.0		introduced	to be determined by experts	to be determined by experts	unknown	present	present	absent	absent	Medicago tornata subsp. helix (Willd.) Ooststr. & Reichg.	1321
1401	Medicago truncatula Gaertn.	2965280	Plantae	plants	1834.0		introduced	to be determined by experts	to be determined by experts	contaminant > contaminant on animals (except parasites, species transported by host/vector) | contaminant > seed contaminant	present	present	present	absent	Medicago truncatula Gaertn.	1322
1402	Medicago turbinata (L.) All.	2965461	Plantae	plants	1882.0		introduced	to be determined by experts	to be determined by experts	unknown	present	present	absent	absent	Medicago turbinata (L.) All.	1323
1403	Megabalanus coccopoma (Darwin, 1854)	5166489	Animalia	macroinvertebrates | wrims	1997.0	1997	established | to be determined by experts	marine | to be determined by experts, primarily marine probably	S. America | to be determined by experts	stowaway > to be determined by experts | to be determined by experts	present	present	to be determined by experts	to be determined by experts	Megabalanus coccopoma (Darwin, 1854)	212 | 9451 | 9452 | 9453
1404	Megabalanus tintinnabulum (Linnaeus, 1758)	5166487	Animalia	macroinvertebrates | wrims	1998.0	1998	established | to be determined by experts	marine | to be determined by experts, primarily marine probably	Africa | Indian Ocean | S. Pacific Ocean | to be determined by experts	stowaway > to be determined by experts | to be determined by experts	present	present	to be determined by experts	to be determined by experts	Megabalanus tintinnabulum (Linnaeus, 1758)	211 | 9454 | 9455
1405	Melampodium montanum Benth.	3139003	Plantae	plants	2003.0		introduced	to be determined by experts	N. America | S. America	escape > horticulture	present	present	absent	absent	Melampodium montanum Benth.	688
1406	Melampodium perfoliatum (Cav.) Kunth	3138953	Plantae	plants	1995.0		introduced	to be determined by experts	N. America | S. America	contaminant > seed contaminant	present	present	absent	absent	Melampodium perfoliatum (Cav.) Kunth	689
1407	Melampyrum nemorosum L.	7331666	Plantae	plants	2015.0		introduced	to be determined by experts	Europe	contaminant > timber trade	present	present	absent	absent	Melampyrum nemorosum L.	1731
1408	Melia azedarach L.	5914287	Plantae	plants	2006.0		introduced	to be determined by experts	Asia | Oceania	escape > horticulture	present	present	absent	absent	Melia azedarach L.	1649
1409	Melica altissima L.	2703109	Plantae	plants	1888.0		introduced	to be determined by experts	Europe | Asia	escape > horticulture	present	absent	present	absent	Melica altissima L.	2062
1410	Melilotus albus Medik.	2971095	Plantae	plants	1800.0		established	to be determined by experts	Europe | Asia	contaminant > contaminant on animals (except parasites, species transported by host/vector) | contaminant > seed contaminant	present	present	present	present	Melilotus albus Medik.	1325
1411	Melilotus elegans Ser.	2971036	Plantae	plants	1949.0		introduced	to be determined by experts	to be determined by experts	unknown	present	absent	present	absent	Melilotus elegans Ser.	1326
1412	Melilotus indicus (L.) All.	2971016	Plantae	plants	1851.0		introduced	to be determined by experts	Europe | Asia	contaminant > contaminant on animals (except parasites, species transported by host/vector) | contaminant > seed contaminant	present	present	present	present	Melilotus indicus (L.) All.	1328
1413	Melilotus infestus Guss.	2971033	Plantae	plants	2012.0		introduced	to be determined by experts	Europe | Africa	contaminant > seed contaminant	present	present	absent	absent	Melilotus infestus Guss.	1327
1414	Melilotus messanensis (L.) All.	2971107	Plantae	plants	1948.0		introduced	to be determined by experts	to be determined by experts	contaminant > contaminant on animals (except parasites, species transported by host/vector)	present	present	present	absent	Melilotus messanensis (L.) All.	1329
1415	Melilotus sulcatus Desf.	2971112	Plantae	plants	1893.0		introduced	to be determined by experts	to be determined by experts	contaminant > seed contaminant	present	present	absent	absent	Melilotus sulcatus Desf.	1331
1416	Melilotus wolgicus Poir.	2971068	Plantae	plants	1958.0		introduced	to be determined by experts	Asia	unknown	present	present	absent	absent	Melilotus wolgicus Poir.	1332
1417	Melissa officinalis L.	5341501	Plantae	plants	1800.0		unknown	to be determined by experts	to be determined by experts	escape > horticulture	present	present	present	present	Melissa officinalis L.	1547
1418	Melita nitida S. I. Smith, 1873	2215949	Animalia	macroinvertebrates | wrims	1996.0	1996	established	marine | to be determined by experts, primarily marine probably	N. America | to be determined by experts	stowaway > to be determined by experts | to be determined by experts	present	present	to be determined by experts	to be determined by experts	Melita nitida S. I. Smith, 1873	187 | 9456
1419	Menetus dilatatus Gould, 1841	5189713	Animalia	macroinvertebrates	1998.0	1998	established	freshwater	N. America	corridor > to be determined by experts | stowaway > to be determined by experts	present	present	to be determined by experts	to be determined by experts	Menetus dilatatus Gould, 1841	222
1420	Mentha cervina L.	3902360	Plantae	plants	2012.0		unknown	to be determined by experts	Europe | Africa	escape > horticulture	present	present	absent	absent	Mentha cervina L.	1548
1421	Mentha requienii Benth.	2927174	Plantae	plants	2013.0		unknown	to be determined by experts	Europe	escape > horticulture	present	present	absent	absent	Mentha requienii Benth.	1549
1422	Mentha wirtgeniana F.W.Schultz	3893979	Plantae	plants	1835.0		introduced	to be determined by experts	unknown	escape > horticulture	present	present	present	absent	Mentha smithiana R.A.Graham	1552
1423	Mentzelia albicaulis Dougl. ex Hook.	7397079	Plantae	plants	1893.0		introduced	to be determined by experts	N. America	contaminant > seed contaminant	present	present	absent	absent	Mentzelia albicaulis Dougl. ex Hook.	1604
1424	Mercenaria mercenaria (Linnaeus, 1758)	2287668	Animalia	macroinvertebrates | wrims	1933.0	1933	established | to be determined by experts	marine | to be determined by experts, primarily marine probably	N. America | to be determined by experts	stowaway > to be determined by experts | to be determined by experts	present	present	to be determined by experts	to be determined by experts	Mercenaria mercenaria (Linnaeus, 1758)	233 | 9457 | 9458
1425	Mesembryanthemum cordifolium L. fil.	8185812	Plantae	plants	1892.0		introduced	to be determined by experts	Africa	contaminant > contaminant on animals (except parasites, species transported by host/vector)	present	absent	present	absent	Mesembryanthemum cordifolium L. fil.	245
1426	Mesembryanthemum crystallinum L.	3084839	Plantae	plants	1955.0		introduced	to be determined by experts	Africa	escape > horticulture	present	absent	present	absent	Mesembryanthemum crystallinum L.	246
1427	Mesembryanthemum nodiflorum L.	3084837	Plantae	plants	1895.0		introduced	to be determined by experts	to be determined by experts	contaminant > contaminant on animals (except parasites, species transported by host/vector)	present	absent	present	absent	Mesembryanthemum nodiflorum L.	247
1428	Mespilus germanica L.	3031774	Plantae	plants	1800.0		established	to be determined by experts	Europe | Asia	escape > horticulture	present	present	present	present	Mespilus germanica L.	2383
1429	Micropogonias undulatus (Linnaeus, 1766)	2399874	Animalia	wrims	1998.0		established | introduced | to be determined by experts	to be determined by experts, primarily marine probably	to be determined by experts	to be determined by experts	present		to be determined by experts	to be determined by experts	Micropogonias undulatus (Linnaeus, 1766)	9459 | 9460 | 9461
1430	Micropterus salmoides (Lacepède, 1802)	2394563		harmonia	1880.0			freshwater	N. America	to be determined by experts	absent	absent	absent	absent	Micropterus salmoides (Lacepède, 1802)	106
1431	Milium vernale M.Bieb.	2706195	Plantae	plants	1844.0		introduced	to be determined by experts	Europe	contaminant > contaminant on animals (except parasites, species transported by host/vector)	present	present	present	absent	Milium vernale M.Bieb.	2063
1432	Mirabilis jalapa L.	3086240	Plantae	plants	1858.0		introduced	to be determined by experts	N. America | S. America	escape > horticulture	present	present	present	absent	Mirabilis jalapa L.	1660
1433	Miscanthus sacchariflorus (Maxim.) Hack.	2706023	Plantae	plants	1999.0		established	to be determined by experts	Asia	escape > horticulture	present	present	present	absent	Miscanthus sacchariflorus (Maxim.) Benth. & Hook. f.	2064
1434	Miscanthus sinensis Andersson	2706026	Plantae	plants	1982.0		introduced	to be determined by experts	Asia	escape > horticulture	present	present	present	absent	Miscanthus sinensis Andersson	2065
1435	Misopates calycinum (Vent.) Rothm.	8601617	Plantae	plants	1915.0		introduced	to be determined by experts	Europe | Africa	unknown	present	absent	present	absent	Misopates calycinum (Vent.) Rothm.	1819
1436	Mnemiopsis leidyi A. Agassiz, 1865	2501248	Animalia	wrims	2007.0		established | to be determined by experts	to be determined by experts, primarily marine probably	to be determined by experts	to be determined by experts	present		to be determined by experts	to be determined by experts	Mnemiopsis leidyi A. Agassiz, 1865	9462 | 9463 | 9464 | 9465
1437	Modiola caroliniana (L.) G. Don fil.	8338793	Plantae	plants	1893.0		introduced	to be determined by experts	S. America	contaminant > contaminant on animals (except parasites, species transported by host/vector) | contaminant > seed contaminant	present	present	present	absent	Modiola caroliniana (L.) G. Don fil.	1637
1438	Molgula manhattensis (De Kay, 1843)	2331498	Animalia	wrims	1847.0		established | introduced | to be determined by experts	to be determined by experts, primarily marine probably	to be determined by experts	to be determined by experts	present		to be determined by experts	to be determined by experts	Molgula manhattensis (De Kay, 1843)	9466 | 9467 | 9468
1439	Molinia caerulea (L.) Moench	5289877	Plantae	plants	2006.0		unknown	to be determined by experts	to be determined by experts	unknown	present	present	absent	absent	Molinia caerulea subsp. arundinacea (Schrank) K. Richt.	2066
1440	Mollugo verticillata L.	3084611	Plantae	plants	1887.0		introduced	to be determined by experts	S. America	contaminant > transportation of habitat material (soil, vegetation,…)	present	present	present	absent	Mollugo verticillata L.	1651
1441	Moneses uniflora (L.) A. Gray	2888298	Plantae	plants	1850.0		introduced	to be determined by experts	Europe | Asia | N. America	contaminant > contaminant on plants (except parasites, species transported by host/vector)	present	present	present	absent	Moneses uniflora (L.) A. Gray	1215
1442	Monocorophium sextonae (Crawford, 1937)	4314702	Animalia	macroinvertebrates | wrims	1993.0	1993	established | to be determined by experts	estuarine | marine | to be determined by experts, primarily marine probably	Oceania | to be determined by experts	stowaway > to be determined by experts | to be determined by experts	present	present	to be determined by experts	to be determined by experts	Monocorophium sextonae (Crawford, 1937)	179 | 9469 | 9470
1443	Monopylephorus limosus (Hatai, 1898)	4410150	Animalia	macroinvertebrates	2002.0	2002	established	freshwater	Asia	stowaway > to be determined by experts	present	present	to be determined by experts	to be determined by experts	Monopylephorus limosus (Hatai, 1898)	172
1444	Monsonia angustifolia E. Mey. ex A. Rich.	7926816	Plantae	plants	1893.0		introduced	to be determined by experts	Africa	contaminant > contaminant on animals (except parasites, species transported by host/vector)	present	absent	present	absent	Monsonia angustifolia E. Mey. ex A. Rich.	1459
1445	Monsonia brevirostrata Knuth	3827967	Plantae	plants	1908.0		introduced	to be determined by experts	Africa	contaminant > contaminant on animals (except parasites, species transported by host/vector)	present	absent	present	absent	Monsonia brevirostrata Knuth	1460
1446	Morus alba L.	5361889	Plantae	plants	1850.0		introduced	to be determined by experts	Asia	escape > horticulture	present	absent	absent	present	Morus alba L.	1658
1447	Muhlenbergia mexicana (L.) Trin.	2704038	Plantae	plants	1824.0		introduced	to be determined by experts	N. America	contaminant > seed contaminant	present	present	present	present	Muhlenbergia mexicana (L.) Trin.	2068
1449	Muscari armeniacum Leichtlin ex Baker	2772174	Plantae	plants	1975.0		established	to be determined by experts	Europe | Asia	escape > horticulture	present	present	present	absent	Muscari armeniacum Leichtlin ex Baker	478
1450	Muscari latifolium J.Kirk	2772082	Plantae	plants	2014.0		introduced	to be determined by experts	Asia	escape > horticulture	present	present	absent	absent	Muscari latifolium J.Kirk	479
1451	Mya arenaria Linnaeus, 1758	7791733	Animalia	macroinvertebrates | wrims	1700.0	 1700	established | to be determined by experts	marine | to be determined by experts, primarily marine probably	N. America | to be determined by experts	stowaway > to be determined by experts | to be determined by experts	present	present	to be determined by experts	to be determined by experts	Mya arenaria Linnaeus, 1758	216 | 9471 | 9472 | 9473
1452	Myagrum perfoliatum L.	3047811	Plantae	plants	1821.0		introduced	to be determined by experts	Europe | Asia	contaminant > contaminant on animals (except parasites, species transported by host/vector) | contaminant > seed contaminant	present	present	present	present	Myagrum perfoliatum L.	946
1454	Myocastor coypus (Molina, 1782)	4264680		harmonia	1975.0		invasive	freshwater	S. America	escape > fur farms	present	present	present	present	Myocastor coypus (Molina, 1782)	110
1455	Myosotis alpestris subsp. alpestris	7295191	Plantae	plants	2007.0		introduced	to be determined by experts	Europe | Asia | N. America	escape > horticulture	present	present	absent	absent	Myosotis alpestris F. W. Schmidt	833
1456	Myricaria germanica (L.) Desv.	3612876	Plantae	plants	1858.0		introduced	to be determined by experts	Europe	unknown	unknown	unknown	unknown	unknown	Myricaria germanica (L.) Desv.	2606
1457	Myriophyllum aquaticum (Vellozo) Verdcourt	5361785	Plantae	harmonia | plants	1983.0		established | invasive	freshwater | to be determined by experts	S. America	escape > horticulture | escape > to be determined by experts	present	present	present	present	Myriophyllum aquaticum (Vellozo) Verdcourt	111 | 1470
1458	Myriophyllum heterophyllum Michx.	5361762	Plantae	harmonia | plants	1993.0		established | invasive	freshwater | to be determined by experts	N. America	escape > horticulture | escape > to be determined by experts	present	present	present	absent | present	Myriophyllum heterophyllum Michx.	112 | 1471
1459	Myrrhis odorata (L.) Scop.	3034681	Plantae	plants	1811.0		established	to be determined by experts	Europe	escape > agriculture (including biofuel feedstocks)	present	present	present	present	Myrrhis odorata (L.) Scop.	411
1460	Mytilicola intestinalis Steuer, 1903	2110811	Animalia	wrims	1950.0		established | to be determined by experts	to be determined by experts, primarily marine probably	to be determined by experts	to be determined by experts	present		to be determined by experts	to be determined by experts	Mytilicola intestinalis Steuer, 1903	9475 | 9476
1461	Mytilopsis leucophaeata (Conrad, 1831)	2287076	Animalia	wrims	1835.0		established | introduced | to be determined by experts	to be determined by experts, primarily marine probably	to be determined by experts	to be determined by experts	present		to be determined by experts	to be determined by experts	Mytilopsis leucophaeata (Conrad, 1831)	9477 | 9478 | 9479 | 9480
1462	Mytilopsis leucophaeta (Conrad, 1831)	8283653	Animalia	macroinvertebrates	1835.0	1835	established	freshwater | estuarine	N. America	stowaway > to be determined by experts	present	present	to be determined by experts	to be determined by experts	Mytilopsis leucophaeta (Conrad, 1831)	230
1465	Narcissus poeticus L.	2858581	Plantae	plants	1868.0		established	to be determined by experts	Europe	escape > horticulture	present	present	present	absent	Narcissus poeticus L.	374
1466	Nassella filiculmis (Delile) Barkworth	5674110	Plantae	plants	1949.0		introduced	to be determined by experts	S. America	contaminant > contaminant on animals (except parasites, species transported by host/vector)	present	absent	present	absent	Nassella filiculmis (Delile) Barkworth	2069
1467	Nassella formicarum (Delile) Barkworth	5289836	Plantae	plants	1884.0		introduced	to be determined by experts	S. America	unknown	present	present	present	absent	Nassella formicarum (Delile) Barkworth	2070
