	gbifapi_acceptedScientificName	gbifapi_acceptedKey	kingdom	datasetName	firstObservationYearBE	firstObservationYearFL	invasionStage	habitat	nativeRange	introductionPathway	presenceBE	presenceFL	presenceWA	presenceBR	gbifapi_scientificName	index
47	Aesculus pavia L.	3189807	Plantae	plants	2011.0		introduced	to be determined by experts	N. America	escape > horticulture	present	present	absent	absent	Aesculus pavia var. discolor (Pursh) Torr. & A.Gray	2506
48	Agastache rugosa (Fisch. & C.A.Mey.) Kuntze	7307327	Plantae	plants	2007.0		introduced	to be determined by experts	Asia	escape > horticulture	present	present	absent	absent	Agastache rugosa (Fisch. & C.A.Mey.) Kuntze	1521
49	Agave americana L.	2767031	Plantae	plants	2007.0		introduced	to be determined by experts	N. America	escape > horticulture	present	absent	present	absent	Agave americana L.	464
50	Ageratina altissima (L.) R.M.King & H.Rob.	5400552	Plantae	plants	1953.0		introduced	to be determined by experts	N. America	unknown	present	absent	present	absent	Ageratina altissima (L.) R.M.King & H.Rob.	496
51	Ageratum houstonianum Mill.	5401760	Plantae	plants	1908.0		introduced	to be determined by experts	N. America | S. America	escape > horticulture	present	present	present	present	Ageratum houstonianum Mill.	497
52	Agrimonia repens L.	3001978	Plantae	plants	1827.0		introduced	to be determined by experts	Asia	unknown	present	absent	present	absent	Agrimonia repens L.	2328
53	Agropogon lutosus (Poir.) P.Fourn.	4125930	Plantae	plants	2015.0		introduced	to be determined by experts	unknown	to be determined by experts	present	present	absent	absent	Agropogon lutosus (Poir.) P.Fourn.	2198
54	Agropyron cristatum (L.) Gaertn.	2705196	Plantae	plants	1947.0		introduced	to be determined by experts	to be determined by experts	contaminant > contaminant on animals (except parasites, species transported by host/vector) | contaminant > seed contaminant	present	present	present	absent	Agropyron cristatum subsp. pectinatum (M.Bieb.) Tzvelev	1849
55	Agrostemma brachyloba (Fenzl) K. Hammer	3085366	Plantae	plants	1978.0		introduced	to be determined by experts	Europe | Asia	escape > horticulture	present	present	absent	absent	Agrostemma gracile Boiss.	1033
56	Agrostis castellana Boiss. & Reut.	2706501	Plantae	plants	1904.0		introduced	to be determined by experts	to be determined by experts	contaminant > contaminant on animals (except parasites, species transported by host/vector) | contaminant > seed contaminant	present	present	present	absent	Agrostis castellana Boiss. & Reut.	1850
57	Agrostis eriantha Hack.	4123480	Plantae	plants	1904.0		introduced	to be determined by experts	Africa	contaminant > contaminant on animals (except parasites, species transported by host/vector)	present	absent	present	absent	Agrostis eriantha Hack.	1851
58	Agrostis exarata Trin.	2706526	Plantae	plants	1990.0		introduced	to be determined by experts	Asia | N. America	contaminant > seed contaminant	present	present	absent	absent	Agrostis exarata Trin.	1852
59	Agrostis fouilladeana Lambinon & Verloove	4122968	Plantae	plants	1973.0		established	to be determined by experts	unknown	contaminant > seed contaminant	present	present	absent	absent	Agrostis fouilladeana Lambinon & Verloove	1856
60	Agrostis nebulosa Boiss. & Reut.	2706457	Plantae	plants	1881.0		introduced	to be determined by experts	Europe | Africa	escape > horticulture	present	absent	present	absent	Agrostis nebulosa Boiss. & Reut.	1854
61	Ailanthus altissima (Miller) Swingle	3190653	Plantae	harmonia | plants	1952.0		established | invasive	terrestrial | to be determined by experts	Asia	escape > horticulture | escape > to be determined by experts	present	present	present	present	Ailanthus altissima (Miller) Swingle	26 | 2547
63	Aira elegantissima Schur	5289579	Plantae	plants	1898.0		introduced	to be determined by experts	to be determined by experts	contaminant > contaminant on animals (except parasites, species transported by host/vector)	present	absent	present	absent	Aira elegantissima Schur	1858
64	Aix galericulata (Linnaeus, 1758)	2498388		harmonia	1953.0		invasive	freshwater	Asia	escape > pet/aquarium/terrarium species (including live food for such species )	present	present	present	present	Aix galericulata (Linnaeus, 1758)	27
65	Aix sponsa (Linnaeus, 1758)	2498387		harmonia	1957.0		established	freshwater	N. America	to be determined by experts	present	present	absent	to be determined by experts	Aix sponsa (Linnaeus, 1758)	28
66	Akebia quinata (Houtt.) Decne.	3033965	Plantae	harmonia | plants	2009.0		introduced	terrestrial | to be determined by experts	Asia	escape > horticulture | escape > to be determined by experts	absent | present	absent | present	absent	absent	Akebia quinata (Houtt.) Decne.	29 | 1588
67	Alcea rosea L.	5406789	Plantae	plants	1945.0		unknown	to be determined by experts	unknown	escape > horticulture	present	present	present	present	Alcea rosea L.	1613
68	Alcea rugosa Alef.	5617467	Plantae	plants	2010.0		introduced	to be determined by experts	Asia	escape > horticulture	present	present	absent	absent	Alcea rugosa Alef.	1614
69	Alchemilla conjuncta Bab.	3028431	Plantae	plants	1830.0		introduced	to be determined by experts	Europe	escape > horticulture	present	absent	present	absent	Alchemilla conjuncta Bab.	2329
70	Alchemilla micans Buser	3027791	Plantae	plants	1950.0		introduced	to be determined by experts	Europe	unknown	present	present	present	absent	Alchemilla micans Buser	2330
71	Alchemilla mollis (Buser) Rothm.	3028528	Plantae	plants	1995.0		established	to be determined by experts	Europe | Asia	escape > horticulture	present	present	present	present	Alchemilla mollis (Buser) Rothm.	2331
72	Alchemilla tytthantha Juz.	3028586	Plantae	plants	1960.0		introduced	to be determined by experts	Europe	escape > horticulture	present	absent	absent	present	Alchemilla tytthantha Juz.	2332
73	Allium ampeloprasum L.	2856037	Plantae	plants	1948.0		introduced	to be determined by experts	unknown	escape > agriculture (including biofuel feedstocks)	present	absent	absent	present	Allium porrum L.	363
74	Allium carinatum L.	2855968	Plantae	plants	1811.0		unknown	to be determined by experts	Europe | Asia	unknown	present	absent	present	absent	Allium carinatum L.	357
75	Allium christophii Trautv.	8174640	Plantae	plants	2011.0		introduced	to be determined by experts	Asia	escape > horticulture	present	present	absent	absent	Allium christophii Trautv.	358
76	Allium fistulosum L.	2856504	Plantae	plants	1850.0		introduced	to be determined by experts	Asia	escape > horticulture	present	absent	present	absent	Allium fistulosum L.	359
77	Allium moly L.	2855825	Plantae	plants	1885.0		introduced	to be determined by experts	Europe	escape > horticulture	present	absent	present	absent	Allium moly L.	360
78	Allium nigrum L.	2855823	Plantae	plants	2013.0		introduced	to be determined by experts	to be determined by experts	escape > horticulture	present	present	absent	absent	Allium nigrum L.	361
79	Allium ramosum L.	2857449	Plantae	plants	2010.0		introduced	to be determined by experts	Asia	escape > live food and live bait	present	present	absent	absent	Allium ramosum L.	364
80	Allium schoenoprasum L.	2855860	Plantae	plants	1836.0		established	to be determined by experts	Europe	escape > agriculture (including biofuel feedstocks)	present	present	present	present	Allium schoenoprasum L.	365
81	Allium scorodoprasum L.	2857420	Plantae	plants	1925.0		established	to be determined by experts	Europe	escape > horticulture	present	present	present	absent	Allium scorodoprasum L.	366
82	Allium triquetrum L.	2856457	Plantae	plants	2013.0		unknown	to be determined by experts	Europe | Africa	escape > horticulture	present	present	absent	absent	Allium triquetrum L.	367
83	Alnus cordata (Loisel.) Duby	2876607	Plantae	plants	1992.0		unknown	to be determined by experts	Europe	escape > horticulture	present	present	present	absent	Alnus cordata (Loisel.) Duby	796
84	Alnus incana (L.) Moench	2876388	Plantae	plants	1869.0		established	to be determined by experts	Europe | Asia	escape > horticulture	present	present	present	present	Alnus incana (L.) Moench	797
