index	taxonID	datasetName	scientificName	synonym	kingdom	phylum	class	order	family	genus	specificEpithet	subspecies	taxonGroup	vernacularNameEN	vernacularNameNL	vernacularNameFR	status	statusCertainty	BFIS	ISEIA	spatialDistribution	invasiveness	introductionPathway	introductionMode	habitat	origin	presenceBE	presenceFL	presenceWA	presenceBR	presenceBECoast	presenceBPNS	presenceBEEZ	firstObservationYearBE	firstObservationYearFL	latestObservationYearBE	source	sourceID	riskAnalysis	publicationStatus	notes
114	78	harmonia	Nyctereutes procyonoides						Canidae					Raccoon dog	Wasbeerhond	Chien viverrin	naturalization		b1	9	isolated				terrestrial	Asia	yes		yes					2010					yes	published	
115	114	harmonia	Oenothera spp.	O. biennis, O. deflexa, O. glazioviana.					Onagraceae					Evening primrose	Teunisbloem	Onagre	spread		c	7	widespread		agri- and horticulture		terrestrial	North America	yes	yes	yes					1792					no	published	
116	79	harmonia	Oncorhynchus mykiss						Salmonidae					Rainbow trout	Regenboogforel	Truite arc-en-ciel			b2	1	restricted				freshwater	North America	no	no	no					1884					no	pending	
117	28	harmonia	Ondatra zibethicus						Muridae					Muskrat	Muskusrat	Rat musqué	spread		a3	12	widespread		fur farming		freshwater	North America	yes	yes	yes					1928					no	published	
118	80	harmonia	Orthodontium lineare						Orthodontiaceae					Cape thread-moss	Geelsteeltje				b2	1	restricted				terrestrial		yes							1945					no	pending	
119	81	harmonia	Ovis ammon						Bovidae					Mouflon		Mouflon	naturalization		c	1	isolated				terrestrial	Europe	yes	no	yes					1938					no	pending	
120	22	harmonia	Oxyura jamaicensis						Anatidae					Ruddy duck	Rosse stekelstaart	Erismature rousse			b0	10			pets and domestic animals		freshwater	North America	no												yes	published	
121	133	harmonia	Parthenocissus spp.	P. inserta, P. quinquefolia, P. vitacea					Vitaceae					(false) virginia creeper	(valse) wingerd	Vigne vierge	spread		b3	10	widespread		agri- and horticulture		terrestrial	North America	yes	yes	yes					1880					no	published	
122	89	harmonia	Pelophylax ridibundus	Rana ridibunda					Ranidae					Marsh frog	Meerkikker, Grote groene kikker	Grenouille rieuse	spread		a2	11	restricted		aquariums and ponds		freshwater	Asia, Europe	yes	yes	yes					1975					no	published	
123	82	harmonia	Perccottus glenii	Perccottus glehni					Odontobutidae					Rotan, Amur sleeper	Amurgrondel	Goujon de l'amour			a0	11			accidental, aquariums and ponds, game/fish stocking		freshwater, brackish	Asia	no												yes	published	
124	85	harmonia	Persicaria wallichii	Polygonum polystachyum					Polygonaceae					Himalayan knotweed	Afgaanse duizendknoop	Renouée de l'himalaya	naturalization		b2	10	restricted		agri- and horticulture		terrestrial	Asia	yes	yes	yes					1898					no	published	
125	111	harmonia	Phytolacca americana	Phytolacca decandra					Phytolaccaceae					American pokeweed	Westerse karmozijnbes	Raisin d'Amérique			b0	9			agri- and horticulture		terrestrial	North America	no												no	published	
126	4	harmonia	Pimephales promelas						Cyprinidae					Fathead minnow	Dikkopelrits	Vairon américain	spread		b2	9	restricted		game/fish stocking		freshwater	North America	yes	yes	yes					1986					no	published	
127	83	harmonia	Pinus nigra nigra						Pinaceae					Austrina pine	Oostenrijkse den	Pin noir d'autriche			b2	1	restricted				terrestrial	Europe	yes	yes	yes										no	pending	
128	84	harmonia	Polemonium caeruleum						Polemoniaceae					Jacob's ladder	Jakobsladder	Polémoine	spread		b1	1	isolated				terrestrial	Asia, Europe	yes	no	yes					1864					no	pending	
129	150	harmonia	Procambarus clarkii											Red swamp crayfish	Rode rivierkreeft	Ecrevisse de louisiane	naturalization		c	6	isolated		aqua- and mariculture		freshwater	North America	yes	yes											yes	pending	
130	29	harmonia	Procyon lotor						Procyonidae					Raccoon	Wasbeer	Raton laveur	spread		a2	11	restricted		fur farming, game/fish stocking		terrestrial	North America	yes	no	yes					1986					no	published	
131	112	harmonia	Prunus laurocerasus	Lauroceraus officinalis					Rosaceae					Cherry laurel	Kerslaurier	Laurier cerise	naturalization		b1	9	isolated		agri- and horticulture		terrestrial	Asia	yes		yes					1994					no	published	
132	14	harmonia	Prunus serotina	Padus serotina					Amygdalaceae					Black cherry	Amerikaanse vogelkers	Cerisier tardif	spread		a3	12	widespread		forestry		terrestrial	North America	yes	yes	yes					1890					no	published	
133	5	harmonia	Pseudorasbora parva						Cyprinidae					Stone moroko, Topmouth gudgeon	Blauwband(-grondel)	Goujon asiatique	spread		a2	11	restricted		game/fish stocking		freshwater	Asia	yes	yes	yes					1989					no	published	
134	86	harmonia	Pseudotsuga menziesii						Pinaceae					Douglas fir	Douglasspar	Douglas			b1	1	isolated				terrestrial	North America	yes		yes										no	pending	
135	23	harmonia	Psittacula krameri						Psittacidae					Ring-necked parakeet	Halsbandparkiet	Perruche à collier	spread		b2	9	restricted		pets and domestic animals		terrestrial	Africa, Asia	yes	yes	yes					1966					no	published	
136	87	harmonia	Quercus rubra	Quercus borealis					Fagaceae					Red oak	Amerikaanse eik	Chêne rouge	spread		b3	10	widespread		agri- and horticulture, forestry		terrestrial	North America	yes	yes	yes					1950					no	published	
137	88	harmonia	Rana catesbeiana	Lithobates catesbeianus					Ranidae					American bullfrog	Stierkikker	Grenouille taureau	spread		a1	12	isolated		aquariums and ponds		freshwater	North America	yes	yes	yes					1996					yes	published	
138	90	harmonia	Rattus norvegicus						Muridae					Brown rat	Bruine rat	Rat surmulot	stabilization		a3	11	widespread		accidental		freshwater	Asia	yes	yes	yes					1730					no	published	
139	91	harmonia	Rhododendron ponticum						Ericaceae					Rhododendron	Pontische rododendron	Rhododendron	spread		a2	11	restricted		agri- and horticulture		terrestrial	Asia, Europe	yes	yes	yes					1920					no	published	
140	113	harmonia	Rhus typhina	Rhus hirta					Anacardiaceae					Staghorn sumac	Fluweelboom	Sumac	naturalization		b1	10	isolated		agri- and horticulture		terrestrial	North America	yes	yes	yes					1898					no	published	
