taxonID	datasetName	scientificName	synonym	kingdom	phylum	class	order	family	genus	specificEpithet	subspecies	taxonGroup	vernacularNameEN	vernacularNameNL	vernacularNameFR	status	statusCertainty	BFIS	ISEIA	spatialDistribution	invasiveness	introductionPathway	introductionMode	habitat	origin	presenceBE	presenceFL	presenceWA	presenceBR	presenceBECoast	presenceBPNS	presenceBEEZ	firstObservationYearBE	firstObservationYearFL	latestObservationYearBE	source	sourceID	riskAnalysis	publicationStatus	notes	usageKey	canonicalName	rank	matchType	confidence	acceptedKey
	plants	Amaranthus powellii subsp. bouchonii (Thell.) Costea & Carretero	Amaranthus bouchonii Thell.					Amaranthaceae								SYNONYM						Grain,etc	A		E		X	X	X				1957		N						5548528	Amaranthus powellii bouchonii	SUBSPECIES	EXACT	100	5384359
	plants	Amaranthus retroflexus L.						Amaranthaceae								ACCEPTED						Grain, wool,etc	A		NAM		X	X	X				1857		N						6109534	Amaranthus retroflexus	SPECIES	EXACT	100	6109534
	plants	Amaranthus scleropoides Uline & W.L. Bray						Amaranthaceae								ACCEPTED						Wool	A		NAM			X					1959		1959						5384370	Amaranthus scleropoides	SPECIES	EXACT	100	5384370
	plants	Amaranthus spinosus L.						Amaranthaceae								ACCEPTED						Grain, wool,etc	A		Trop.		X	X					1887		2007						5384401	Amaranthus spinosus	SPECIES	EXACT	100	5384401
	plants	Amaranthus standleyanus Parodi ex Covas						Amaranthaceae								ACCEPTED						Grain, wool,etc	A		SAM		X	X					1903		2009						5548401	Amaranthus standleyanus	SPECIES	EXACT	100	5548401
	plants	Amaranthus thunbergii Moq.						Amaranthaceae								ACCEPTED						Wool,etc	A		AF		X	X					1857		1975						5384383	Amaranthus thunbergii	SPECIES	EXACT	100	5384383
	plants	Amaranthus tuberculatus (Moq.) J.D. Sauer						Amaranthaceae								ACCEPTED						Grain	A		NAM		X						1992		2005						5384347	Amaranthus tuberculatus	SPECIES	EXACT	100	5384347
	plants	Amaranthus tuberculatus var. rudis (J.D. Sauer) Costea & Tardif	Amaranthus rudis Sauer					Amaranthaceae								SYNONYM						Grain	A		NAM		X						1983		2003						5548360	Amaranthus tuberculatus rudis	VARIETY	EXACT	100	5384347
	plants	Amaranthus viridis L.						Amaranthaceae								ACCEPTED						Wool, grain,etc	A		SAM		X	X					1905		2013						5384334	Amaranthus viridis	SPECIES	EXACT	100	5384334
	plants	Amaranthus x ozanonii (Thell.) C. Schuster et M. Goldschm. (A. hybridus x retroflexus)						Amaranthaceae								Cas.						Hybridization	A		Hybr.		X	X					1983		2011											
	plants	Amaranthus x ralletii Contré (A. bouchonii x retroflexus)						Amaranthaceae								Cas.						Hybridization	A		Hybr.				X				1985		1985											
	plants	Atriplex eardleyae Aellen						Amaranthaceae								ACCEPTED						Wool	A		AUS			X					1906		1906						3083659	Atriplex eardleyae	SPECIES	EXACT	100	3083659
	plants	Atriplex halimus L.						Amaranthaceae								ACCEPTED						Hort.	D		E AF AS-Te		X						1922		1929						3083718	Atriplex halimus	SPECIES	EXACT	100	3083718
	plants	Atriplex holocarpa F. Muell.	Senniella spongiosa (F. Muell.) Aell. var. holocarpa (F. Muell.) Aell.					Amaranthaceae								ACCEPTED						Wool	A		AUS			X					1906		1906						3083746	Atriplex holocarpa	SPECIES	EXACT	100	3083746
	plants	Atriplex hortensis L.						Amaranthaceae								ACCEPTED						Hort., wool, grain	D		AS-Te		X	X	X				1859		Ann.						3083761	Atriplex hortensis	SPECIES	EXACT	100	3083761
	plants	Atriplex leptocarpa F. Muell.						Amaranthaceae								ACCEPTED						Wool	A		AUS			X					1911		1951						6447496	Atriplex leptocarpa	SPECIES	EXACT	100	6447496
	plants	Atriplex micrantha Ledeb.						Amaranthaceae								ACCEPTED						Wool,etc	A		AS-Te		X	X	X				1957		N						3083680	Atriplex micrantha	SPECIES	EXACT	100	3083680
	plants	Atriplex muelleri Benth.						Amaranthaceae								ACCEPTED						Wool	A		AUS			X					1947		1951						3083773	Atriplex muelleri	SPECIES	EXACT	100	3083773
	plants	Atriplex oblongifolia Waldst. & Kit.						Amaranthaceae								ACCEPTED						?	A		E AF AS-Te			X					<1850		<1850						3083657	Atriplex oblongifolia	SPECIES	EXACT	100	3083657
	plants	Atriplex pseudocampanulata Aellen						Amaranthaceae								ACCEPTED						Wool	A		AUS			X					1895		1895						6448072	Atriplex pseudocampanulata	SPECIES	EXACT	100	6448072
	plants	Atriplex rosea L.						Amaranthaceae								ACCEPTED						Wool,etc	A		E AF AS-Te		X	X					<1830		1953						3083745	Atriplex rosea	SPECIES	EXACT	100	3083745
	plants	Atriplex sagittata Borkh.						Amaranthaceae								ACCEPTED						Wool,etc	A		E AS-Te		X	X	X				1853		1983						3760099	Atriplex sagittata	SPECIES	EXACT	100	3760099
	plants	Atriplex semibaccata R. Br.						Amaranthaceae								ACCEPTED						Wool	A		AUS			X					1947		1947						3083667	Atriplex semibaccata	SPECIES	EXACT	100	3083667
	plants	Atriplex sibirica L.						Amaranthaceae								ACCEPTED						?	A		AS-Te				X				1967		1967						3083763	Atriplex sibirica	SPECIES	EXACT	100	3083763
	plants	Atriplex suberecta I. Verd.						Amaranthaceae								ACCEPTED						Wool	A		AUS			X					1903		1954						3083771	Atriplex suberecta	SPECIES	EXACT	100	3083771
	plants	Atriplex tatarica L.						Amaranthaceae								ACCEPTED						Grain, wool,etc	A		E AS-Te		X	X	X				<1835		1999						3083702	Atriplex tatarica	SPECIES	EXACT	100	3083702
	plants	Axyris amaranthoides L.						Amaranthaceae								ACCEPTED						Grain,etc	A		AS-Te		X	X	X				1918		2005						6447806	Axyris amaranthoides	SPECIES	EXACT	100	6447806
	plants	Bassia hyssopifolia (Pall.) Kuntze						Amaranthaceae								ACCEPTED						Wool,etc	A		E AS-Te		X	X					<1861		1967						5383909	Bassia hyssopifolia	SPECIES	EXACT	100	5383909
	plants	Bassia laniflora (S. G. Gmel.) A. J. Scott						Amaranthaceae								ACCEPTED						?	A		E AS-Te		X						<1861		<1861						5568188	Bassia laniflora	SPECIES	EXACT	100	5568188
	plants	Bassia scoparia (L.) A. J. Scott						Amaranthaceae								ACCEPTED						Grain, wool,etc	A		E AS-Te		X	X	X				<1835		N						5383936	Bassia scoparia	SPECIES	EXACT	100	5383936
	plants	Beta macrocarpa Guss.						Amaranthaceae								ACCEPTED						Grain, wool	A		E AF		X	X					1910		2015						5567951	Beta macrocarpa	SPECIES	EXACT	100	5567951
	plants	Beta trigyna Waldst. & Kit.						Amaranthaceae								ACCEPTED						Grain,etc	A		E AS-Te		X	X					1859		1913						5383926	Beta trigyna	SPECIES	EXACT	100	5383926
	plants	Beta vulgaris subsp. vulgaris						Amaranthaceae								ACCEPTED						Agric.	D		?		X	X	X				1891		Ann.						7068845	Beta vulgaris vulgaris	SUBSPECIES	EXACT	97	7068845
	plants	Blitum capitatum L.	Chenopodium capitatum (L.) Ambr.					Amaranthaceae								SYNONYM						Agric.	D		?		X	X	X				<1850		1980						5383971	Blitum capitatum	SPECIES	EXACT	100	3083854
	plants	Blitum nuttallianum Schult.	Monolepis nuttalliana (Schult.) E. Greene					Amaranthaceae								ACCEPTED						Grain,etc	A		NAM AS-Te		X						<1900		1994						5568899	Blitum nuttallianum	SPECIES	EXACT	100	5568899
	plants	Blitum virgatum L.	Chenopodium foliosum Aschers.					Amaranthaceae								SYNONYM						Ore, wool,etc	A		E AF AS-Te		X	X	X				1858		N						5383969	Blitum virgatum	SPECIES	EXACT	100	3083844
