index	nameMatchValidation	taxonID	datasetName	scientificName	verbatimScientificName	synonym	kingdom	phylum	class	order	family	genus	specificEpithet	infraspecificEpithet	vernacularNameEN	vernacularNameNL	vernacularNameFR	status	statusCertainty	BFIS	ISEIA	spatialDistribution	invasiveness	introductionPathway	introductionMode	habitat	origin	presenceBE	presenceFL	presenceWA	presenceBR	presenceBECoast	presenceBPNS	presenceBEEZ	firstObservationYearBE	firstObservationYearFL	latestObservationYearBE	source	sourceID	riskAnalysis	publicationStatus	notes	manual_acceptedKey	gbifapi_usageKey	gbifapi_scientificName	gbifapi_canonicalName	gbifapi_status	gbifapi_rank	gbifapi_matchType	gbifapi_confidence	gbifapi_acceptedKey	gbifapi_acceptedScientificName
57	ok	124	harmonia	Cervus nippon	Cervus nippon						Cervidae				Sika deer	Sikahert	Cerf sika			a0	12.0			game/fish stocking		terrestrial	Asia	no												yes	published			2440954	Cervus nippon Temminck, 1838	Cervus nippon	ACCEPTED	SPECIES	EXACT	100	2440954	Cervus nippon Temminck, 1838
58	ok	46	harmonia	Chloephaga picta	Chloephaga picta						Anatidae				Magellan goose	Magelhaengans	Ouette de magellan	naturalization		c	1.0	isolated				freshwater	South America	yes	yes	no					1993					no	pending			5232428	Chloephaga picta (Gmelin, 1789)	Chloephaga picta	ACCEPTED	SPECIES	EXACT	100	5232428	Chloephaga picta (Gmelin, 1789)
59	ok	47	harmonia	Conyza canadensis	Conyza canadensis						Asteraceae				Canadian horseweed	Canadese fijnstraal	Vergerette du canada	stabilization		b3	1.0	widespread				terrestrial	North America	yes	yes	yes					1822					no	pending			7821792	Conyza Less.	Conyza	ACCEPTED	GENUS	HIGHERRANK	92	7821792	Conyza Less.
60	ok	48	harmonia	Coregonus	Coregonus spp.						Salmonidae				Whitefish		Corégone			c	1.0	isolated				freshwater	Europe	no	no	no					1979					no	pending			2350934	Coregonus Linnaeus, 1758	Coregonus	ACCEPTED	GENUS	EXACT	91	2350934	Coregonus Linnaeus, 1758
61	ok	106	harmonia	Cornus sericea	Cornus sericea	Swida sericea, C. alba, C. stolonifera					Cornaceae				Red-osier dogwood, red willow	Canadese kornoeilje	Cornouiller soyeux	spread		a2	11.0	restricted		agri- and horticulture		terrestrial	North America	yes	yes	yes					1885					no	published			3082244	Cornus sericea L.	Cornus sericea	ACCEPTED	SPECIES	EXACT	100	3082244	Cornus sericea L.
62	ok	49	harmonia	Cotoneaster horizontalis	Cotoneaster horizontalis						Malaceae				Rockspray	Vlakke dwergmispel	Cotonéaster horizontal	spread		a2	11.0	restricted		agri- and horticulture		terrestrial	Asia	yes	yes	yes					1982					no	published			3025617	Cotoneaster horizontalis Decne	Cotoneaster horizontalis	ACCEPTED	SPECIES	EXACT	98	3025617	Cotoneaster horizontalis Decne
63	ok	50	harmonia	Crassula helmsii	Crassula helmsii	Tillaea recurva, Crassula recurva					Crassulaceae				New zealand pigmyweed	Watercrassula	Crassule des étangs	spread		a1	12.0	isolated		aquariums and ponds		freshwater	Australia	yes	yes	yes					1982					yes	published			8035075	Crassula helmsii (Kirk) A. Berger	Crassula helmsii	ACCEPTED	SPECIES	EXACT	97	8035075	Crassula helmsii (Kirk) A. Berger
64	ok	153	harmonia	Crassula helmsii	Crassula helmsii	Tillaea recurva, Crassula recurva					Crassulaceae				New zealand pigmyweed	Watercrassula	Crassule des étangs	spread		a1	12.0	isolated		aquariums and ponds		freshwater	Australia	yes	yes	yes					1982					yes	pending			8035075	Crassula helmsii (Kirk) A. Berger	Crassula helmsii	ACCEPTED	SPECIES	EXACT	97	8035075	Crassula helmsii (Kirk) A. Berger
65	ok	51	harmonia	Ctenopharyngodon idella	Ctenopharyngodon idella						Cyprinidae				Grass carp	Graskarper	Carpe herbivore			c	1.0	isolated				freshwater	Asia	no	no	no					1978					no	pending			2362030	Ctenopharyngodon idella (Valenciennes, 1844)	Ctenopharyngodon idella	ACCEPTED	SPECIES	EXACT	100	2362030	Ctenopharyngodon idella (Valenciennes, 1844)
66	ok	52	harmonia	Cygnus atratus	Cygnus atratus						Anatidae				Black swan	Zwarte zwaan	Cygne noir	naturalization		b1	10.0	isolated				freshwater	Australia	yes	yes	yes					1995					no	published			2498344	Cygnus atratus (Latham, 1790)	Cygnus atratus	ACCEPTED	SPECIES	EXACT	100	2498344	Cygnus atratus (Latham, 1790)
