dataset	verbatimValue	controlledValue
plants	Pines	contaminant > contaminant on plants (except parasites, species transported by host/vector)
fishes	AN	release > fishery in the wild (including game fishing) | escape > live food and live bait
harmonia	forestry	escape > forestry (including afforestation or reforestation)
harmonia	fur farming	escape > fur farms
plants	hort.	escape > horticulture
plants	Hort.	escape > horticulture
plants	Hort. 	escape > horticulture
plants	Hort.,etc	escape > horticulture
plants	Hort., ore?	escape > horticulture
plants	Hort., timber?	escape > horticulture
plants	Hort., wool	escape > horticulture | contaminant > contaminant on animals (except parasites, species transported by host/vector)
plants	Hort., wool 	escape > horticulture | contaminant > contaminant on animals (except parasites, species transported by host/vector)
plants	Grain, hort.,etc	escape > horticulture | contaminant > seed contaminant
plants	Hort., birdseed	escape > horticulture | contaminant > seed contaminant
plants	Hort,, grain,	escape > horticulture | contaminant > seed contaminant
plants	Hort., grain,etc	escape > horticulture | contaminant > seed contaminant
plants	Hort., seeds	escape > horticulture | contaminant > seed contaminant
plants	Grain, wool, hort.	escape > horticulture | contaminant > seed contaminant | contaminant > contaminant on animals (except parasites, species transported by host/vector)
plants	Hort., grain, wool	escape > horticulture | contaminant > seed contaminant | contaminant > contaminant on animals (except parasites, species transported by host/vector)
plants	Hort., grain, wool,etc	escape > horticulture | contaminant > seed contaminant | contaminant > contaminant on animals (except parasites, species transported by host/vector)
plants	Ore, hort.	escape > horticulture | contaminant > transportation of habitat material (soil, vegetation,…)
macroinvertebrates	corridors	corridor > interconnected waterways/basins/seas
plants	Food refuse	escape > live food and live bait
plants	Food refuse, wool	escape > live food and live bait | contaminant > contaminant on animals (except parasites, species transported by host/vector)
fishes	UN, AN	escape > live food and live bait | stowaway > angling/fishing equipment | contaminant > contaminant on animals (except parasites, species transported by host/vector)
fishes	AM	unaided > natural dispersal across borders of invasive alien species that have been introduced through pathways 1 to 5
fishes	OR	escape > ornamental purpose other than horticulture
fishes	OR, AQ	escape > ornamental purpose other than horticulture | escape > aquaculture / mariculture
plants	Tourists	stowaway > people and their luggage/equipment (in particular tourism)
plants	Military troops	stowaway > people and their luggage/equipment (in particular tourism) | stowaway > other means of transport
macroinvertebrates	aquarium trade	escape > pet/aquarium/terrarium species (including live food for such species )
harmonia	pets and domestic animals	escape > pet/aquarium/terrarium species (including live food for such species )
plants	Birdseed	contaminant > seed contaminant
plants	Birdseed  	contaminant > seed contaminant
plants	Birdseed,etc	contaminant > seed contaminant
plants	Birdseed, etc	contaminant > seed contaminant
plants	Coconut mats	contaminant > seed contaminant
plants	Grain	contaminant > seed contaminant
plants	Grain, ...	contaminant > seed contaminant
plants	Grain, birdseed	contaminant > seed contaminant
plants	Grain,etc	contaminant > seed contaminant
plants	Grain, etc	contaminant > seed contaminant
plants	Grain, etc.	contaminant > seed contaminant
plants	Grain, hort.?	contaminant > seed contaminant
plants	Grain, salt	contaminant > seed contaminant
plants	Grain, seeds	contaminant > seed contaminant
plants	Grain, seeds  	contaminant > seed contaminant
plants	Grain, seeds,etc	contaminant > seed contaminant
plants	Grain, seeds, etc	contaminant > seed contaminant
plants	Grass seed	contaminant > seed contaminant
plants	Grass seed,etc	contaminant > seed contaminant
plants	Grass seed, etc.	contaminant > seed contaminant
plants	Seeds	contaminant > seed contaminant
plants	Seeds 	contaminant > seed contaminant
plants	Seeds  	contaminant > seed contaminant
plants	Seeds,etc	contaminant > seed contaminant
plants	Seeds, grain	contaminant > seed contaminant
plants	Seeds, grain?	contaminant > seed contaminant
plants	Seeds, grain,etc	contaminant > seed contaminant
plants	Birdseed, wool	contaminant > seed contaminant | contaminant > contaminant on animals (except parasites, species transported by host/vector)
plants	Birdseed, wool,etc	contaminant > seed contaminant | contaminant > contaminant on animals (except parasites, species transported by host/vector)
plants	Grain, seeds, wool	contaminant > seed contaminant | contaminant > contaminant on animals (except parasites, species transported by host/vector)
plants	Grain, wool	contaminant > seed contaminant | contaminant > contaminant on animals (except parasites, species transported by host/vector)
