scientificName	gbifapi_usageKey	gbifapi_acceptedScientificName	gbifapi_acceptedKey	status	remark	accordingTo
Chionodoxa sardensis Whittall ex Barr & Sayden	2767230	Scilla sardensis (Whittall ex Barr & Sayden) Speta	2767229	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/kew-302122
Cicerbita macrophylla subsp. macrophylla	6304873	Lactuca macrophylla (Willd.) A.Gray	3140436	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/gcc-145357
Cicerbita macrophylla subsp. uralensis (Rouy) P.D.Sell	4227439	Lactuca macrophylla subsp. uralensis (Rouy) N.Kilian & Greuter	4211590	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/gcc-70929
Cichorium calvum Sch.Bip.	8199647	Cichorium calvum Sch.Bip. ex Asch.	5392271	ok: SYNONYM author variation	ex author	
Cichorium endivia subsp. endivia	7823591	Cichorium endivia L.	5392243	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/gcc-61784
Clinopodium nepeta subsp. glandulosum (Req.) Govaerts	3886262	Clinopodium nepeta subsp. spruneri (Boiss.) Bartolucci & F.Conti	7757431	ok: SYNONYM probably valid	synonym in other direction	http://www.theplantlist.org/tpl1.1/record/kew-43619
Convolvulus dubius J. L. Gilbert	3679953	Calystegia pulchra Brumm. & Heywood	3678949	ok: SYNONYM probably valid	synonym in other direction	http://alienplantsbelgium.be/taxonomy/term/4027/descriptions
Convolvulus silvaticus Kit.	3678060	Calystegia silvatica subsp. silvatica	7225712	verify: SYNONYM unresolved	considered synonym of Salystegia silvatica	http://www.theplantlist.org/tpl1.1/record/tro-8502227
Conyza canadensis (L.) Cronquist	5404801	Erigeron canadensis	3146791	ok: SYNONYM valid	synonym in same direction	http://alienplantsbelgium.be/taxonomy/term/3365/descriptions
Corispermum gmelinii Bunge	7648345	Corispermum tylocarpum Hance	3759032	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/kew-2737667
Cornus sanguinea subsp. australis (C.A.Mey.) Soó	8207659	Cornus sanguinea subsp. australis (C.A.Mey.) Jáv.	3663237	ok: SYNONYM probably valid	other author, should be verified further	
Cotoneaster boisianus G. Klotz	3026167	Cotoneaster bullatus var. floribundus (Stapf) L. T. Lu & A. R. Brach	3026295	ok: SYNONYM probably valid	in comparative taxonomy	http://alienplantsbelgium.be/taxonomy/term/6094/descriptions
Cotoneaster ganghobaensis J. Fryer & B. Hylmö	3025989	Cotoneaster lambertii G. Klotz	3026007	verify: SYNONYM probably invalid	considered accepted in plants & The Plant List	http://alienplantsbelgium.be/taxonomy/term/6164/descriptions
Cotoneaster hylmoei K.E. Flinck & J. Fryer	3025758	Cotoneaster salicifolius var. rugosus (E. Pritz.) Rehd. & E.H. Wilson	3026076	ok: SYNONYM probably valid	in comparative taxonomy	http://alienplantsbelgium.be/taxonomy/term/6165/descriptions
Cotoneaster integrifolius (Roxb.) Klotz	3026105	Cotoneaster microphylla var. thymifolius (Baker) Koehne	8422000	ok: SYNONYM probably valid	in comparative taxonomy	http://alienplantsbelgium.be/taxonomy/term/4996/descriptions
Cotoneaster lacteus W. W. Sm.	3025705	Cotoneaster coriaceus Franch.	3026035	ok: SYNONYM probably valid	in comparative taxonomy	http://alienplantsbelgium.be/taxonomy/term/6058/descriptions
Cotoneaster lucidus Schltdl.	3025769	Cotoneaster acutifolius var. lucidus (Schltdl.) L. T. Lu	3026061	ok: SYNONYM probably valid	synonym in other direction	http://alienplantsbelgium.be/taxonomy/term/6108/descriptions
Cotoneaster mairei H. Lév.	8295399	Cotoneaster franchetii Boiss.	3026162	verify: SYNONYM probably invalid	considered 2 accepted species	http://www.theplantlist.org/tpl1.1/record/rjp-1549
Cotoneaster rehderi Pojark	3026160	Cotoneaster bullatus var. macrophyllus Rehder & E. H. Wilson	3026161	ok: SYNONYM probably valid	synonym in other direction	http://alienplantsbelgium.be/taxonomy/term/4997/descriptions
Cotoneaster sternianus (Turrill) Boom	3026154	Cotoneaster franchetii var. sternianus Turrill	3026155	verify: SYNONYM probably invalid	Verloove considers this as 2 species, considered synonym in other direction in The Plant List	http://alienplantsbelgium.be/taxonomy/term/5000/descriptions
Cotoneaster villosulus (Rehder & E.H. Wilson) Flinck & B. Hylmö	3025564	Cotoneaster acutifolius var. villosulus Rehd. & E.H. Wilson	3025565	ok: SYNONYM probably valid	synonym in other direction	http://alienplantsbelgium.be/taxonomy/term/5001/descriptions
Crambe abyssinica Hochst. ex R.E. Fr.	5373484	Crambe hispanica subsp. abyssinica (Hochst ex. R.E. Fr.) A. Prina	8510990	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/kew-2741236
Crassula helmsii (Kirk) Cockayne	5362054	Crassula helmsii (Kirk) A. Berger	8035075	ok: SYNONYM probably valid	other author, should be verified further	
Cucumis myriocarpus Naud.	2874575	Cucumis myriocarpus subsp. myriocarpus	3624993	ok: SYNONYM probably valid	synonym in other direction	http://www.theplantlist.org/tpl1.1/record/kew-2747017
Cullen cinereum (Lindl.) J. W. Grimes	3966627	Psoralea cinerea Lindl.	2944044	verify: SYNONYM unresolved	unresolved, no further info	http://www.theplantlist.org/tpl1.1/record/kew-2747303
Cuscuta campestris Yunck.	3610757	Cuscuta pentagona Engelm.	2927490	verify: SYNONYM probably invalid	considered 2 accepted species	http://www.theplantlist.org/tpl1.1/record/tro-8500663
Cuscuta gronovii Willdenow ex Roemer & Schultes	2927492	Cuscuta gronovii Willd.	7694392	ok: SYNONYM author variation	ex author	
Cyclachaena xanthiifolia (Nutt.) Fresen.	3141890	Iva xanthiifolia Nutt.	5402620	ok: SYNONYM probably valid	synonym in other direction	http://alienplantsbelgium.be/taxonomy/term/3484/descriptions
Cyclospermum leptophyllum (Pers.) Sprague ex Britton & P. Wilson	5371894	Cyclospermum leptophyllum (Pers.) Sprague	8350395	ok: SYNONYM author variation	ex author	
Cynodon incompletus var. hirsutus (Stent) de Wet & Harlan	5679524	Cynodon incompletus Nees	5674825	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/kew-406384
Cyperus esculentus var. leptostachyus Boeckeler	8087010	Cyperus esculentus L.	2716226	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/kew-236537
Cyperus longus subsp. tenuiflorus (Rottb.) Kük.	2716588	Cyperus longus subsp. longus	7070211	verify: SYNONYM unresolved	considered synonym of Cyperus longus	http://www.theplantlist.org/tpl1.1/record/kew-237354
Cytisus sessilifolius L.	5347864	Cytisophyllum sessilifolium (L.) O.Lang	2940408	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/ild-8779
Dactylis polygama Horv.	4126278	Dactylis glomerata subsp. lobata (Drejer) H.Lindb.	4932232	verify: SYNONYM probably invalid	considered synonym of Dactylis glomerata L.	http://www.theplantlist.org/tpl1.1/record/kew-406788
Dasiphora davurica var. mandshurica (Maxim.) Verloove & Lambinon	8381801	Dasiphora fruticosa (L.) Rydb.	5370380	verify: SYNONYM unresolved	unresolved, no further info	http://www.theplantlist.org/tpl1.1/record/rjp-10984
Daucus carota subsp. sativus (Hoffm.) Arcangeli	4271342	Daucus carota subsp. sativus (Hoffm.) Schübl. & Martens	7350944	ok: SYNONYM probably valid	other author, should be verified further	
Delosperma cooperi (Hook. f.) L. Bolus	7538678	Delosperma cooperi (Hook. fil.) L. Bol.	8078333	ok: SYNONYM author variation	author variation	
Delphinium ajacis L.	3033833	Consolida ajacis (L.) Schur	3033830	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/kew-2759384
Delphinium orientale Gay	3033829	Consolida orientalis (Gay) Schröd.	3033828	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/kew-2760162
Desmanthus illinoensis (Michx.) Robinson & Fernald	7484581	Desmanthus illinoensis (Michx.) MacMill.	5360112	ok: SYNONYM probably valid	other author, should be verified further	
Dichanthelium clandestinum (L.) Gould	2702543	Panicum clandestinum L.	2702544	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/kew-408456
Digitaria ciliaris subsp. nubica (Stapf) S.T. Blake	7736068	Digitaria ciliaris (Retz.) Koeler	5289998	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/kew-408854
Digitaria sanguinalis subsp. pectiniformis Henrard	5675253	Digitaria sanguinalis (L.) Scop.	5289972	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/kew-409374
Dinebra decipiens subsp. decipiens	8247934	Leptochloa decipiens (R.Br.) Stapf ex Maiden	2703867	verify: SYNONYM unresolved	not in The Plant List	
Dinebra decipiens var. peacockii (Maiden & Betche) P.M.Peterson & N.Snow	8328801	Leptochloa decipiens subsp. peacockii (Maiden & Betche) N.Snow	4132902	verify: SYNONYM unresolved	not in The Plant List	
Dinebra divaricatissima (S.T.Blake) P.M.Peterson & N.Snow	7738621	Leptochloa divaricatissima S.T.Blake	2703882	verify: SYNONYM unresolved	not in The Plant List	
Dinebra panicea var. brachiata (Steud.) P.M.Peterson & N.Snow	8306067	Leptochloa panicea subsp. brachiata (Steud.) N.Snow	4132112	verify: SYNONYM unresolved	not in The Plant List	
Diplachne parviflora (R.Br.) Benth.	4122787	Diplachne fusca subsp. fusca	7998563	verify: SYNONYM probably invalid	considered synonym of Leptochloa fusca (L.) Kunth.	http://www.theplantlist.org/tpl1.1/record/kew-409852
Dipsacus strigosus Roem. & Schult.	4104284	Dipsacus strigosus Willd.	7443846	ok: SYNONYM probably valid	other author, should be verified further	
Doronicum willdenowii (Rouy) A.W.Hill	4230874	Doronicum plantagineum subsp. emarginatum (H.J.Coste) P.Fourn.	6077214	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/gcc-44406
