Taxon	Synonym	Family	M/I	FR	MRR	Origin	Presence_Fl	Presence_Br	Presence_Wa	D/N	V/I
Philadelphus x virginalis aggr.		Hydrangeaceae	D	2008	2008	Cult.			X	Cas.	Hort.
Egeria densa Planch.		Hydrocharitaceae	D	1999	N	SAM	X			Inv.	Hort.
Elodea canadensis Michaux		Hydrocharitaceae	A	1860	N	NAM  	X	X	X	Inv.	Waterfowl?
Elodea nuttallii (Planch.) St John		Hydrocharitaceae	A	1939	N	NAM  	X	X	X	Inv.	Waterfowl?
Lagarosiphon major (Ridley) Moss		Hydrocharitaceae	D	1993	N	AF	X		X	Inv.	Hort.
Limnobium laevigatum (Humb. & Bonpl. ex Willd.) Heine		Hydrocharitaceae	D	2013	2013	AM		X		Cas.	Hort.
Vallisneria spiralis L.		Hydrocharitaceae	D?	1864	2009	Trop.	X		X	Cas.	Hort.?
Hypericum calycinum L.		Hypericaceae	D	1867	2015	E AS-Te	X		X	Cas.	Hort.
Hypericum olympicum L.		Hypericaceae	D	2014	2014	E AS-Te	X			Cas.	Hort.
Hypericum x hidcoteense D. Geerinck (H. calycinum × H. ×cyathiflorum N. Robson)		Hypericaceae	D	2015	2015	Cult.	X			Cas.	Hort.
Hypericum x inodorum Mill. (H. androsaemum L. x hircinum L.)		Hypericaceae	D	1862	2015	Cult.	X		X	Cas.	Hort.
Hypericum x moserianum André (H. calycinum L. × H. patulum Thunb. ex Murray)		Hypericaceae	D	2015	2015	Cult.	X			Cas.	Hort.
Crocosmia x crocosmiiflora (Lemoine) N.E. Brown		Iridaceae	D	ca. 1975	N	Cult.	X			Nat.	Hort.
Crocus chrysanthus Herb.		Iridaceae	D	2013	2014	E AS-Te	X			Cas.?	Hort.
Crocus tommasinianus Herb.		Iridaceae	D	? 	N?	E	X			Nat.?	Hort.
Crocus vernus (L.) Hill		Iridaceae	D	1969	N?	E	X			Nat.?	Hort.
Crocus x stellaris Haw. (C. angustifolius Weston x flavus Weston)		Iridaceae	D	2013	2014	Cult.	X			Cas.	Hort.
Gladiolus italicus Mill.		Iridaceae	A?	2012	2013	E		X		Cas.	Bulbs?
Gladiolus x hortulanus Bailey		Iridaceae	D	2009	2009	Cult.			X	Cas.	Hort.
Iris foetidissima L.		Iridaceae	D	2008	N	E AF	X			Nat.	Hort.
Iris germanica L.		Iridaceae	D	1870	N	?	X		X	Nat.	Hort.
Iris graminea L.		Iridaceae	D	<1850	<1850	E AS-Te			X	Cas.	Hort.
Iris pumila L.		Iridaceae	D	1888	2012	E AS-Te	X		X	Cas.	Hort.
Iris sibirica L.		Iridaceae	D	<1850	2015	E AS-Te	X		X	Cas.	Hort.
Sisyrinchium angustifolium Mill.		Iridaceae	A	ca. 1996	N	NAM	X			Nat.	?
Sisyrinchium californicum ((Ker Gawl.) Dryand. 		Iridaceae	D	2015	2015	NAM	X			Cas.	Hort.
Sisyrinchium montanum E. Greene		Iridaceae	A	1939	N?	NAM	X		X	Nat.?	Military troops?
Juglans cinerea L.		Juglandaceae	D	2012	2012	NAM	X			Cas.	Hort.
Juglans nigra L.		Juglandaceae	D	2008	N	NAM	X			Nat.	Hort.
Juglans regia L.		Juglandaceae	D	1972	N	E AS-Te	X	X	X	Nat.	Hort.
Pterocarya fraxinifolia (Lam.) Spach		Juglandaceae	D	2005	N	AS-Te	X	 	X	Nat.	Hort.
Pterocarya x rhederiana C.K. Schneider (P. fraxinifolia x stenoptera DC.)		Juglandaceae	D	1995	2011	Cult.	X	X		Cas.	Hort.
Juncus canadensis J. Gay ex Laharpe		Juncaceae	A	1965	N	NAM	X			Nat.	Waterfowl?
Juncus ensifolius Wikstr.		Juncaceae	D?	2006	2013	NAM	X		X	Cas.	Hort.?
Juncus foliosus Desf.		Juncaceae	A	1984	N	E AF	X			Nat.	Waterfowl?
Juncus imbricatus Laharpe		Juncaceae	A	1911	1911	SAM			X	Cas.	Wool
Juncus pallescens Lam.		Juncaceae	A	1893	1911	SAM			X	Cas.	Wool
Juncus radula Buchen.		Juncaceae	A	1916	1916	AUS			X	Cas.	Wool
Juncus subsecundus N.A. Wakef.		Juncaceae	A	1921	1921	AUS			X	Cas.	Wool
Juncus tenuis Willd. subsp. anthelatus (Wiegand) Verloove et Lambinon	Juncus anthelatus (Wiegand) R. Brooks	Juncaceae	A	1977	N	NAM	X	X		Nat.	?
Juncus tenuis Willd. subsp. dichotomus (Elliott) Verloove et Lambinon	Juncus dichotomus Elliott	Juncaceae	A	2007	2015	NAM	X		X	Cas.	Military troops?
Juncus tenuis Willd. subsp. dudleyi (Wiegand) P. Fourn.	Juncus dudleyi Wiegand	Juncaceae	A	2009	2009	NAM	X			Cas.	Military troops?
Juncus tenuis Willd. subsp. tenuis		Juncaceae	A	1823	N	NAM	X	X	X	Inv.	Hay?
Luzula nivea DC.		Juncaceae	D	2013	2015	E	X			Cas.	Hort.
Agastache rugosa (Fisch. et C.A. Mey.) O. Kuntze		Lamiaceae	D	2007	2014	AS-Te	X			Cas.	Hort.
Amethystea caerulea L.		Lamiaceae	A	1959	1959	AS-Te		X		Cas.	?
Ballota nigra L. subsp. nigra		Lamiaceae	A	1907	N	E AS-Te	X		X	Nat.	Wool, grain,…
Callicarpa bodinieri H. Lév.		Lamiaceae	D	2014	2014	AS-Te	X			Cas.	Hort.
Caryopteris x clandonensis N.W. Simmonds ex Rehder (C. incana (Thunb. ex Houtt.) Miquel x mongholica Bunge)		Lamiaceae	D	2011	2014	Cult.	X			Cas.	Hort.
Clerodendrum trichotomum Thunb.		Lamiaceae	D	2005	2013	AS-Te	X			Cas.	Hort.
Clinopodium grandiflorum (L.) O. Kuntze	Calamintha grandiflora (L.) Moench	Lamiaceae	D?	1856	1902	E AS-Te	X		X	Cas.	Hort.?
Clinopodium menthifolium (Host) Stace	Calamintha menthifolia Host	Lamiaceae	D?	1855	N	E			X	Nat.	Hort.?
Clinopodium nepeta Kuntze subsp. nepeta	Calamintha nepeta (L.) Savi subsp. nepeta	Lamiaceae	D?	1885	N	E AF AS-Te	X	X	X	Nat.	Hort.?
Clinopodium nepeta Kuntze subsp. glandulosum (Req.) Govaerts	Calamintha nepeta (L.) Savi subsp. spruneri (Boiss.) Nyman	Lamiaceae	A	1869	N	E AF AS-Te	X	X	X	Nat.	?
Dracocephalum moldavica L.		Lamiaceae	D	1862	1975	AS	X			Cas.	Hort.
Dracocephalum parviflorum Nutt.		Lamiaceae	A	1893	2011	NAM	X	X	X	Cas.	Grain, wool,…
Dracocephalum thymiflorum L.		Lamiaceae	A	1893	<1896	AS-Te			X	Cas.	Wool, seeds
Elsholtzia ciliata (Thunb.) Hyl.		Lamiaceae	A	1996	2000	AS	X		X	Cas.	Grain,…
Galeopsis pubescens Besser		Lamiaceae	A	1856	N	E AS-Te	X			Nat.	?
Hyssopus officinalis L.		Lamiaceae	D	1821	N	E AF AS-Te	X		X	Nat.	Agric., hort.
Lallemantia iberica (Bieb.) Fisch. et C.A. Mey.		Lamiaceae	A	1954	1955	AS-Te			X	Cas.	Grain
Lamium galeobdolon (L.) L. subsp. argentatum (Smejkal) J. Duvigneaud		Lamiaceae	D	1897	N	?	X		X	Inv.	Hort.
Lamium garganicum L. subsp. garganicum		Lamiaceae	D?	1906	1920	E AF AS-Te		X		Cas.	Hort.?
Lamium orvala L.		Lamiaceae	D	2011	2011	E	X			Cas.	Hort.
Lavandula angustifolia Mill.		Lamiaceae	D	1949	N	E AF AS-Te	X	X	X	Nat.	Hort.
Lavandula dentata L.		Lamiaceae	D	2006	2006	E AF  			X	Cas.	Hort.
Leonurus quinquelobatus Gilib.	Leonurus villosus Dum.-d'Urv., L. cardiaca L. subsp. villosus (Dum.-d'Urv.) Hyl.	Lamiaceae	A	<1850	N	E AS-Te	X	X	X	Nat.	?
Leonurus japonicus Houtt.	Leonurus sibiricus auct. non L.	Lamiaceae	A	1939	2000	AS-Te	X	X		Cas.	Grain,…
Lycopus exaltatus L. f.		Lamiaceae	A	1855	1909	E AS-Te	X		X	Cas.	?
Marrubium peregrinum L.		Lamiaceae	A	<1835	1912	E AS-Te			X	Cas.	Grain,…
Melissa officinalis L.		Lamiaceae	D	<1800	N?	E AF AS-Te	X	X	X	Nat.?	Hort.
Mentha cervina L.		Lamiaceae	D	2012	N?	E AF	X			Nat.?	Hort.
Mentha requienii Benth.		Lamiaceae	D	2013	2014	E	X			Cas.?	Hort.
Mentha spicata L. subsp. glabrata (Lej. et Court.) Lebeau		Lamiaceae	D	<1835	N?	?	X		X	Nat.?	Hort.
Mentha x piperita L. nsubsp. piperita (M. aquatica L. x spicata subsp. glabrata)		Lamiaceae	D	<1850	2013	Hybr.	X	X	X	Cas.	Hort.
Mentha x smithiana R.A. Graham (M. spicata subsp. glabrata x aquatica L. x arvensis L.)		Lamiaceae	D	<1835	2014	Hybr.	X		X	Cas.	Hort.
Nepeta grandiflora Bieb.		Lamiaceae	D	1903	1951	AS-Te	X		X	Cas.	Hort.
Nepeta racemosa Lam.	Nepeta mussinii Spreng. ex Henckel	Lamiaceae	D	1954	1993	AS-Te	X	X		Cas.	Hort.
Nepeta x faassenii Bergm. ex Stearn (N. nepetella L. x racemosa)		Lamiaceae	D	1946	Ann.	Cult.	X		X	Cas.	Hort.
Ocimum basilicum L.		Lamiaceae	D	1886	2005	Trop.	X			Cas.	Agric.
Origanum vulgare L. subsp. hirtum (Link) A. Terrac.		Lamiaceae	A?	1998	2010	E AF AS-Te	X			Cas.	?
Perilla frutescens (L.) Britton		Lamiaceae	D	1994	2013	AS	X			Cas.	Birdseed
Perovskia abrotanoides Kar.		Lamiaceae	D	2010	2010	AS-Te	X			Cas.	Hort.
Perovskia atriplicifolia Benth.		Lamiaceae	D	2009	2013	AS-Te	X			Cas.	Hort.
Phlomis russeliana (Sims) Benth.		Lamiaceae	D	2008	N?	AS-Te	X			Nat.?	Hort.
Physostegia virginiana (L.) Benth.		Lamiaceae	D	2007	2013	NAM	X			Cas.	Hort.
Rosmarinus officinalis L.		Lamiaceae	D	2010	2013	E AF AS-Te	X		X	Cas.	Hort.
Salvia aethiopis L.		Lamiaceae	A	<1835	1910	E AS-Te			X	Cas.	Wool,…
Salvia glutinosa L.		Lamiaceae	D	1890	2014	E AS-Te	X		X	Cas.?	Hort.
Salvia lavandulifolia Vahl subsp. gallica Lippert		Lamiaceae	D	1900	1900	E			X	Cas.	Hort.
Salvia nemorosa L. 	Incl. S. x sylvestris L., S. x superba Stapf	Lamiaceae	D/A	1864	2013	E AS-Te	X	X	X	Cas.	Hort., wool, grain
Salvia officinalis L.		Lamiaceae	D	1920	2011	E	X		X	Cas.	Hort., agric.
Salvia reflexa Hornem.		Lamiaceae	A	1947	2011	NAM	X	X	X	Cas.	Grain, wool
Salvia sclarea L.		Lamiaceae	D	1811	2012	E AF AS-Te	X		X	Cas.	Hort.
Salvia verbenaca L.		Lamiaceae	A	<1835	2013	E AF AS-Te	X	X	X	Ext.	Ore?
Salvia verticillata L.		Lamiaceae	A/D	1863	N	E AF AS-Te	X	X	X	Nat.	Ore?, hort.?
Salvia viridis L.		Lamiaceae	A	1916	2014	E AF AS-Te			X	Cas.	Seeds, grain?
Satureja hortensis L.		Lamiaceae	D	1863	1959	E AF AS-Te	X	X	X	Cas.	Agric.
Satureja montana L.		Lamiaceae	D	1933	2008	E AF AS-Te	X		X	Cas.	Hort.
Scutellaria altissima L.		Lamiaceae	D	1884	N	E AS-Te	X		X	Nat.	Hort.
Sideritis lanata L.		Lamiaceae	A	1907	1907	E AF AS-Te		X		Cas.	Grain?
Sideritis montana L.		Lamiaceae	A	<1850	2011	E AF AS-Te	X	X	X	Cas.	Grain, wool,…
Stachys atherocalyx K. Koch		Lamiaceae	A	1922	1922	E			X	Cas.	?
Stachys byzantina K. Koch		Lamiaceae	D	1882	2014	E AS-Te	X		X	Cas.	Hort.
Stachys cretica L. 		Lamiaceae	D	1872	1942	E AF AS-Te	X		X	Cas.	Hort.
Stachys macrantha (C. Koch) Stearn		Lamiaceae	D	1966	1966	E AS-Te			X	Cas.	Hort.
Teucrium hircanicum L.		Lamiaceae	D	2012	2012	AS-Te	X			Cas.	Hort.
Teucrium resupinatum Desf.		Lamiaceae	A	1998	1998	E AF			X	Cas.	Birdseed
Thymus pannonicus All.	Thymus marschallianus Willd.	Lamiaceae	D?	1886	1887	E	X			Cas.	Hort.?
Thymus vulgaris L.		Lamiaceae	D	1899	N	E AF AS-Te	X		X	Nat.	Hort.
Thymus x citriodorus (Pers.) Schreb. (T. pulegioides L. x vulgaris)		Lamiaceae	D	1866	1974	Hybr.	X		X	Cas.	Hort.
Akebia quinata (Houtt.) Decaisne		Lardizabalaceae	D	2009	2011	AS-Te	X			Cas.	Hort.
Decaisnea insignis (Griff.) Hook. f. & Thomson	Decaisnea fargesii Franch.	Lardizabalaceae	D	2015	2015	AS-Te	X			Cas.	Hort.
Laurus nobilis L.		Lauraceae	D	2009	2012	E AF AS-Te	X			Cas.	Hort.
Erythronium dens-canis L.		Liliaceae	D	1955	1955	E AS			X	Cas.	Hort.
Gagea pratensis (Pers.) Dum.		Liliaceae	A	1998	1998	E	X			Cas.	?
Lilium martagon L.		Liliaceae	D	1912	N	E	X		X	Nat.	Hort.
Tulipa gesneriana L.		Liliaceae	D	<1850	Ann.	Cult.	X		X	Cas.	Hort.
Tulipa sylvestris L.		Liliaceae	D	<1800	N	E AF AS-Te	X		X	Nat.	Hort.
Tulipa tarda Stapf		Liliaceae	D	2013	2013	AS-Te	X			Cas.	Hort.
Limnanthes douglasii R. Brown		Limnanthaceae	D	1994	2014	NAM	X			Cas.	Hort.
Linum austriacum L. subsp. austriacum		Linaceae	D	2001	N	E AS-Te	X		X	Nat.	Hort.
Linum grandiflorum Desf.		Linaceae	D	1887	2013	AF	X		X	Cas.	Hort.
Linum usitatissimum L.		Linaceae	D	1830	Ann.	?	X	X	X	Cas.	Agric.
Lindernia dubia (L.) Pennell		Linderniaceae	A	1993	N	NAM	X			Inv.	Fish
Lindernia procumbens (Krocker) Borbás	Lindernia palustris F.X. Hartm.	Linderniaceae	A	1995	1995	E AS-Te	X			Cas.	Fish
Blumenbachia hieronymi Urban		Loasaceae	D?	1974	1981	SAM	X			Cas.	Hort.?
Mentzelia albicaulis (Dougl. ex Hook.) Dougl. ex Hook.		Loasaceae	A	1893	1893	NAM	X			Cas.	Seeds
Lythrum acutangulum Lag.		Lythraceae	A	1874	1989	E AF			X	Cas.	Birdseed, …
Lythrum junceum Banks et Soland.		Lythraceae	A	1926	2012	E AF AS-Te	X		X	Cas.	Grain,…
Lythrum virgatum L.		Lythraceae	D	1953	2001	E	X		X	Cas.	Hort.
Trapa natans L.		Lythraceae	D	<1800	1991	E AF AS	X	X	X	Cas.	Hort.
Liriodendron tulipifera L.		Magnoliaceae	D	<1999	<1999	NAM		X		Cas.	Hort.
Abutilon theophrasti Med.		Malvaceae	A	<1929	Ann.	E AS-Te	X	X	X	Cas.?	Grain
Abutilon x suntense C.D. Brickell (A. ochsenii (Phil.) Phil. x vitifolium (Cav.) J. Presl		Malvaceae	D	2006	2006	Cult.	X			Cas.	Hort.
Alcea ficifolia L. (Alcea rosea x rugosa)		Malvaceae	D	2002	2002	AS-Te	X			Cas.	Hort.
Alcea rosea L.	 	Malvaceae	D	1945	N?	?	X	X	X	Nat.?	Hort.
Alcea rugosa Alef.		Malvaceae	D	2010	2010	AS-Te	X			Cas.	Hort.
Anoda cristata (L.) Schlecht.		Malvaceae	A	1940	Ann.	AM	X		X	Cas.	Grain,…
Hibiscus syriacus L.		Malvaceae	D	2004	2013	AS	X	X	X	Cas.	Hort.
Hibiscus trionum L.		Malvaceae	A	1892	2015	E AF AS-Te	X	X	X	Cas.	Grain, wool,…
Kitaibela vitifolia Willd.		Malvaceae	D	1949	2013	E	X	X		Cas.	Hort.
Malope malacoides L.		Malvaceae	A	1995	1995	E AF AS-Te	X			Cas.	Grain
Malope trifida Cav.		Malvaceae	D/A	1905	2005	E AF			X	Cas.	Hort., birdseed
Malva alcea L. var. ribifolia (Viv.) Paol.		Malvaceae	A	2004	2010	E	X			Cas.	?
Malva maroccana (Batt. et Trabut) Verloove et Lambinon 	Lavatera maroccana (Batt. et Trabut) Maire	Malvaceae	A	2005	2005	E AF  			X	Cas.	Birdseed
Malva nicaeensis All.		Malvaceae	A	1891	2015	E AF AS-Te	X		X	Cas.	Wool, grain,…
Malva parviflora L.		Malvaceae	A	<1850	Ann.	E AF AS-Te	X		X	Cas.	Wool, grain,…
Malva preissiana Miq.	Lavatera plebeja Sims p.p.	Malvaceae	A	1948	1948	AUS			X	Cas.	Wool alien
Malva pseudolavatera Webb et Berthelot 	Lavatera cretica L.	Malvaceae	A	1997	2014	E AF AS-Te	X			Cas.	Grain,…
Malva punctata (L.) Alef. 	Lavatera punctata All.	Malvaceae	A	1918	1918	E AF AS-Te			X	Cas.	?
Malva pusilla Smith		Malvaceae	A	1872	Ann.	E AF AS-Te	X	X	X	Cas.	Wool, grain,…
Malva setigera F.K. Schimp. et Spenn.	Althaea hirsuta L.	Malvaceae	A	1855	2013	E AS-Te	X	X	X	Cas.	Grain,…
Malva thuringiaca (L.) Vis. 	Lavatera thuringiaca L.	Malvaceae	D	1893	2014	E AS-Te	X	X	X	Cas.	Hort,, grain,
Malva trimestris (L.) Salisb. var. brachypoda (Pérez Lara) Verloove et Lambinon	Lavatera trimestris L. var. brachypoda Pérez Lara	Malvaceae	D	1977	2012	E	X		X	Cas.	Hort.
Malva trimestris (L.) Salisb. var. trimestris	Lavatera trimestris L. var. trimestris	Malvaceae	D	1941	1999	E AF AS-Te	X		X	Cas.	Hort.
Malva verticillata L.		Malvaceae	A/D	1858	2014	AS-Te	X	X	X	Cas.	Grain, hort.,…
Malva x clementii (Cheek) Stace 	Lavatera x clementii Cheek (= L. olbia x L. thuringiaca)	Malvaceae	D	2006	2014	Cult.	X		X	Cas.	Hort.
Malvastrum americanum (L.) Torr.		Malvaceae	A	1892	2011	SAM	X		X	Cas.	Birdseed, wool
Malvastrum coromandelianum (L.) Garcke		Malvaceae	A	1996	2000	SAM	X			Cas.	Birdseed  
Modiola caroliniana (L.) G. Don f.		Malvaceae	A	1893	2015	SAM	X		X	Cas.	Birdseed, wool,…
Sida rhombifolia L.		Malvaceae	A	1993	Ann.	Trop.	X			Cas.	Grain
Sida spinosa L.		Malvaceae	A	1976	Ann.	Trop.	X		 	Cas.	Grain
Sidalcea candida A. Gray		Malvaceae	D	1920	1929	NAM			X	Cas.	Hort.
Sidalcea oregana (Nutt.) A. Gray		Malvaceae	D	1968	1968	NAM	X			Cas.	Hort.
Sphaeralcea bonariensis (Cav.) Griseb.		Malvaceae	A	<1950	<1950	SAM			X	Cas.	Wool
Tilia tomentosa Moench	Incl. T. x petiolaris DC. (=? T. mandshurica Maxim. x tomentosa)	Malvaceae	D	2006	2013	E AS-Te			X	Cas.	Hort.
Ibicella lutea (Lindl.) Van Eselt.		Martyniaceae	A	1894	1992	SAM			X	Cas.	Wool,…
Proboscidea louisianica (Mill.) Thell.		Martyniaceae	A	1947	1973	NAM	X		X	Cas.	Wool, grain
Mazus pumilus (Burm. f.) Steenis		Mazaceae	A	2014	2014	AS-Te	X			Cas.?	?
Mazus reptans N.E. Brown		Mazaceae	D?	2015	2015	?	X			Cas.?	Hort.?
Veratrum album L.		Melanthiaceae	D?	<1835	<1893	E AS-Te NAM			X	Cas.	Hort.?
Melia azedarach L.		Meliaceae	D	2006	2006	AS AUS	X			Cas.	Hort.
Glinus lotoides L.		Molluginaceae	A	1911	1911	E AF AS			X	Cas.	Wool
Mollugo verticillata L.		Molluginaceae	A	1887	2014	SAM	X		X	Cas.	Ore
Calandrinia compressa Schrad. ex DC.		Montiaceae	D?	<1900	<1900	SAM			X	Cas.	Hort.?
Calandrinia elegans Spach		Montiaceae	A?	1956	1956	AM	X			Cas.	Seeds?
Claytonia perfoliata Donn ex Willd.		Montiaceae	D	1859	N	NAM	X	X	X	Nat.	Agric.
Claytonia sibirica L.		Montiaceae	D	1939	N	NAM	X			Nat.	Hort.
Broussonetia papyrifera (L.) Vent.		Moraceae	D	2011	2011	AS-Te	X			Cas.	Hort.
Ficus carica L.		Moraceae	D	1937	Ann.	AS-Te	X	X	X	Cas.	Food refuse
Morus alba L.		Moraceae	D	<1850	<1850	AS-Te		X		Cas.	Hort.
Abronia fragrans Nutt.		Nyctaginaceae	D	1951	1951	NAM	X			Cas.	Hort.
Mirabilis jalapa L.		Nyctaginaceae	D	<1858	2013	AM	X		X	Cas.	Hort.
Nymphaea x marliacea Marliac		Nymphaeaceae	D	?	N	Cult.	X			Nat.	Hort.
Forsythia suspensa (Thunb.) Vahl		Oleaceae	D	1961	N	AS-Te	X		X	Nat.	Hort.
Forsythia viridissima Lindl.		Oleaceae	D	2001	2014	AS-Te	X			Cas. 	Hort.
Forsythia x intermedia Zabel (F. suspensa (Thunb.) Vahl x viridissima Lindl.)		Oleaceae	D	1960	2014	Cult.	X		X	Cas.	Hort.
Fraxinus angustifolia Vahl subsp. oxycarpa (Bieb. ex Willd.) F. et R. Afonso		Oleaceae	D	2009	N?	E  	X		X	Nat.?	Hort.
Fraxinus latifolia Benth.		Oleaceae	D	2008	2009	NAM			X	Cas.	Hort.
Fraxinus ornus L.		Oleaceae	D	1871	2014	E AS-Te	X		X	Cas.	Hort.
Fraxinus pennsylvanica Marshall		Oleaceae	D	2008	2014	NAM	X			Inv.	Hort.
Jasminum nudiflorum Lindl.		Oleaceae	D	2005	2012	AS-Te	X			Cas.	Hort.
Ligustrum ovalifolium Hassk.		Oleaceae	D	1986	N	AS-Te	X	X	X	Nat.	Hort.
Ligustrum sinense Lour.		Oleaceae	D	2005	N?	AS-Te	X			Nat.?	Hort.
Ligustrum x vicaryi Rehd. (L. ovalifolium x vulgare L.)		Oleaceae	D	2011	2011	Cult.	X			Cas.	Hort.
Syringa josikaea Jacq. ex Reichenb.		Oleaceae	D	2008	N?	E	X			Nat.?	Hort.
Syringa vulgaris L.		Oleaceae	D	1854	N?	AS	X	X	X	Nat.?	Hort.
Chamaenerion dodonaei (Vill.) Schur	Epilobium dodonaei Vill.	Onagraceae	A	1992	N	E AS-Te			X	Nat.	Ore?
Clarkia amoena (Lehm.) A.Nelson et Macbr.		Onagraceae	D	2012	2012	NAM	X			Cas.	Hort.
Clarkia bottae (Spach) F.H. et M.E. Lewis	Incl. C. deflexa (Jeps.) F.H. Lewis et M.E. Lewis	Onagraceae	A	1893	1893	NAM	X			Cas.	Grain
Clarkia pulchella Pursh		Onagraceae	D	1902	1997	NAM	X		X	Cas.	Hort.
Clarkia purpurea (Curtis) A. Nelson et Macbr. subsp. quadrivulnera (Douglas) H. Lewis et M.E. Lewis	Clarkia quadrivulnera (Douglas) Nelson et Macbr.	Onagraceae	A	1894	1894	NAM	X			Cas.	Grain
Epilobium brachycarpum C. Presl		Onagraceae	A	2012	N	NAM		X	X	Nat.	Ore?
Epilobium ciliatum Rafin.		Onagraceae	A	1952	N	NAM	X	X	X	Inv.	Timber?
Epilobium ciliatum x lanceolatum Seb. et Mauri		Onagraceae	H	?	?	Hybr.	?	?	?	Cas.?	Hybridization
Epilobium x floridulum Smejkal (E. ciliatum x parviflorum Schreb.)		Onagraceae	H	1965?	1965?	Hybr.	X			Cas.?	Hybridization
Epilobium x interjectum Smejkal (E. ciliatum x montanum L.)		Onagraceae	H	?	?	Hybr.	?	?	?	Cas.?	Hybridization
Epilobium x novae-civitatis Smejkal (E. ciliatum x hirsutum L.)		Onagraceae	H	?	?	Hybr.	?	?	?	Cas.?	Hybridization
Lopezia racemosa Cav.	Lopezia coronata Andrews 	Onagraceae	D	1978	1998	AM	X			Cas.	Hort.
Ludwigia hexapetala (Hook. et Arnott) Zardini, Gu et Raven	Ludwigia grandiflora (Michaux) Greuter et Burdet	Onagraceae	D	1983	N	AM	X		X	Inv.	Hort.
Ludwigia peploides (Kunth) P.H. Raven subsp. montevidensis (Spreng.) P.H. Raven		Onagraceae	D	1997	N	AM	X		X	Inv.	Hort.
Oenothera affinis Cambess. ex A. St. Hil.		Onagraceae	A	1909	1909	SAM			X	Cas.	Wool
Oenothera angustissima R.R. Gates		Onagraceae	A	1860	1884	NAM	X			Ext. 	Ore
Oenothera biennis L.		Onagraceae	D	1792	N?	E AS-Te	X	X	X	Nat.?	Ore
Oenothera cambrica Rostański		Onagraceae	A	2001	2015	NAM  	X			Cas.	Ore
Oenothera cruciata Nutt. ex G. Don		Onagraceae	A	1883	1883	NAM			X	Cas.	?
Oenothera curtiflora W.L. Wagner et Hoch	Gaura parviflora Dougl. ex Lehmann	Onagraceae	A	1958	1958	NAM			X	Cas.	Wool
Oenothera deflexa R.R. Gates		Onagraceae	A	1915	N	NAM	X	X	X	Nat.	Ore
Oenothera depressa E. Greene		Onagraceae	A	1828	2007	NAM			X	Cas.	Ore?
Oenothera elata Humb., Bonpl. et Kunth		Onagraceae	A	1961	2007	AM	X			Cas.	Ore?
Oenothera fruticosa L. subsp. glauca (Michaux) Straley	Oenothera tetragona Pursh	Onagraceae	D	1998	1998	NAM	X			Cas.	Hort.
Oenothera glazioviana Micheli		Onagraceae	D	1868	N	NAM	X	X	X	Nat.	Hort.
Oenothera indecora Cambess.		Onagraceae	A	1895	1895	SAM	X			Cas.	Grain
Oenothera laciniata Hill		Onagraceae	A	1893	1909	AM	X		X	Cas.	Grain, wool
Oenothera lindheimeri (Engelmann et A. Gray) W.L. Wagner et Hoch 	Gaura lindheimeri Engelm. et A. Gray	Onagraceae	D	2007	2015	NAM	X		X	Cas.	Hort.
Oenothera nuda Renner ex Rostański		Onagraceae	A	1933	2007				X	Cas.	Ore?
Oenothera oakesiana (A. Gray) Robbins ex S. Watson et Coult.		Onagraceae	A	1867	1923	NAM	X		X	Cas.	Ore
Oenothera oehlkersii Kappus		Onagraceae	A	1884	2014	E	X		X	Cas.	Ore
Oenothera paradoxa Hudziok		Onagraceae	A	2001	2007		X			Cas.	Ore?
Oenothera parviflora L.		Onagraceae	A	1884	2000	NAM	X	 	X	Cas.	Ore
Oenothera perangusta R.R. Gates	Oenothera ersteinensis R. Linder et R. Jean	Onagraceae	A	1971	N	NAM	X		X	Nat.	Ore
Oenothera perennis L.		Onagraceae	D	1943	1943	NAM	X			Cas.	Hort.
Oenothera pycnocarpa G.F. Atk. et Bartlett		Onagraceae	A	1992	2014	NAM	X		X	Cas.	Ore?
Oenothera rosea L'Her. ex Ait.		Onagraceae	A	<1835	1870	AM			X	Cas.	Grain?
Oenothera royfraseri R.R. Gates		Onagraceae	A	2007	2007	NAM	X			Cas.	
Oenothera rubricaulis Kleb.		Onagraceae	A	1887	N	E	X			Nat.	Ore
Oenothera rubricalyx R.R. Gates	Oeonothera glazioviana f. rubricalux (R.R. Gates) J. Lambinon	Onagraceae	D?	2014	2014	NAM	X			Cas.	Hort.?
Oenothera rubricauloides Rostański		Onagraceae	A	2007	2007		X			Cas.	
Oenothera speciosa Nutt.		Onagraceae							X	Cas.	
Oenothera stricta Ledeb. ex Link		Onagraceae	A	1878	1984	SAM	X		X	Cas.	Grain,…
Oenothera subterminalis R.R. Gates		Onagraceae	A	1979	1979	NAM			X	Cas.	Ore
Oenothera victorini R.R. Gates et Catcheside		Onagraceae	A	1992	N?	NAM	X	 	X	Nat.?	Ore
Oenothera wratislaviensis K. Rostański		Onagraceae	A	2004	2007		X		X	Cas.	
Oenothera x fallax Renner (O. biennis x glazioviana)		Onagraceae	A	1956	N	Hybr.	X		X	Nat.	Hybridization
Oenothera x issleri Renner ex Rostański (O. biennis x oakesiana)		Onagraceae	A	1955	2014	Hybr.	X		X	Cas.	Hybridization
Onoclea sensibilis L.		Onocleaceae	D	1831	N?	NAM AS-Te	X		X	Nat.?	Hort.
