Taxon	Synonym	Family	M/I	FR	MRR	Origin	Presence_Fl	Presence_Br	Presence_Wa	D/N	V/I
Bupleurum fruticosum L.		Apiaceae	D	1975	1975	E AF AS-Te			X	Cas.	Hort.
Bupleurum gerardi All.		Apiaceae	A	1886	2010	E AF AS-Te	X		X	Cas.	Grain,…
Bupleurum odontites L.	Bupleurum fontanesii Guss. ex Caruel	Apiaceae	A	1906	2015	E AF AS-Te	X	X		Cas.	Grain,...
Bupleurum praealtum L.		Apiaceae	A	<1835	1892	E AS-Te	X		X	Cas.	?
Bupleurum subovatum Link ex Spreng.		Apiaceae	A	1876	2015	E AF AS-Te	X	X	X	Cas.	Grain, wool,…
Chaerophyllum aureum L.		Apiaceae	D?	?	N?	E AS-Te	X		X	Nat.?	Hort.?
Chaerophyllum bulbosum L.		Apiaceae	A/D?	1873	2015	E AS-Te	X	X	X	Cas.	Grain, hort.?
Chaerophyllum byzantinum Boiss.		Apiaceae	D	1989	1989	AS-Te			X	Cas.	Agric.
Coriandrum sativum L.		Apiaceae	D/A	1885	2015	?	X	X	X	Cas.	Agric.,…
Cyclospermum leptophyllum (Pers.) Sprague ex Britton et P.G. Wilson		Apiaceae	A	1893	2015	AM	X		X	Cas.	Grain, wool
Daucus aureus Desf.		Apiaceae	A	1921	2015	E AF AS-Te	X		X	Cas.	Grain, wool
Daucus carota L. subsp. sativus (Hoffmann) Arcang.		Apiaceae	D	?	2015	?	X		X	Cas.	Agric.
Daucus durieua Lange		Apiaceae	A	1938	1938	E AF AS-Te			X	Cas.	Wool
Daucus glochidiatus (Labill.) Fisch., C.A. Mey. et Avé-Lall.		Apiaceae	A	1892	1949	AUS			X	Cas.	Wool
Eryngium bourgatii Gouan		Apiaceae	D	2013	2013	E AF AS-Te	X			Cas.	Hort.
Eryngium giganteum Bieb.		Apiaceae	D	1978	2005	AS-Te	X		X	Cas.	Hort.
Eryngium planum L.		Apiaceae	D	1850	Ann.	E AS-Te	X	X	X	Cas.	Hort.
Foeniculum vulgare Mill.		Apiaceae	D	1820	N	E AF AS-Te	X	X	X	Nat.	Agric.
Heracleum mantegazzianum Somm. et Lev.		Apiaceae	D	1945	N	AS-Te	X	X	X	Inv.	Hort.
Imperatoria ostruthium L. 	Peucedanum ostruthium (L.) Koch	Apiaceae	D	1811	N	E			X	Nat.	Hort.
Levisticum officinale Koch		Apiaceae	D	1870	2015	AS-Te	X		X	Cas.	Agric.
Myrrhis odorata (L.) Scop.		Apiaceae	D	1811	N	E	X	X	X	Nat.	Agric.
Oenanthe pimpinelloides L.		Apiaceae	A/D	1859	N	E AS-Te	X	X		Nat.	Nurseries,…
Orlaya platycarpos Koch	Caucalis platycarpos L.	Apiaceae	A	2000	2011	E AF AS-Te	X			Cas.	Grain
Pastinaca sativa L. subsp. sativa 		Apiaceae	D	?	2015	Cult.	X			Cas.	Food refuse
Pastinaca sativa L. subsp. urens (Req. ex Godr.) Čelak.		Apiaceae	A	1947	N	E AS-Te	X	X	X	Nat.	Ore
Petroselinum crispum (Mill.) Nyman ex A.W. Hill		Apiaceae	D	1872	2015	AS-Te	X	X	X	Cas.	Agric.
Pimpinella anisum L.		Apiaceae	D	1928	2011	?	X	X		Cas.	Agric.
Pimpinella peregrina L.		Apiaceae	A	2000	N?	E AF AS-Te	X			Nat.?	?
Ridolfia segetum Moris		Apiaceae	A	1921	2015	E AF AS-Te	X		X	Cas.	Grain, wool
Scandix australis L. subsp. grandiflora (L.) Thell. 		Apiaceae	A	1894	1894	E AF AS-Te			X	Cas.	Wool?
Scandix balansae Reut. ex Boiss.		Apiaceae	A	1997	1997	AS-Te	X			Cas.	Grain
Scandix iberica Bieb.		Apiaceae	A	1908	1955	AS-Te	X	X	X	Cas.	Wool, grain
Scandix stellata Banks & Sol. 		Apiaceae	A	2013	2013	E AF AS-Te		X		Cas.	?
Seseli montanum L.		Apiaceae	A	1815	1952	E	X		X	Cas.	?
Smyrnium perfoliatum L.		Apiaceae	D	1850	2015	E AS-Te	X		X	Cas.	Hort.
Tordylium maximum L. 		Apiaceae	A	2004	2015	E AS-Te	X			Cas.	Grain,…
Torilis africana Spreng. 	Torilis arvensis (Huds.) Link subsp. purpurea (Ten.) Hayek	Apiaceae	A	1999	2001	E AF AS-Te	X			Cas.	Grain
Torilis leptophylla (L.) Reichenb. f.		Apiaceae	A	1872	1955	E AF AS-Te			X	Cas.	Wool, grain
Trachyspermum ammi (L.) Sprague ex Turrill		Apiaceae	A	1892	1985	?		X	X	Cas.	Wool,…
Asclepias incarnata L.		Apocynaceae	D	2009	2012	NAM	X			Cas.	Hort.
Asclepias syriaca L.		Apocynaceae	D	1987	N?	NAM	X	X		Nat.?	Hort.
Periploca graeca L.		Apocynaceae	D	1918	1918	E AS-Te			X	Cas.	Hort.
Vinca major L.		Apocynaceae	D	<1835	N	E AF AS-Te	X	X	X	Nat.	Hort.
Vincetoxicum nigrum (L.) Moench		Apocynaceae	D	1877	N	E	X		X	Nat.	Hort.
Vincetoxicum rossicum (Kleopow) Barbar.		Apocynaceae	D	1965	1965	E AS-Te	X			Cas.	Hort.
Aponogeton distachyos L. f.		Aponogetonaceae	D	1993	N?	AF	X		X	Nat.?	Hort.
Ilex x altaclerensis (Loudon) Dallimore (I. aquifolium L. x perado Ait.)		Aquifoliaceae	D	2006	2015	Cult.	X			Cas.	Hort.
Ilex x meserveae S.Y. Hu (I. aquifolium L. x I. rugosa Friedr. Schmidt)		Aquifoliaceae	D	2014	2015	Cult.	X			Cas.	Hort.
Ilex crenata Thunb.		Aquifoliaceae	D 	2012	2015	AS-Te	X			Cas.	Hort.
Arum italicum Mill. s.l.		Araceae	D	1955	N	E	X	X	X	Nat.	Hort.
Lemna minuta Humb., Bonpl. et Kunth		Araceae	A	1983	N	AM	X	X	X	Inv.	Waterfowl
Lemna turionifera Landolt		Araceae	A	2005	N	NAM AS-Te	X	X	X	Nat.	Waterfowl
Lysichiton americanus Hultén et St John x L. camtschatcensis (L.) Schott		Araceae	D	1997	N	Cult.	X		X	Inv.	Hort.
Pistia stratiotes L.		Araceae	D	2000	2015	Trop.	X			Cas.	Hort.
Typhonium venosum (Ait.) Hett. et Boyce	Sauromatum venosum (Ait.) Kunth	Araceae	D	2010	N?	AS-Te	X		X	Nat.?	Hort.
Zantedeschia albomaculata (Hook.) Baill.		Araceae	D	2011	2011	AF	X			Cas.	Hort.
Aralia cordata Thunb.		Araliaceae	D	1915	1948	AS-Te			X	Cas.	Hort.
Aralia elata (Miq.) Seem.		Araliaceae	D	<1999	N	AS-Te	X	X		Nat.	Hort.
Aralia racemosa L.		Araliaceae	D	1972	1972	NAM	X		 	Cas.	Hort.
Fatsia japonica (Thunb.) Decaisne et Planch.		Araliaceae	D	2005	2015	AS-Te	X			Cas.	Hort.
Hedera colchica K. Koch		Araliaceae	D	1952	N	E AS-Te	X		X	Nat.	Hort.
Hedera hibernica (Kirchner) Bean		Araliaceae	D	?	N	E	X		X	Nat.	Hort.
