Unnamed: 0	taxonID	datasetName	scientificName	synonym	kingdom	phylum	class	order	family	genus	specificEpithet	subspecies	taxonGroup	vernacularNameEN	vernacularNameNL	vernacularNameFR	status	statusCertainty	BFIS	ISEIA	spatialDistribution	invasiveness	introductionPathway	introductionMode	habitat	origin	presenceBE	presenceFL	presenceWA	presenceBR	presenceBECoast	presenceBPNS	presenceBEEZ	firstObservationYearBE	firstObservationYearFL	latestObservationYearBE	source	sourceID	riskAnalysis	publicationStatus	notes	gbifapi_usageKey	gbifapi_scientificName	gbifapi_canonicalName	gbifapi_status	gbifapi_rank	gbifapi_matchType	gbifapi_confidence	gbifapi_acceptedKey
91		plants	Atriplex semibaccata R. Brown						Amaranthaceae								Cas.						Wool	A		AUS			X					1947		1947						3083667	Atriplex semibaccata R. Br.	Atriplex semibaccata	ACCEPTED	SPECIES	EXACT	100	3083667
92		plants	Atriplex sibirica L.						Amaranthaceae								Cas.						?	A		AS-Te				X				1967		1967						3083763	Atriplex sibirica L.	Atriplex sibirica	ACCEPTED	SPECIES	EXACT	100	3083763
93		plants	Atriplex suberecta Verdoorn						Amaranthaceae								Cas.						Wool	A		AUS			X					1903		1954						3083771	Atriplex suberecta I. Verd.	Atriplex suberecta	ACCEPTED	SPECIES	EXACT	100	3083771
94		plants	Atriplex tatarica L.						Amaranthaceae								Cas.						Grain, wool,etc	A		E AS-Te		X	X	X				<1835		1999						3083702	Atriplex tatarica L.	Atriplex tatarica	ACCEPTED	SPECIES	EXACT	100	3083702
95		plants	Axyris amaranthoides L.						Amaranthaceae								Cas.						Grain,etc	A		AS-Te		X	X	X				1918		2005						6447806	Axyris amaranthoides L.	Axyris amaranthoides	ACCEPTED	SPECIES	EXACT	100	6447806
96		plants	Bassia hyssopifolia (Pallas) O. Kuntze						Amaranthaceae								Cas.						Wool,etc	A		E AS-Te		X	X					<1861		1967						5383909	Bassia hyssopifolia (Pall.) Kuntze	Bassia hyssopifolia	ACCEPTED	SPECIES	EXACT	100	5383909
97		plants	Bassia laniflora (S.G. Gmel.) A.J. Scott						Amaranthaceae								Cas.						?	A		E AS-Te		X						<1861		<1861						5568188	Bassia laniflora (S. G. Gmel.) A. J. Scott	Bassia laniflora	ACCEPTED	SPECIES	EXACT	100	5568188
98		plants	Bassia scoparia (L.) Voss s.l.						Amaranthaceae								Nat.						Grain, wool,etc	A		E AS-Te		X	X	X				<1835		N						5383936	Bassia scoparia (L.) A. J. Scott	Bassia scoparia	ACCEPTED	SPECIES	EXACT	100	5383936
99		plants	Beta macrocarpa Guss.						Amaranthaceae								Cas.						Grain, wool	A		E AF		X	X					1910		2015						5567951	Beta macrocarpa Guss.	Beta macrocarpa	ACCEPTED	SPECIES	EXACT	100	5567951
100		plants	Beta trigyna Waldst. et Kit.						Amaranthaceae								Cas.						Grain,etc	A		E AS-Te		X	X					1859		1913						5383926	Beta trigyna Waldst. & Kit.	Beta trigyna	ACCEPTED	SPECIES	EXACT	100	5383926
