AphiaID	Kingdom	Phylum	Class	Order	Family	Genus	Taxon	PlaceName	Distribution_id	Note	Beginyear	Occurrence	Origin	Invasiveness	Reference_id	Reference
145559.0	Chromista	Ochrophyta	Phaeophyceae	Fucales	Sargassaceae	Sargassum	Sargassum (Bactrophycus) muticum	Belgian Exclusive Economic Zone	567045.0				Alien		192095.0	Eno, N.C.; Clark, R.A.; Sanderson, W.G. (1997). Non-native marine species in British waters: a review and directory. Joint Nature Conservation Committee, Peterborough. pp. 136.
494791.0	Chromista	Ochrophyta	Phaeophyceae	Fucales	Sargassaceae	Sargassum	Sargassum muticum	Belgian part of the North Sea	819274.0	Location : Spuikom (Sluice dock of Oostende); Zeebrugge<br/>Year first introduced or recorded : Region of first record: Spuikom (Sluice Dock) no records between 2002 and 2005 again in 2005), Zeebrugge	1999.0	Established	Alien	Uncertain	177036.0	DAISIE - European Invasive Alien Species Gateway
494791.0	Chromista	Ochrophyta	Phaeophyceae	Fucales	Sargassaceae	Sargassum	Sargassum muticum	Belgian part of the North Sea	856904.0		1999.0	Established	Alien	Not specified	194861.0	De Blauwe, H. (2000). Japans bessenwier Sargassum muticum gevestigd te Zeebrugge. <em>De Strandvlo.</em> 20(1): 33-35.
247737.0	Animalia	Arthropoda	Malacostraca	Tanaidacea	Tanaididae	Sinelobus	Sinelobus stanfordi	Belgian Exclusive Economic Zone	746665.0	non-indigenous			Alien		132969.0	VLIZ Alien Species Consortium
247737.0	Animalia	Arthropoda	Malacostraca	Tanaidacea	Tanaididae	Sinelobus	Sinelobus stanfordi	Belgian part of the North Sea	856913.0	estuaries, Schelde	2007.0	Uncertain	Origin unknown	Not specified	150270.0	Van Haaren, T. & J. Soors (2009). Sinelobus stanfordi (Richardson, 1901): A new crustacean invader in Europe. Aquatic Invasions 4(4): 703-711.
234039.0	Plantae	Tracheophyta		Poales	Poaceae	Spartina	Spartina townsendii	Belgian part of the North Sea	817546.0			Established	Alien	Uncertain	177036.0	DAISIE - European Invasive Alien Species Gateway
234041.0	Plantae	Tracheophyta		Poales	Poaceae	Spartina	Spartina townsendii var. anglica	Belgian Coast	642473.0	non-indigenous			Alien		132969.0	VLIZ Alien Species Consortium
234041.0	Plantae	Tracheophyta		Poales	Poaceae	Spartina	Spartina townsendii var. anglica	Belgian part of the North Sea	856905.0		1936.0	Established	Alien	Not specified	195434.0	Verloove, F. (2006). Catalogue of neophytes in Belgium (1800-2005). <em>Scripta Botanica Belgica.</em> 39. National Botanic Garden of Belgium: Meise. ISBN 90-72619-71-4. 89 pp.
103929.0	Animalia	Chordata	Ascidiacea	Stolidobranchia	Styelidae	Styela	Styela clava	Belgian Coast	642543.0	non-indigenous			Alien		132969.0	VLIZ Alien Species Consortium
103929.0	Animalia	Chordata	Ascidiacea	Stolidobranchia	Styelidae	Styela	Styela clava	Belgian part of the North Sea	856906.0		1986.0	Established	Alien	Not specified	194882.0	Dumoulin, E. (1987). Nieuwe waarnemingen van de Knotszakpijp, Styela clava Herdman, 1882, langs de Belgische Oostkust. <em>De Strandvlo.</em> 7(2): 61-62.
103929.0	Animalia	Chordata	Ascidiacea	Stolidobranchia	Styelidae	Styela	Styela clava	Belgian part of the North Sea	817594.0			Established	Alien	Uncertain	177036.0	DAISIE - European Invasive Alien Species Gateway
257397.0	Animalia	Arthropoda	Malacostraca	Isopoda	Idoteidae	Synidotea	Synidotea laticauda	Belgian part of the North Sea	856915.0	estuaries, Zeeschelde	2005.0	Established	Alien	Not specified	145451.0	Soors, J.; Faasse, M.; Stevens, M.; Verbessem, I.; De Regge, N.; Van den Bergh, E. (2010). New crustacean invaders in the Schelde estuary (Belgium) Belg. J. Zool. 140(1): 3-10
118154.0	Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Telmatogeton	Telmatogeton japonicus	Belgian Exclusive Economic Zone	639818.0	non-indigenous			Alien		132969.0	VLIZ Alien Species Consortium
