taxonID	datasetName	scientificName	synonym	kingdom	phylum	class	order	family	genus	specificEpithet	subspecies	taxonGroup	vernacularNameEN	vernacularNameNL	vernacularNameFR	status	statusCertainty	BFIS	ISEIA	spatialDistribution	invasiveness	introductionPathway	introductionMode	habitat	origin	presenceBE	presenceFL	presenceWA	presenceBR	presenceBECoast	presenceBPNS	presenceBEEZ	firstObservationYearBE	firstObservationYearFL	latestObservationYearBE	source	sourceID	riskAnalysis	publicationStatus	notes
158417	wrims	Hemigrapsus sanguineus		Animalia	Arthropoda	Malacostraca	Decapoda	Varunidae	Hemigrapsus							Established	Alien				Not specified										Belgian part of the North Sea		2006			d'Udekem d'Acoz, C. (2006). First record of the Asian shore crab Hemigrapsus sanguineus (De Haan, 1835) in Belgium (Crustacea, Brachyura, Grapsoidea). <em>De Strandvlo.</em> 26(3): 74-82.	194867			
389288	wrims	Hemigrapsus takanoi		Animalia	Arthropoda	Malacostraca	Decapoda	Varunidae	Hemigrapsus							Established	Alien				Not specified										Belgian part of the North Sea		2003			Dumoulin, E. (2004). Snelle areaaluitbreiding van het penseelkrabbetje Hemigrapsus penicillatus (de Haan, 1835) langs de kusten van de Zuidelijke Bocht van de Noordzee, status van haar opmars in de Westerschelde en beschouwingen over de ecologie en het gedrag van de soort. <em>De Strandvlo.</em> 24(1): 5-35.	194868			
120025	wrims	Hemimysis anomala		Animalia	Arthropoda	Malacostraca	Mysida	Mysidae	Hemimysis								Alien															Belgian Exclusive Economic Zone				VLIZ Alien Species Consortium	132969			non-indigenous
120025	wrims	Hemimysis anomala		Animalia	Arthropoda	Malacostraca	Mysida	Mysidae	Hemimysis							Established	Alien				Not specified										Belgian part of the North Sea		1999			Verslycke T., Janssen C., Lock K. & Mees J. (2000). First occurrence of the Pontocaspian invader Hemimysis anomala (Sars, 1907) in Belgium (Crustacea: Mysidacea). Belgian Journal of Zoology, 130, 2, 157-158.	17866			estuaries, Schelde
148579	wrims	Incisocalliope aestuarius		Animalia	Arthropoda	Malacostraca	Amphipoda	Pleustidae	Incisocalliope								Alien													Belgian Coast						VLIZ Alien Species Consortium	132969			non-indigenous
148579	wrims	Incisocalliope aestuarius		Animalia	Arthropoda	Malacostraca	Amphipoda	Pleustidae	Incisocalliope							Established	Alien				Not specified										Belgian part of the North Sea		1996			Faasse, M.; Van Moorsel, G. (2003). The North-American amphipods, <i>Melita nitida</i> Smith, 1873 and <i>Incisocalliope aestuarius</i> (Watling and Maurer, 1973) (Crustacea: Amphipoda: Gammaridea), introduced to the western Scheldt estuary (The Netherlands). <i>Aquat. Ecol. 37(1)</i>: 13-22	1141			estuaries, Schelde
248010	wrims	Keratella tropica		Animalia	Rotifera	Eurotatoria	Ploima	Brachionidae	Keratella							Established	Alien				Not specified										Belgian part of the North Sea		1974			Coussement, M. (1977). Nieuwe gegevens omtrent de Rotatoria-fauna van het Donkmeer in Oost-Vlaanderen. <em>Natuurwet. Tijdschr.</em> 58(3): 138-146.	195442			estuaries and river basins
154321	wrims	Leucaspius delineatus		Animalia	Chordata	Actinopteri	Cypriniformes	Cyprinidae	Leucaspius							Uncertain	Alien				Uncertain										Belgian part of the North Sea					DAISIE - European Invasive Alien Species Gateway	177036			
181523	wrims	Marenzelleria neglecta		Animalia	Annelida	Polychaeta	Spionida	Spionidae	Marenzelleria							Established	Alien				Not specified										Belgian part of the North Sea		1996			Ysebaert T., De Neve L. & Meire P. (2000). The subtidal macrobenthos in the mesohaline part of the Schelde Estuary (Belgium): influenced by man?. Journal of the Marine Biological Association of the United Kingdom, 80, 4, 587-597.	18435			estuaries, Zeeschelde, Westerschelde
131135	wrims	Marenzelleria viridis		Animalia	Annelida	Polychaeta	Spionida	Spionidae	Marenzelleria							Reported	Origin unknown				Uncertain										Belgian part of the North Sea		1996			Ysebaert, T.; Meire, P.; De Block, M.; De Regge, N.; Soors, J. (1997). A first record of Marenzelleria viridis Verrill, 1873) (Polychaeta, Spionidae) in the Schelde estuary (Belgium). <em>Biol. Jaarb. Dodonea.</em> 64: 176-181.	191399			In the Schelde estuary a first record (two specimens) of the spionid Marenzelleria viridis (Polychaeta, Spionidae) was made on 23th October 1996 at Doel, near the Dutch-Belgian border.
149682	wrims	Megabalanus coccopoma		Animalia	Arthropoda		Sessilia	Balanidae	Megabalanus								Alien															Belgian Exclusive Economic Zone				VLIZ Alien Species Consortium	132969			non-indigenous
149682	wrims	Megabalanus coccopoma		Animalia	Arthropoda		Sessilia	Balanidae	Megabalanus							Established	Alien				Not specified										Belgian part of the North Sea		1997			Kerckhof, F.; Cattrijsse, A. (2001). Exotic Cirripedia (Balanomorpha) from buoys off the Belgian coast. <i>Senckenbergiana maritima</i>. 31: 245-254.	190963			
149682	wrims	Megabalanus coccopoma		Animalia	Arthropoda		Sessilia	Balanidae	Megabalanus							Established	Alien				Uncertain										Belgian part of the North Sea					Kerckhof, F.; Cattrijsse, A. (2001). Exotic Cirripedia (Balanomorpha) from buoys off the Belgian coast. <i>Senckenbergiana maritima</i>. 31: 245-254.	190963			Location : Belgian waters<br/>Year first introduced or recorded : 1997-1999. [In 1997-1999, M. coccopoma was found to be widespread on buoys in Belgian waters.]
106225	wrims	Megabalanus tintinnabulum		Animalia	Arthropoda		Sessilia	Balanidae	Megabalanus								Alien															Belgian Exclusive Economic Zone				VLIZ Alien Species Consortium	132969			non-indigenous
106225	wrims	Megabalanus tintinnabulum		Animalia	Arthropoda		Sessilia	Balanidae	Megabalanus							Established	Alien				Not specified										Belgian part of the North Sea		1998			Kerckhof, F.; Cattrijsse, A. (2001). Exotic Cirripedia (Balanomorpha) from buoys off the Belgian coast. <i>Senckenbergiana maritima</i>. 31: 245-254.	190963			
146922	wrims	Melita nitida		Animalia	Arthropoda	Malacostraca	Amphipoda	Melitidae	Melita							Established	Alien				Not specified										Belgian part of the North Sea		1996			Boets, P.; Lock, K.; Goethals, P. L. M. (2011). Assessing the importance of alien macro-Crustacea (Malacostraca) within macroinvertebrate assemblages in Belgian coastal harbours. <em>Helgoland Marine Research.</em> 66(2): 175-187.	195435			Brackish, Zeeschelde
141919	wrims	Mercenaria mercenaria		Animalia	Mollusca	Bivalvia	Veneroida	Veneridae	Mercenaria								Alien															Belgian Exclusive Economic Zone				VLIZ Alien Species Consortium	132969			non-indigenous
141919	wrims	Mercenaria mercenaria		Animalia	Mollusca	Bivalvia	Veneroida	Veneridae	Mercenaria							Established	Alien				Uncertain										Belgian part of the North Sea					DAISIE - European Invasive Alien Species Gateway	177036			Location : Spuikom (Sluice Dock)<br/>Year first introduced or recorded : 1930s
151158	wrims	Micropogonias undulatus		Animalia	Chordata	Actinopteri	Perciformes	Sciaenidae	Micropogonias								Alien															Belgian Exclusive Economic Zone				VLIZ Alien Species Consortium	132969			non-indigenous
151158	wrims	Micropogonias undulatus		Animalia	Chordata	Actinopteri	Perciformes	Sciaenidae	Micropogonias							Reported	Alien				Uncertain										Belgian part of the North Sea		1998			Rapp̩, G. (2002). Eerste vangst van <i>Micropogonias undulatus</i> (Linnaeus, 1766), een Amerikaanse vis, in Belgische en Europese wateren [First catch of <i>Micropogonias undulatus</i> (Linnaeus, 1766), an American fish, in Belgian and European waters]. <i>De Strandvlo 22(3-4)</i>: 119-121	1093			
151158	wrims	Micropogonias undulatus		Animalia	Chordata	Actinopteri	Perciformes	Sciaenidae	Micropogonias							Established	Alien				Not specified										Belgian part of the North Sea		1998			Kerckhof, F. (2006). National report Belgium, 2005, in: ICES Advisory Committee on the Marine Environment (2006). Working Group on Introductions and Transfers of Marine Organisms (WGITMO) 16-17 March 2006 Oostende, Belgium. CM Documents - ICES, CM 2006(ACME:05): pp. 43-45 	194875			
106401	wrims	Mnemiopsis leidyi		Animalia	Ctenophora	Tentaculata	Lobata	Bolinopsidae	Mnemiopsis							Established	Alien				Invasive											Belgian Exclusive Economic Zone				Van Ginderdeuren, K.; Hostens, K.; Hoffman, S.; Vansteenbrugge, L.; Soenen, K.; De_Blauwe, H.; Robbens, J.; Vincx, M. (2012). Distribution of the invasive ctenophore Mnemiopsis leidyi in the Belgian part of the North Sea. <em>Aquatic Invasions.</em> 7(2): 163-169.	162989			
106401	wrims	Mnemiopsis leidyi		Animalia	Ctenophora	Tentaculata	Lobata	Bolinopsidae	Mnemiopsis								Alien															Belgian Exclusive Economic Zone				VLIZ Alien Species Consortium	132969			non-indigenous
106401	wrims	Mnemiopsis leidyi		Animalia	Ctenophora	Tentaculata	Lobata	Bolinopsidae	Mnemiopsis							Established	Alien				Not specified										Belgian part of the North Sea		2007			Van Ginderdeuren, K.; Hostens, K.; Hoffman, S.; Vansteenbrugge, L.; Soenen, K.; De_Blauwe, H.; Robbens, J.; Vincx, M. (2012). Distribution of the invasive ctenophore Mnemiopsis leidyi in the Belgian part of the North Sea. <em>Aquatic Invasions.</em> 7(2): 163-169.	162989			
106401	wrims	Mnemiopsis leidyi		Animalia	Ctenophora	Tentaculata	Lobata	Bolinopsidae	Mnemiopsis							Established	Alien				Invasive										Belgian part of the North Sea		2007			Van Ginderdeuren, K.; Hostens, K.; Hoffman, S.; Vansteenbrugge, L.; Soenen, K.; De_Blauwe, H.; Robbens, J.; Vincx, M. (2012). Distribution of the invasive ctenophore Mnemiopsis leidyi in the Belgian part of the North Sea. <em>Aquatic Invasions.</em> 7(2): 163-169.	162989			Year first introduced or recorded : First sightings in August 2007 but most probably the species has been present for a long time.
103788	wrims	Molgula manhattensis		Animalia	Chordata	Ascidiacea	Stolidobranchia	Molgulidae	Molgula								Alien															Belgian Exclusive Economic Zone				VLIZ Alien Species Consortium	132969			non-indigenous
103788	wrims	Molgula manhattensis		Animalia	Chordata	Ascidiacea	Stolidobranchia	Molgulidae	Molgula							Established	Alien				Not specified										Belgian part of the North Sea		1847			Van Beneden, P.-J. (1847). Recherches sur l'embryog̩nie, l'anatomie et la physiologie des Ascidies simples. M̩m. Acad. R. Sci. Lett. B.-Arts Belg., Collect. 4 XX: 1-66, plates I-IV	162709			
103788	wrims	Molgula manhattensis		Animalia	Chordata	Ascidiacea	Stolidobranchia	Molgulidae	Molgula							Reported	Alien				Uncertain										Belgian part of the North Sea					Haydar, D.; Hoarau, G.; Olsen, J. L.; Stam, W. T.; Wolff, W. J. (2010). Introduced or glacial relict? Phylogeography of the cryptogenic tunicate Molgula manhattensis (Ascidiacea, Pleurogona). <em>Diversity and Distributions.</em> 17(1): 68-80.	192217			Location : Oostende
148603	wrims	Monocorophium sextonae		Animalia	Arthropoda	Malacostraca	Amphipoda	Corophiidae	Monocorophium								Alien															Belgian Exclusive Economic Zone				VLIZ Alien Species Consortium	132969			non-indigenous
