taxonID	datasetName	scientificName	synonym	kingdom	phylum	class	order	family	genus	specificEpithet	subspecies	taxonGroup	vernacularNameEN	vernacularNameNL	vernacularNameFR	status	statusCertainty	BFIS	ISEIA	spatialDistribution	invasiveness	introductionPathway	introductionMode	habitat	origin	presenceBE	presenceFL	presenceWA	presenceBR	presenceBECoast	presenceBPNS	presenceBEEZ	firstObservationYearBE	firstObservationYaerFL	latestObservationYearBE	source	sourceID	riskAnalysis	publicationStatus	notes
145	harmonia	Fallopia x bohemica						Polygonaceae					Hybrid knotweed		Renouée de bohème	spread		a2	12	restricted		agri- and horticulture		terrestrial	Asia	yes	yes	yes					1924					no	published	
134	harmonia	Fraxinus pennsylvanica	Fraxinus pubescens					Oleaceae					Red ash, Green ash		Frêne rouge	spread		b1	9	isolated		agri- and horticulture		terrestrial	North America	yes	yes						2008					no	published	
59	harmonia	Gaillardia x grandiflora						Asteraceae					Blanket flower	Kokardebloem	Gaillarde	spread		c	8	restricted		agri- and horticulture		terrestrial	North America	yes	yes	no					1953					no	published	
102	harmonia	Harmonia axyridis						Coccinellidae					Harlequin ladybird	Veelkleurig aziatisch lieveheersbeestje	Coccinelle asiatique	spread		a3	11	widespread		biological control		terrestrial	Asia	yes	yes	yes					2000					no	published	
60	harmonia	Helianthus tuberosus	H. tuberosus x h. strumosus					Asteraceae					Jerusalem artichoke	Aardpeer	Topinambour	spread		a3	12	widespread		agri- and horticulture		terrestrial	North America	yes	yes	yes					1893					no	published	
10	harmonia	Heracleum mantegazzianum						Apiaceae					Giant hogweed	Reuzenbereklauw	Berce du caucase	spread		a3	11	widespread		agri- and horticulture		terrestrial	Asia	yes	yes	yes					1938					no	published	
61	harmonia	Heracleum sosnowskyi						Apiaceae					Sosnowski's hogweed					a0	1					terrestrial	Asia	no												no	pending	
62	harmonia	Humulus japonicus						Canabaceae					Japanese hop					a0	1					freshwater, terrestrial	Asia	no												no	pending	
132	harmonia	Hyacinthoides hispanica	Hyacinthoides x massartiana					Liliaceae					Spanish bluebell	Spaanse hyacint	Scille d'espagne	spread		b2	9	restricted		agri- and horticulture		terrestrial	Europe	yes	yes	yes					1882					no	published	
63	harmonia	Hydrocotyle ranunculoides						Apiaceae					Water pennywort	Grote waternavel	Hydrocotyle fausse renoncule	spread		a2	12	restricted		aquariums and ponds		freshwater	North America	yes	yes	yes					1992					yes	published	
64	harmonia	Hypophthalmichthys molitrix						Cyprinidae					Silver carp	Zilverkarper	Carpe argentée			c	1	isolated				freshwater	Asia	no	no	no					1975					no	pending	
65	harmonia	Impatiens glandulifera						Balsaminaceae					Indian balsam	Reuzenbalsemien	Balsamine géante	spread		a3	12	widespread		agri- and horticulture		terrestrial	Asia	yes	yes	yes					1939					no	published	
66	harmonia	Impatiens parviflora						Balsaminaceae					Small yellow balsam	Klein springzaad	Balsamine à petites fleurs	spread		b3	10	widespread		accidental		terrestrial	Asia	yes	yes	yes					1868					no	published	
67	harmonia	Juncus tenuis						Juncaceae					Slender rush	Tengere rus	Jonc grêle	stabilization		b3	1	widespread		accidental		terrestrial	North America	yes	yes	yes					1823					no	pending	
68	harmonia	Lagarosiphon major	Elodea crispa					Hydrocharitaceae					Curly waterweed	Verspreidbladige waterpest	Elodée à feuilles alternes	spread		a1	12	isolated		aquariums and ponds		freshwater	Africa	yes	yes	yes					1993					yes	published	
69	harmonia	Lemna minuta	Lemna minuscula					Lemnaceae					Minute duckweed	Dwergkroos	Lentille d'eau minuscule	spread		b3	10	widespread		aquariums and ponds		freshwater	North America	yes	yes	yes					1983					no	published	
70	harmonia	Lemna turionifera						Lemnaceae					Turion duckweed	Olijfgroen kroos	Lentille d'eau rouge	spread		b1	1	isolated		accidental		freshwater	Asia, North America	yes	yes						1992					no	pending	
3	harmonia	Lepomis gibbosus						Centrachidae					Pumpkinseed	Zonnebaars	Perche soleil	stabilization		b2	9	restricted		aquariums and ponds		freshwater	North America	yes	yes	yes					1884					no	published	
71	harmonia	Lindernia dubia						Scrophulariaceae					False pimpernel	Schijngenadekruid	Lindernie fausse-gratiole	naturalization		b1	1	isolated				freshwater, terrestrial	North America	yes	yes	no					1993					no	pending	
72	harmonia	Lonicera japonica						Caprifoliaceae					Japanese honeysuckle	Japanse kamperfoelie	Chèvrefeuille asiatique			b0	10			agri- and horticulture		terrestrial	Asia	no												no	published	
73	harmonia	Lophocolea semiteres											Southern crestwort					b2	1	restricted		accidental		terrestrial		yes												no	pending	
11	harmonia	Ludwigia grandiflora	L. hexapetala, L. uruguayensis					Onagraceae					Water primrose	Waterteunisbloem	Jussie à grandes fleurs	spread		a2	12	restricted		agri- and horticulture		freshwater	South America	yes	yes	yes					1983					yes	published	
12	harmonia	Ludwigia peploides						Onagraceae					Water primrose	Kleine waterteunisbloem	Jussie rampante	spread		a1	12	isolated		agri- and horticulture		freshwater	South America	yes		yes					1995					yes	published	
108	harmonia	Lupinus polyphyllus						Fabaceae					Garden lupin	Vaste lupine	Lupin vivace	spread		b2	10	restricted		agri- and horticulture		terrestrial	North America	yes	yes	yes					1882					no	published	
13	harmonia	Lysichiton americanus						Araceae					American skunk cabbage	Moerasaronskelk, Moeraslantaarn	Faux-arum, Lysichite	naturalization		b1	10	isolated		agri- and horticulture		terrestrial	North America	yes	no	yes					2006					no	published	
74	harmonia	Mahonia aquifolium	Berberis aquifolium					Berberidaceae					Oregon grape	Mahonia	Mahonia faux-houx	spread		a2	12	restricted		agri- and horticulture		terrestrial	North America	yes	yes	yes					1906					no	published	
75	harmonia	Micropterus salmoides						Centrachidae					Largemouth bass	Forelbaars	Black-bass à grande bouche			b1	1	isolated				freshwater	North America	no	no	no					1880					no	pending	
116	harmonia	Mimulus guttatus						Scrophulariaceae					Monkeyflower	Gele maskerbloem	Mimule tacheté	naturalization		b2	10	restricted		agri- and horticulture		freshwater, terrestrial	North America	yes	yes	yes					1953					no	published	
125	harmonia	Muntiacus reevesi						Cervidae					Reeves' muntjac	Chinese muntjak	Muntjac			a0	12			pets and domestic animals		terrestrial	Asia	no												yes	published	
26	harmonia	Mustela vison	Neovison vison					Mustelidae					American mink	Amerikaanse nerts	Vison d'amérique			a0	11			fur farming		freshwater, terrestrial	North America	no												yes	published	
27	harmonia	Myocastor coypus						Echimyidae					Coypu, Nutria	Beverrat	Ragondin	spread		a1	12	isolated		fur farming		freshwater	South America	yes	yes	yes					1975					yes	published	
76	harmonia	Myriophyllum aquaticum	Myriophyllum brasiliense					Haloragaceae					Parrotfeather	Parelvederkruid	Myriophylle du brésil	spread		a2	12	restricted		aquariums and ponds		freshwater	South America	yes	yes	yes					1983					yes	published	
117	harmonia	Myriophyllum heterophyllum						Haloragaceae					Variable watermilfoil	Ongelijkbladig vederkruid	Myriophylle hétérophylle	spread		a1	12	isolated		aquariums and ponds		freshwater	North America	yes	yes	yes					1993					yes	published	
